"episode_number"	"episode_name"	"rating"	"votes"	"rating_fraction"
1.1	"Pilot"	7.6	"2,341"	"7.6/10"
1.2	"Diversity Day"	8.3	"2,227"	"8.3/10"
1.3	"Health Care"	7.9	"1,875"	"7.9/10"
1.4	"The Alliance"	8.2	"1,819"	"8.2/10"
1.5	"Basketball"	8.4	"2,011"	"8.4/10"
1.6	"Hot Girl"	7.8	"1,803"	"7.8/10"
2.1	"The Dundies"	8.6	"1,993"	"8.6/10"
2.10	"Christmas Party"	8.8	"1,713"	"8.8/10"
2.11	"Booze Cruise"	8.5	"1,692"	"8.5/10"
2.12	"The Injury"	9	"2,046"	"9.0/10"
2.13	"The Secret"	8.3	"1,472"	"8.3/10"
2.14	"The Carpet"	7.9	"1,448"	"7.9/10"
2.15	"Boys and Girls"	8.2	"1,452"	"8.2/10"
2.16	"Valentine's Day"	8.3	"1,477"	"8.3/10"
2.17	"Dwight's Speech"	8.4	"1,544"	"8.4/10"
2.18	"Take Your Daughter to Work Day"	8.3	"1,519"	"8.3/10"
2.19	"Michael's Birthday"	8.1	"1,480"	"8.1/10"
2.2	"Sexual Harassment"	8.2	"1,701"	"8.2/10"
2.20	"Drug Testing"	8.4	"1,509"	"8.4/10"
2.21	"Conflict Resolution"	8.6	"1,539"	"8.6/10"
2.22	"Casino Night"	9.3	"2,355"	"9.3/10"
2.3	"Office Olympics"	8.4	"1,722"	"8.4/10"
2.4	"The Fire"	8.4	"1,711"	"8.4/10"
2.5	"Halloween"	8.2	"1,610"	"8.2/10"
2.6	"The Fight"	8.2	"1,624"	"8.2/10"
2.7	"The Client"	8.5	"1,644"	"8.5/10"
2.8	"Performance Review"	8.2	"1,512"	"8.2/10"
2.9	"E-Mail Surveillance"	8.4	"1,599"	"8.4/10"
3.1	"Gay Witch Hunt"	8.9	"1,913"	"8.9/10"
3.10	"A Benihana Christmas"	8.7	"1,592"	"8.7/10"
3.11	"Back from Vacation"	8.4	"1,430"	"8.4/10"
3.12	"Traveling Salesmen"	8.6	"1,473"	"8.6/10"
3.13	"The Return"	8.8	"1,541"	"8.8/10"
3.14	"Ben Franklin"	8.2	"1,422"	"8.2/10"
3.15	"Phyllis' Wedding"	8.3	"1,426"	"8.3/10"
3.16	"Business School"	8.9	"1,626"	"8.9/10"
3.17	"Cocktails"	8.5	"1,434"	"8.5/10"
3.18	"The Negotiation"	8.9	"1,593"	"8.9/10"
3.19	"Safety Training"	8.8	"1,540"	"8.8/10"
3.2	"The Convention"	8.2	"1,426"	"8.2/10"
3.20	"Product Recall"	8.8	"1,536"	"8.8/10"
3.21	"Women's Appreciation"	8.9	"1,492"	"8.9/10"
3.22	"Beach Games"	9.1	"1,743"	"9.1/10"
3.23	"The Job"	9.3	"1,919"	"9.3/10"
3.3	"The Coup"	8.5	"1,505"	"8.5/10"
3.4	"Grief Counseling"	8	"1,464"	"8.0/10"
3.5	"Initiation"	8.2	"1,424"	"8.2/10"
3.6	"Diwali"	8	"1,468"	"8.0/10"
3.7	"Branch Closing"	8.4	"1,415"	"8.4/10"
3.8	"The Merger"	8.6	"1,490"	"8.6/10"
3.9	"The Convict"	8.1	"1,481"	"8.1/10"
4.1	"Fun Run"	8.8	"1,822"	"8.8/10"
4.10	"Chair Model"	8.2	"1,345"	"8.2/10"
4.11	"Night Out"	8.7	"1,390"	"8.7/10"
4.12	"Did I Stutter?"	8.4	"1,328"	"8.4/10"
4.13	"Job Fair"	8	"1,255"	"8.0/10"
4.14	"Goodbye, Toby"	9.3	"1,927"	"9.3/10"
4.2	"Dunder Mifflin Infinity"	8.4	"1,431"	"8.4/10"
4.3	"Launch Party"	8.5	"1,366"	"8.5/10"
4.4	"Money"	8.8	"1,467"	"8.8/10"
4.5	"Local Ad"	8.9	"1,491"	"8.9/10"
4.6	"Branch Wars"	8.5	"1,378"	"8.5/10"
4.7	"Survivor Man"	8.3	"1,326"	"8.3/10"
4.8	"The Deposition"	8.7	"1,374"	"8.7/10"
4.9	"Dinner Party"	9.3	"2,450"	"9.3/10"
5.1	"Weight Loss"	8.9	"1,622"	"8.9/10"
5.10	"Moroccan Christmas"	8.4	"1,243"	"8.4/10"
5.11	"The Duel"	8.7	"1,267"	"8.7/10"
5.12	"Prince Family Paper"	8.1	"1,230"	"8.1/10"
5.13	"Stress Relief"	9.6	"3,428"	"9.6/10"
5.14	"Lecture Circuit: Part 1"	8.3	"1,158"	"8.3/10"
5.15	"Lecture Circuit: Part 2"	8.2	"1,128"	"8.2/10"
5.16	"Blood Drive"	8.1	"1,183"	"8.1/10"
5.17	"Golden Ticket"	8.6	"1,242"	"8.6/10"
5.18	"New Boss"	8.4	"1,190"	"8.4/10"
5.19	"Two Weeks"	8.4	"1,186"	"8.4/10"
5.2	"Business Ethics"	8.4	"1,275"	"8.4/10"
5.20	"Dream Team"	8.3	"1,176"	"8.3/10"
5.21	"Michael Scott Paper Company"	8.7	"1,279"	"8.7/10"
5.22	"Heavy Competition"	8.6	"1,214"	"8.6/10"
5.23	"Broke"	9.1	"1,511"	"9.1/10"
5.24	"Casual Friday"	8.3	"1,173"	"8.3/10"
5.25	"Cafe Disco"	8.6	"1,319"	"8.6/10"
5.26	"Company Picnic"	8.9	"1,389"	"8.9/10"
5.3	"Baby Shower"	8.1	"1,239"	"8.1/10"
5.4	"Crime Aid"	8.2	"1,195"	"8.2/10"
5.5	"Employee Transfer"	8.2	"1,254"	"8.2/10"
5.6	"Customer Survey"	8.5	"1,278"	"8.5/10"
5.7	"Business Trip"	8.3	"1,181"	"8.3/10"
5.8	"Frame Toby"	8.5	"1,309"	"8.5/10"
5.9	"The Surplus"	8.7	"1,299"	"8.7/10"
6.1	"Gossip"	8.7	"1,351"	"8.7/10"
6.10	"Murder"	8.5	"1,238"	"8.5/10"
6.11	"Shareholder Meeting"	8.2	"1,088"	"8.2/10"
6.12	"Scott's Tots"	8.3	"1,229"	"8.3/10"
6.13	"Secret Santa"	8.5	"1,153"	"8.5/10"
6.14	"The Banker"	6.7	"1,420"	"6.7/10"
6.15	"Sabre"	7.8	"1,049"	"7.8/10"
6.16	"Manager and Salesman"	8.2	"1,061"	"8.2/10"
6.17	"The Delivery: Part 1"	8.4	"1,084"	"8.4/10"
6.18	"The Delivery: Part 2"	8.4	"1,094"	"8.4/10"
6.19	"St. Patrick's Day"	7.9	"1,031"	"7.9/10"
6.2	"The Meeting"	8.2	"1,112"	"8.2/10"
6.20	"New Leads"	7.9	991	"7.9/10"
6.21	"Happy Hour"	8.6	"1,180"	"8.6/10"
6.22	"Secretary's Day"	7.9	"1,003"	"7.9/10"
6.23	"Body Language"	8	"1,024"	"8.0/10"
6.24	"The Cover-Up"	8.2	"1,024"	"8.2/10"
6.25	"The Chump"	7.9	977	"7.9/10"
6.26	"Whistleblower"	8	"1,026"	"8.0/10"
6.3	"The Promotion"	8	"1,108"	"8.0/10"
6.4	"Niagara: Part 1"	9.4	"2,432"	"9.4/10"
6.5	"Niagara: Part 2"	9.1	685	"9.1/10"
6.6	"Mafia"	7.7	"1,135"	"7.7/10"
6.7	"The Lover"	8.5	"1,188"	"8.5/10"
6.8	"Koi Pond"	8.2	"1,080"	"8.2/10"
6.9	"Double Date"	8.2	"1,071"	"8.2/10"
7.1	"Nepotism"	8.4	"1,239"	"8.4/10"
7.10	"China"	8.2	"1,032"	"8.2/10"
7.11	"Classy Christmas"	8.9	"1,306"	"8.9/10"
7.12	"Ultimatum"	8.3	"1,062"	"8.3/10"
7.13	"The Seminar"	7.7	"1,012"	"7.7/10"
7.14	"The Search"	8.4	"1,075"	"8.4/10"
7.15	"PDA"	8.4	"1,090"	"8.4/10"
7.16	"Threat Level Midnight"	9.2	"2,117"	"9.2/10"
