Michael| All right Jim. Your quarterlies look very good. How are things at the library?
Jim| Oh, I told you. I couldnt close it. So...
Michael| So youve come to the master for guidance? Is this what youre saying, grasshopper?
Jim| Actually, you called me in here, but yeah.
Michael| All right. Well, let me show you how its done.
Michael|  Yes, Id like to speak to your office manager, please. Yes, hello. This is Michael Scott. I am the Regional Manager of Dunder Mifflin Paper Products. Just wanted to talk to you manager-a-manger.  All right. Done deal. Thank you very much, sir. Youre a gentleman and a scholar. Oh, Im sorry. OK. Im sorry. My mistake.  That was a woman I was talking to, so... She had a very low voice. Probably a smoker, so...  So thats the way its done.
Michael| Ive, uh, Ive been at Dunder Mifflin for 12 years, the last four as Regional Manager. If you want to come through here... See we have the entire floor. So this is my kingdom, as far as the eye can see. This is our receptionist, Pam. Pam! Pam-Pam! Pam Beesly. Pam has been with us for...  forever. Right, Pam?
Pam| Well. I dont know.
Michael| If you think shes cute now, you should have seen her a couple of years ago. 
Pam| What?
Michael| Any messages?
Pam| Uh, yeah. Just a fax.
Michael| Oh! Pam, this is from Corporate. How many times have I told you? Theres a special filing cabinet for things from corporate.
Pam| You havent told me.
Michael| Its called the wastepaper basket! Look at that! Look at that face.
Michael| People say I am the best boss. They go, "God weve never worked in a place like this before. Youre hilarious." "And you get the best out of us."  I think that pretty much sums it up. I found it at Spencer Gifts.
Dwight|  Shall I play for you? Pa rum pump um pum  I have no gifts for you. Pa rum pump um pum 
Jim| My job is to speak to clients on the phone about... uh, quantities and type of copier paper. You know, whether we can supply it to them. Whether they can pay for it. And... Im boring myself just talking about this.
Michael| Whassup!
Jim| Whassup! I still love that after seven years.
Michael| Whassup!
Dwight| Whassup!
Michael| Whass...up!
Dwight| Whassup.
Michael|  What?
Jim| Nothing.
Michael| OK. All right. See you later.
Jim| All right. Take care.
Michael| Back to work.
Jan|  Just before lunch. That would be great.
Michael| Corporate really doesnt really interfere with me at all. Jan Levinson Gould.  Jan, hello.  I call her Hillary Rodham Clinton. Right? Not to her face, because... well, not because Im scared of her. Because Im not. But, um... Yeah.
Jan| Alright, was there anything you wanted to add to the agenda?
Michael| Um... Me no get an agenda.
Jan| What? Im sorry?
Michael| I didnt get any agenda.
Jan| Well, I faxed one over to you this morning.
Michael| Really? I didnt...  Did we get a fax this morning?
Pam| Uh, yeah, the one...
Michael| Why isnt it in my hand? A company runs on efficiency of communication, right? So whats the problem, Pam? Why didnt I get it?
Pam| You put in the garbage can that was a special filing cabinet.
Michael| Yeah, that was a joke. That was a joke that was actually my brothers, and... It was supposed to be with bills and it doesnt work great with faxes.
Jan| Do you want to look at mine?
Michael| Yeah, yeah. Lovely. Thank you.
Jan| OK. Since the last meeting, Ellen and the board have decided we cant justify a Scranton branch and a Stamford branch.
Michael| OK...
Jan| Michael, dont panic.
Michael| No, no, no, no, this is good. This is good. This is fine. Excellent.
Jan|  No, no, no, Michael, listen OK. Dont panic. We havent made... We havent decided.
Michael| All the alarm bells are kind of going... ringie-dingie-ding!
Jan| Ive spoken to Josh in Stamford. Ive told him the same as you and its up to either him or you to convince me that your branch can incorporate the other.
Michael| OK. No problem.
Jan| This does, however, mean that there is going to be downsizing. 
