Michael| Hey, uh, can I help you out in here?
Mr. Brown| Oh, Im all set, thanks.
Michael| Gotcha. Good. Id go with the rows. Thats a good idea.
Michael| Today is diversity day and someones going to come in and talk to us about diversity. Its something that Ive been pushing, that Ive been wanting to push, for a long time and Corporate mandated it. And I never actually talked to Corporate about it. They kind of beat me to the punch, the bastards. But I was going to. And I think its very important that we have this. Im very, very excited.
Jim| Thats the thing. Its very sturdy paper and on the back it says, "100% post-consumer content." What? Hello? Uh-huh. Wait. What? Im sorry, Mr. Decker. I think Im losing you.  Hello? Hello? Yeah. Hold on one second. I dont know. Hold on one second.
Jim| Do you really have to do that right now?
Dwight| Yes I do. I should have done it weeks ago actually.
Jim| Mr. Decker, Im sorry about that. What were you... Can you hold on one second? Yeah, just one second. Thanks.  Hello? Thats it. Perfect. So what I was saying...  Hello? Thanks, Dwight.
Dwight| Retaliation. Tit for tit.
Jim| That is not the expression.
Dwight| Well, it should be.
Jim| This is my biggest sale of the year. They love me over there for some reason. Im not really sure why but I make one call over there every year, just to renew their account, and that one call ends up being 25% of my commission for the whole year, so I buy a mini bottle of champagne, celebrate a little. And this year Im pushing recycled paper on them for one percent more. I know. Im getting cocky. Right?
Jim| Solitaire?
Pam| Yeah, Freecell.
Jim| Six on seven.
Pam| I know. I saw that.
Jim| So then, why didnt you do it?
Pam| Im saving that cause I like it when the cards go T-ts-ts-tch-tch-tch.
Jim| Who doesnt love that?
Michael| Hey, Oscar! How are you doing, man? 
Oscar| All right.
Michael| Did you have a good weekend going there?
Oscar| It was fine.
Michael| Oh yeah, I bet it was fun.  Oh, hey! This is Oscar---
Oscar| Martinez.
Michael|  Right. See? I dont even know, first-name basis!
Mr. Brown| Great. Were all set.
Michael| Oh hey, well, diversity, everybody, lets do it. Oscar works in... here. Jim, could you wrap it up, please?
Jim| Yeah, uh, Mr. Decker, please.
Michael| Its diversity day, Jim. I wish every day was diversity day.
Jim| You know what? Im actually going to have to call you back. Thank you. Sorry about that.
Mr. Brown| Thank you. Thank you. Thank you. Great.
Michael| Come on people, lets get em in. Get in the cards! Get in the cards!
Mr. Brown| Thank you. Thank you very much. OK. Thanks for filling these out and I promise thisll be quick. At Diversity Today, our philosophy is about honesty and positive expectations. We believe that 99% of the problems in the workplace arise simply out of ignorance.
Michael| You know what? This is a color-free-zone here. Stanley, I dont look at you as another race.
Mr. Brown| Uh, see this is what Im talking about. We dont have to pretend were color-blind.
Michael| Exactly, were not...
Mr. Brown| Thats fighting ignorance with more ignorance.
Michael| With tolerance.
Mr. Brown| No. With more ignorance.
Michael| Ignorance.
Mr. Brown| Right. Exactly. Uh, instead, we need to celebrate our diversity.
Michael| Lets celebrate.
Mr. Brown| Right. OK.
Michael| Celebrate good times. Come on! Lets celebrate diversity. Right?
Mr. Brown| Yes, exactly. Now heres what were going to do. Ive noticed that...
Michael| You know what? Heres what were going to do. Why dont we go around and everybody... everybody say a race that you are attracted to sexually. I will go last. Go.
Dwight| I have two. White and Indian.
Mr. Brown| Actually, Id prefer not to start that way. Michael, I would love to have your permission to run this session. Can I have your permission?
Michael| Yes.
Mr. Brown|  Thank you very much. And it would also help me if you were seated.
Michael| OK.
Mr. Brown| Thank you. OK. Now, at the start of the session, I had you all write down an incident that you found offensive in the workplace. Now, what Im going to do is choose one and were going to act it out.
Dwight| A few of the ground rules? 
Michael| Hey, hey why dont you run it by me and Ill run it by him.
Dwight| OK, can we steer away from gay people?
Mr. Brown| Um...
Dwight| Im sorry. Its an orientation. Its not a race. Plus a lot of other races are intolerant of gays, so...paradox.
Mr. Brown| Well, we only have an hour.
Dwight| I figured it would save time.
Michael| OK. Why dont we just defer to Mr...
Mr. Brown| Mr. Brown.
Michael| Ah. Oh, right! OK. First test. I will not call you that.
Mr. Brown| Well, its my name. Its not a test. OK? Um, so looking through the cards, Ive noticed that many of you wrote down the same incident, which is ironic, because its the exact incident I was brought in here to respond to. Now, how many of you are familiar with the Chris Rock routine? Very good. OK.
Michael| How come Chris Rock can do a routine and everybody finds it hilarious and ground-breaking and then I go and do the exact same routine, same comedic timing, and people file a complaint to Corporate? Is it because Im white and Chris is black?
Mr. Brown| So were going to reenact this with a more positive outcome.
Michael| I will play the Chris Rock guy. I would like to see someone else pull this off.
Mr. Brown| Well, lets have someone who wasnt involved in the reenactment.
Michael| OK, I will play guy listening.
Mr. Brown| Great. Guy listening. Ok, anyone else remember?
Kevin| I remember.
Mr. Brown| Great. Youre the Chris Rock guy and youre guy listening.
Michael| OK.
Michael| Kevin is a great guy. Hes a great accountant. He is not much of an entertainer.
Kevin| Basically, there are two types of black people and black people are actually more racist because they hate the other type of black people. Every time the one type wants to have a good time, then the other type comes in and makes a real mess.
Michael| OK. Im sorry. Im sorry. Hes ruin... Hes butchering it. Could you just let me...  Every time... Every time black people want to have a good time, some ignant ass...  I take care of my kid!
Mr. Brown| Wait a second.
Michael|  They always want credit for something they supPOSED to do!
Mr. Brown| Stop it!
Michael|  What you want a cookie?
Mr. Brown| Now, this is a simple acronym. HERO. Uh, at Diversity Today, we believe it is very easy to be a HERO. All you need are honesty, empathy, respect and open-mindedness.
Dwight| Excuse me, Im sorry, but thats not all it takes to be a hero.
Mr. Brown| Oh, great. Well, what is a hero to you?
Dwight| A hero kills people, people that wish him harm.
Mr. Brown| OK.
Dwight| A hero is part-human and part-supernatural. A hero is born out of a childhood trauma, or out of a disaster that must be avenged.
Mr. Brown| Ok, youre thinking of a superhero.
Dwight| We all have a hero in our heart.
Mr. Brown| Now, I need you to take these forms. This kind of expresses the joint experience we had today. And I need you to look em over and sign them as kind of a group pledge.
Michael|  I dont think I can sign this.
Mr. Brown| I cant leave until you do.
Michael| Well, OK, it says here that I learned something and I knew all this stuff already, so... I know, I could sign something that says that I taught something, or that I helped you teach something, so... Pam! Where is she? Pam, could we change something on this?
Mr. Brown| Michael, can I talk to you candidly?
Michael| Sure.
Mr. Brown| We both know that Im here because of the comments you made.
Michael| Heres the thing. This office, I think this is very advanced in terms of... racial awareness and its probably more advanced than youre used to. Thats probably throwing you off a little bit.
Mr. Brown| Um, its not throwing me. I need your signature.
Michael| OK, well I know. You told me that several times.
Mr. Brown| Yes, but youre not listening to me. Yours is the only signature I need.      
Michael| OK.
Mr. Brown| Those are my instructions from the Corporate offices to put you through this seminar for the comments that you made. The reason I made copies for everyone was so you wouldnt be embarrassed.
Michael| Well, here I am thinking that you actually cared about diversity training. And you dont.
Mr. Brown| Dont worry about dating.
Michael|  I wont.
Mr. Brown| OK. Thank you.
Michael| Yeah, yeah.
Michael| "I regret my actions. I regret offending my coworkers. I pledge to bring my best spirit of honesty, empathy, respect and open-mindedness..." Open-mindedness, is that even a word? "...into the workplace. In this way, I can truly be a hero. Signed, Daffy Duck."  Hes going to lose it when he reads that.
Jim| Yeah, hi. Is Mr. Decker around? Oh, well, could you just have him call me after lunch? Thank you.
