Michael| Pam. Pamela. Pam-elama-ding-dong. Making copies.
Pam| Im not making any copies.
Michael| Lets go. Messages. Stat. Lots to do, lots to do. Information superhighway.
Pam| Nothing new.
Michael| Lay them on me. What?
Pam| Theres nothing new.
Michael| Thats not what you said earlier.
Pam| Oh, do you want me to repeat the messages that I gave you before for the... 
Michael| The most sacred thing I do is care and provide for my workers, my family. I give them money. I give them food. Not directly, but through the money. I heal them. Today, I am in charge of picking a great new health care plan. Right? Thats what this is all about. Does that make me their doctor? Um... Yes, in a way. Yeah, like a specialist.
Jan| So, which health plan have you decided on?
Michael| I am going to go with the best, Jan. I am going to go with the one with the acupuncture, therapeutic massage, you know, the works.
Jan| Wait, acupuncture? None of the plans have acupuncture. Have you looked at them closely Michael?
Michael| I think it was you who didnt look closely enough at the Gold Plan.
Jan| The Gold Plan? Im not even on that plan.
Michael| Well, Id recommend it. Its very good.
Jan| Michael.
Michael| You gotta crack these things open.
Jan| You know the whole reason that were doing this, is to save money. So you just need to pick a provider and choose the cheapest plan.
Michael| Well, that is kind of a tough assignment. Um... It wont be popular decision around the old orifice.
Jan| Its your job. So...
Michael| Well, its a suicide mission, you know.
Jan| Michael... maybe... I mean...
Michael| There, there...
Jan| Sometimes a manager, like yourself, has to deliver the bad news to the employees. I do it all the time.
Michael|  When have you ever done that?
Jan| Im doing it right now. To you.
Jim| Last night on Trading Spouses, theres... have you seen it?
Pam| No. I have a life.
Jim| Interesting, whats that like?
Pam| You should try it sometime.
Jim| Wow. But then who would watch my TV? That is...
Pam| ... your problem.
Michael| Jimbo! Ha haaaaa. Ah.
Michael| Theres a decision that needs to be made, and Im having an unbelievably a busy day. So Im going to let you pick a health care plan for our office and then explain it to your co-workers.
Jim| Gosh.
Michael| Yeah!
Jim| That is a great offer. Thank you. I really think I should be concentrating on sales.
Michael| Really?
Jim| Yeah. I just dont think this is the kind of task, that I... am going to do. You know who would be great for this?
Jim| Any time Michael asks me to do anything, I just tell him that Dwight should do it.
Dwight| Yes. I can do it. Im your man.
Jim| Right now, this is just a job. If I advance any higher in this company then this would be my career. And uh, well, if this were my career, Id have to throw myself in front of a train.
Dwight| OK, first, lets go over some parameters. How many people can I fire?
Michael| Ah, none. Youre picking a health care plan.
Dwight| OK, well table that for the time being. Two, Ill need an office. I think the conference room should be fine.
Michael| You can use the conference room as a temporary workspace.
Dwight|  Yes, I have an office.  Bigger than his.
Michael| Nope, you cannot use it.
Dwight| OK, I take it back, its a workspace.
Michael| Temporary workspace. You can use it.
Dwight| Thank you.
Michael| If Dwight fails, then that is strike two, and good for me for, ah, for giving him a second chance. And if he succeeds, then, you know, no one will be prouder than I am. I groomed him. I made him what he is today. Unless he fails, and weve talked about that already.
Dwight| What did I do? I did my job. I slashed benefits to the bone. I saved this company money. Was I too harsh? Maybe. I dont believe in coddling people.
Dwight| In the wild, there is no health care. In the wild, health care is, "Ow, I hurt my leg. I cant run. A lion eats me and Im dead." Well, Im not dead. Im the lion. Youre dead.
Stanley| Theres no dental, theres no vision, theres a $1,200 deductible.
Pam| Dunder Mifflin, this is Pam.
Michael|  Pam, Michael Scott. Hows tricks?
Pam| Where are you?
Michael| Oh, I am in my office. I am swamped. I have work up to my ears Im busy, busy, busy. Cant step away. I just wanted to check in and see how everybodys doing. Everybody cool out there?
Pam| Actually, people are really unhappy. Um, Dwight sent around this memo and people are freaking out cause the... 
Michael| Pam! Whoa, whoa, Im sorry, Im sorry, I, I, I, I gotta go. Im getting a call.
Pam| No youre not.
Michael| I have to make a call after I finish... my work. You know what? Uh, just dont let anybody in my office under any conditions today. Im just too busy. Too swamped, you know? I am unreachable. I am incommunicado, capisce?
Pam| OK.
Michael| Thank you, Oh, gah, here we go again. Gotta go, I have to take this.
Pam| Still no one calling. 
Pam| Dwight, what... 
Dwight| Uh, knock, please. Please knock. This is an office.
Jim| It says "workspace".
Dwight| Same thing.
Jim| If its the same thing, then why did you write "workspace"?
Dwight| Just knock, Please? As a sign of respect for your superior.
Jim| You are not my superior.
Dwight| Oh gee, then why do I have an office?
Jim| I thought it was a workspace?
Pam| OK. Dwight. Are you really in charge of picking the health care plan?
Dwight| Yes. And my decision in final.
Pam| This is a ridiculously awful plan. Because you cut everything.
Dwight| Aww, times are tough, Pam. Deal with it.
Jim| You cut more than you had to, didnt you?
Dwight| Sure.
Jim| Well, why did you do that? You work here, dont you want good insurance?
Dwight| Dont need it. Never been sick. Perfect immune system.
Jim| OK, well, if youve never been sick, then you dont have any antibodies.
