Dwight| Michael!?
Michael| Oh! God. Dwight, come on...
Dwight| I wanted to talk to you about the downsizing?
Michael| Theres no downsizing.
Dwight| I, but if there were, Id be protected as assistant regional manager?
Michael| Assistant to the regional manager Dwight.
Dwight| Yeah, so I dont have to worry?
Michael| Look, look, look. I talked to corporate, about protecting the sales staff. And they said they couldnt guarantee it if theres downsizing, okay?
Michael| But theres no downsizing, so just dont...
Dwight| Bottom line. Do I need to be worried?
Michael| Mmm, mm, mm. Maybe.
Michael| It looks like theres gonna be downsizing. And its part of my job, but... blah! I hate it. I think the main difference between me and Donald Trump is that, uh, I get no pleasure out of saying the words, "Youre fired."  "Youre foir-ed. Uh, youre foir-ed." It just makes people sad, and an office cant function that way. No way.  "Youre foir-ed."  I think if I had a catchphrase it would be, "Youre hired, and you can work here as long as you want." But thats unrealistic, so...
Dwight| Its a real shame, cause studies have shown that more information gets passed through water-cooler gossip than through official memos. Which puts me at a disadvantage, because I bring my own water to work.
Stanley| Whyd you do this?
Dwight| I didnt do it. What do you mean? Oh, the water cooler was brought over here for... maintenance. So what do you guys hear? Whats the scuttlebutt?
Michael| Get set for Operation Morale Improvement starring Michael Scott. Now, I think I have had a little stroke of genius in that I have had my assistant Pam... Smile, Pam. I have had her go out and find out whose birthday is coming up, so we can have a little celebration for it. Not bad, not bad at all. All right. And the birthday person is... drum roll please. Here we go, who is the birthday, birthday person?
Michael| Who is it? Whos the birthday?
Pam| Um... Actually, we dont have any staff birthdays coming up.
Michael| Next person on the...
Pam| Oh.
Michael| ...calendar.
Pam| Okay, umm... that would be Meredith.
Michael| Yes! All right, come on down Meredith!
Pam| But its not until next month.
Michael| Um... uh, OK. Well, great, well, you know, itll be a surprise.
Pam| You still want to have a party?
Michael| Yeah, why not? Sure. Go ahead, live a little. Come on, Pam. Come on, shake it up. Shake it up! Shake it up!
Michael|  Brrrp! Uh, Spock, are there any signs of life down there? Well, let me check Captain. Eeee. Eeee. Eeee. Eeee. No, Captain. No signs of life down here. Just a wet blanket named Pam. Brr-rrrp. Star Trek.
Phyllis| Well, uh, for decorations, maybe we could... its stupid, forget it.
Angela| What?
Phyllis| I was just going to say, maybe we could have streamers, but thats dumb, everybody has streamers. Never mind.
Angela| No, yeah, I think thats a good idea.
Phyllis| Yeah?
Angela| What color do you guys think?
Phyllis| Well, theres green, um, blue... yellow... red... 
Pam| How about green?
Angela| I think green is kind of whoreish.
Pam| This was tough. I suggested we flip a coin. But Angela said she doesnt like to gamble. Of course by saying that she was gambling that I wouldnt smack her.
Michael| These are my party-planning beeyatches. Pulled off an amazing 80s party last year. Off the hook!
Michael| So I was thinking, if you havent already got a cake, um, maybe going for one of those ice-cream cakes from Baskin-Robbins. Those are very good. Very Delicious.
Angela| Merediths allergic to dairy, so... 
Michael| Shes not the only one thats going to be eating it, right? I think everybody likes ice-cream cake. Its not, uh, its not just about her, so...
Pam| It is... her birthday.
Michael| Mint chocolate chip! Thatd be good, how about some, mint chocolate chip?
Dwight| Hey, so listen, I was thinking that it might be a good idea if you and I formed an alliance. Cause of the downsizing? I think an alliance might be a good idea, you know. Help each other out.
Dwight| Do you want to form, an alliance, with me?
Jim| Absolutely, I do.
Dwight| Good, good. Excellent, OK. Now we need to figure out whos vulnerable and whos protected...
Jim| At that moment, I was so happy. I mean, everything Dwight does annoys me.
Dwight| Did you get your tickets?
Jim| To what?
Dwight| The gun show. 
Jim| And I spend hours thinking of ways to get back at him, but only in ways that could get me arrested. And then here he comes and he says "No, Jim, heres a way."
Dwight| Theres one other thing and this is important. Lets keep this alliance totally a secret. Dont tell anyone.
Pam| An alliance?
Jim| Oh yeah.
Pam| What does that even mean?
Jim| I think it has something to do with Survivor, but Im not sure.
Jim| Um, I know that it involves spying on people and we may build a fort, underground.
Dwight| Jim! Hey. Hi, Pam. Listen, could I talk to you a second about the... paper products?
Dwight| Did you tell Pam about the alliance?
Jim| What? No.
Dwight| Just now.
Jim| What? Oh no no no. Dwight, no. Im using her, for the alliance. Who knows the most information about this office? Pam.
Dwight| Right, thats good, good, pursue this.
Jim| Well Im trying to. Do you see what Im doing?
Dwight| Mmm hmm.
Jim| But listen, Im going to have to talk to her a lot. All right? And there may be chatting, and giggling. And you gotta just pretend to ignore it. Wipe it away.
Dwight| Done.
Jim| All right.
Michael|  Can you get her? Shes right there.  That is Meredith, the birthday girl. And this... is Merediths card. Happy Bird-Day.  Um, lets see. Jim, Jim wrote, "Meredith, I heard youre turning 46, but, come on, youre an accountant. Just fudge the numbers." Not bad, pretty funny, I dont appreciate condoning corporate fraud though. Uh, heres the thing. Whatever I write here has to be really, really funny. Because people out there are expecting it. Ive already set the bar really high. And theyre all worried about their jobs, you know. Its kinda dark out there. Can you imagine if I wrote something like, uh, "Oh, Meredith. Happy Birthday. Youre great. Love, Michael." 
Dwight| They seem awfully chummy, dont you think?
Jim| Yeah, what do you think thats about?
Dwight| Only one way to find out.
Jim| Im on it.
Jim| You are not going to believe this.
Dwight| What? I believe it.
Jim| Well, tensions were high in the kitchen.
Dwight| I could tell, from the body language.
Jim| Hey Kev, that looks good. What is it? Turkey?
Kevin| Italian.
Jim| Oh, Italian. Nice. Wow! You got the works there. Red onion, provolone...
Kevin| Yeah.
Jim| Toby and Kevin, theyre trying to get Angela kicked off.
Dwight| Good, let em. It helps our cause.
Jim| Well, I dont know, if Kevins in accounting, and Tobys in Human Resources and theyre talking...
Dwight| Oh, theyre forming an alliance
Toby| I love their sandwiches.
Jim| I love their sandwiches too.
Kevin| Their breads really good.
Jim| Their bread is very good.
Dwight| Damn it. God!
Jim| OK, listen, we need to assume that everyone in the office is forming an alliance and is therefore trying to get us kicked off.
Dwight| God... Damn it! Why us?
Jim| Because were strong, Dwight. Because were strong.
