Jan| Are you listening to me Michael?
Michael| Affirmative.
Jan| What did I just say?
Michael| You just said, let me uh... check my notes.  You just said... 
Jan| Alan and I have created an incentive program to increase sales. 
Michael| Hey, hey how is Alan?  Tell Alan that the Mets suck! Okay? From me, big time. Go Pirates! 
Jan| Im not going to do that Michael. 
Michael| Okay
Jan| Weve created an incentive program to increase sales. 
Michael| Uh, huh. 
Jan| At the end of the month you can reward your top seller with a prize worth up to a thousand dollars. 
Michael| Whoa. Howdy-ho. Wow, a thousand big ones. Thats cool. Do I uh, do I get to pick the prize? 
Jan| Uh, yes. Yes you can. 
Michael| Um, question Does top salesman include uh, people who were at one time such outstanding salesman thatve been promoted to...
Jan| No, Michael. No. You cant win this prize. 
Michael| I didnt mean me! 
Michael| Well, first what we have to do is find out what motivates people more than anything else. 
Dwight| Sex. 
Michael| Its illegal. Cant do that.  Next best thing. 
Dwight| Torture.
Michael| Tah, come on Dwight. Just help me out here. Thats just stupid. 
Pam| Uh, Michael?  
Michael| Pam! 
Pam| Hey, theres a...
Michael| Burger with cheese!  
Pam| Theres a person here...
Michael| And fries! 
Pam| Theres...
Michael| And shake! What? Go ahead. 
Pam| Theres a person here who wants to sell handbags. 
Michael| No, no, no. No vendors in the office. That is a distraction. 
Pam| Okay, I told her youd talk to her.  
Michael| Pam. Pam. Come on, Im busy. So just tell her to go away. 
Pam| Okay. 
Michael|  Oooh, alright Ill talk to her. 
Katy| This one is hand embroidered. 
Michael| All right girls break it up, youre being infiltrated. Cock in the henhouse. 
Dwight| Cocks in the henhouse. 
Michael| Dont say cocks. Oh, what is your name, my fair lass? 
Katy| Katy. 
Michael| Ah, Katy. Wow. Look at you. You are, uh youre like the new and improved Pam. Pam 6.0. 
Michael| Oh, look. Oh hey, no catfights you two. Im  against violence in the workplace. 
Dwight| So am I. 
Michael| Nobody cares what you think. 
Dwight| Doesnt matter. 
Michael| So uh, you know what? I usually dont allow solicitors in the office but today I am going to break some rules, and you can have the conference room. Its yours. All day. 
Katy| Wow, thanks. 
Pam| Theres an HR meeting in there at 1130. 
Michael| Well, lets put em in the hallway. Give em some chairs. Right? Decisiveness. One of the keys to success according to Small Businessman. 
Michael| I do. I read Small Business man. I also uh, subscribe to USA Today and American Way Magazine, thats the in-flight magazine. Some great articles in that. They did this great profile last month of Doris Roberts and where she likes to eat when shes in Phoenix. Illuminating. 
Michael| This is my conference room. So please, uh, make yourself at home. Whatever you need, Im right on the other side of this wall.   used to be a window here. Theres not anymore. So, thats where I will be. 
Michael| So if you need anything else, something to make you more confortable just dont hesitate to ask. Im right here. 
Katy| I guess a cup of coffee would be great. 
Michael| Wait a second. I should have spotted another addict. Uh, gotta love the bucks. 
Katy| What? 
Michael| Its like a slang for Starbucks. Theyre all over the place. Oh, man, that place is like the promised land to me. What a business model too. Ah, too bad we dont have the good stuff here. 
Katy| Regular coffee is fine. 
Michael| Nah, its not. its spppplllibbb
Katy| No really it is. 
