Michael| Tonight is the Dundies, the annual employee awards night here at Dunder Mifflin.  And this is everybodys favorite day. Everybody looks forward to it, because, you know, a lot of the people here dont get trophies, very often. Like Meredith or Kevin, I mean, whos gonna give Kevin an award? Dunkin Donuts? Plus, bonus, its really, really funny. So I, you know, an employee will go home, and hell tell his neighbor, "Hey, did you get an award?" And the neighbor will say, "No man. I mean, I slave all day and nobody notices me." Next thing you know, employee smells something terrible coming from neighbors house. Neighbors hanged himself due to lack of recognition. So...
Jim| So, you ready for the... the Dundies?
Pam| Ugh...
Pam| You know what they say about a car wreck, where its so awful you cant look away? The Dundies are like a car wreck that you want to look away, but you have to stare at it because your boss is making you.
Michael|  Hey hey hey! Its Fat Halpert.
Jim| What?
Michael|  Fat Halpert.  Jim Halpert.
Michael| So why dont I take you on a tour of past Dundie winners. We got Fat Jim Halpert here. Jim, why dont you show of your Dundies to the camera?
Jim| Oh, I cant because I keep them hidden. I dont want to look at them and get cocky. 
Michael| Oh, thats a good idea.
Dwight| Mine are at home in a display case above my bed.
Michael| Gyaaah. T.M.I. T.M.I my friends. 
Michael| T.M.I.? Too much information. Ah, its just easier to say T.M.I. I used to say "Dont go there" but thats... lame.
Michael| And here we have Stanley the Manly. Now Stanley is a Dundie all-star, arent you Stan? Why dont you, ah, show them some of your bling.
Stanley| I dont know where they are, I think I threw them out.
Michael| Oh, no you di-int.
Stanley| I think I did.
Michael| W-why did you...
Stanley| Say, we got to order some more apa-teezers this time.  We ran out last year, remember?
Michael| Yes we should. I... you know what?  I wanted one of those skillets of cheese, but when I got off stage,  someone had eaten all of them.
Michael|  To Oscar Martinez its the "Show Me the Money" award! Yeah!
Pam| Michael has taped 
every| Dundies awards and now, hes making me look through hours of footage to find highlights.
Oscar|  Thats supposed to be confidential.
Michael|  He has the award-ah! ...its a type of song that we are going to play for the ladies. Hit it, Dwight!
Michael|  A little bit of Paaam, all night long, a little bit of Angela on the thing...
Michael| ...a little bit of Phyllis everywhere...
Pam| Oh, yeah, this is the part where Kevin sat in front of the camcorder all night. Its great.
Michael|  ...a little bit of Roooy eating chicken crispers... ...a little bit of Jim with some ribs, a little bit of...
Kelly| It was you.
Phyllis| Live and learn.
Pam|  It wasnt. I swear.
Kelly| Yeah, it was.
Dwight| So, whats the joke? Youre not perfect either.
Pam| Were not laughing at you, Dwight.
Dwight| So who are we laughing at?
Pam| Um, just something somebody wrote.
Dwight| Who? Dave Barry?
Kelly|  No. No, just something that was written in the ladies room wall.
Dwight| What is it? Who wrote it?
Pam| Um, its kind of private.
Phyllis|  Its about Michael.
Dwight| That is defacement of company property. So you better tell me. Kelly, if you tell me, youll be punished less.
Pam| Okay, now Im laughing at you.
Michael|  Will her highness, Jan Levinson-Gould, be descending from her corporate throne this evening to visit us lowly serfs here at Dunder Mifflin Scranton?
Jan|  Its a, its, its a two and a half hour drive from New York, Michael.
Michael| Well, you could take the bus.  You could work on the way here. Sleep on the way home.
Jan| No.
Michael| Wuh... Come on, Jan. This is important. I mean, this is, this is, validation to my employees here that you and corporate approve of this. So...
Jan| No, we dont approve of this Michael. I mean, y-you only had the budget for one office party a year, so... were not paying for this.
Michael| Um...
Michael|  Could you...?
Jan| Are you there Michael?
Michael| Yeah, Im here, I just wanted to, uh, talk to you for a second about that.
Michael| Um, what, ah, what is, I mean...
Michael| ...come on, Jan!
Michael| Youre dropping an A-Bomb on me here.
Jan| Really? Im dropping an atomic bomb on you?
Michael| Well, yeah, I mean, what is...
Jan| You already had a party on May 5th for no reason.
Michael| No reason?! It was the 05 05 05 party...
Jan| And you had a luau....
Michael| ...it happens once every billion years.
Jan| And a tsunami relief fundraiser which somehow lost a lot of money.
Michael| Okay, no, that was a FUN raiser. I think I made that very clear in the fliers, fun, F-U-N.
Jan| Okay, well, I dont understand why anyone would have a tsunami FUN raiser, Michael. I mean, that doesnt even make sense.
Michael| Well, I think a lot of people were very affected by the footage.
Michael| This is a little character I like to do , it is, uh, loosely based on Karnack, one of Carsons classic characters.  Here we go. The PLO, the IRA, and the hot dog stand behind the warehouse.  "Name three businesses that have a better health care plans than Dunder Mifflin."  Heres the problem. Theres no open bar because of Jan and its the reason why comedy clubs have a two drink minimum. Itll be fine, I just...wish people were going to be drunk.
Phyllis| Dwight, get out of here!!
Dwight| No, no, no, no...
Phyllis| What were you doing in the ladies room?!
Dwight| ...no, no, no, no, its not what you think.
Phyllis| Why were you peering over the stalls?!
Dwight| No, why were you in there?!
Phyllis| You are a pervert!
Dwight| What were you doing in there?
Phyllis| You, are, a pervert!
Dwight| I am not.
Michael|  The Dundie award for "Longest Engagement" goes to Pam Beesley.
Michael| Pam, everybody! 
Michael| Whoooo! When is that girl gonna get married? Thats what I have to say. Ah, Roys accepting.
Roy|  Yes.
Michael|  Thank you Roy. Are there any words youd like to say, on Pams behalf?
Roy|  Ah, w-well see you next year.
Michael|  Yeah, oh, hope not! Oh God!
Michael| Im not changing that, its the best one.
Jim| No, its hilarious, youre right. I just think, um, "worlds longest engagement", um, were all expecting it, you know?
Michael| Thats why its funny. Every year that Roy and Pam dont get married, it gets funnier.
Jim| Well I think if you use the same jokes it just comes across as lazy.
Michael| Oh,  lazy. Uh huh.
Dwight| Excuse me, everyone, could I have your attention please. I just wanted to say that the women in this office are terrible. Especially the ones who wrote that stuff about Michael on the bathroom wall. Having a bathroom is a privilege. It is called a ladies room for a reason. And if you cannot behave like ladies, well then you are not going to have a bathroom.
Pam| Youre taking away our bathroom?
Dwight| We are going to have two mens rooms.
Phyllis| But where would we...go?
Dwight| Be prepared to hold folks  From 9 am to...
Pam| Michael...
Michael| Yes.
Pam| ...Dwight is banning us from our bathroom.
