Michael|  Hey, whats up?
Jim| Hey.
Michael| Any emails today?
Jim| Um... I dont think so.
Michael| No? Um... Check your spam folder.
Jim| Oh! There it is!
Michael| What?
Jim| Um... Fifty signs your priest might be Michael Jackson.
Michael| 
Jim| Well done.
Michael| Kay.
Jim| Topical.
Michael| I am king of forwards. Its how I like to do business, everybody joking around. Were like Friends. I am Chandler and Joey and, uh, Pam is Rachel. And Dwight is Kramer.
Dwight| So the monkey does the sex thing right here!  
Michael| Thats funny! Thats funny. Not offensive. Uh... because its nature. Educational. 
Dwight| Do you want the link because then you could forward it around?
Michael| Um, I... 
Dwight| Consider it?
Michael| Yeah... maybe. Maybe. Well, well see. Because I... I dont know if its...  Whup! Come on! Hey!
Todd Packer| What has two thumbs and likes to bone your Mom?  This guy!
Michael| Kay! Oh, you are so bad! Yeah!
Todd Packer| 
Michael| Oh, Boom! Bam! Oh, this guy is out of control! He is a madman! Better get the bleep button ready for him.
Todd Packer| bleep, bleep. Whats up, Halpert? 
Michael| Uh oh.
Todd Packer| Still queer?
Michael| Uh oh! Oh-ho-ho-ho-ho-o!
Michael| Todd Packer and I are total BFF. Best Friends Forever. He and I came up together as salesmen. One time, we were out and we met this set of twins. And Packer told them that we were brothers. And so, you know, one thing led to another, and we brought em back to the motel. And then Packer did both of them. It was awesome. So... 
Michael| Oh-whoa-oh! Oh! Okay. Grade A gossip for you, right now. Randall, CFO, resigned. Nobody knows why.
Todd Packer| Are you kidding? Everyone knows why! You dont know? Okay, check this out. Al lright. So heres the story. So Randall is nailing his secretary, right? And she is totally incompetent.
Michael| Really? Here we go! Buckle up. Its going to be a bumpy one!
Todd Packer| Were talking blonde incompetent.
Michael| Oh, yeah.
Todd Packer| Like 10 words a minute... talking. 
Michael| Well, to be fair... blondes, brunettes, you know, theres a lot of dumb people out there.
Todd Packer| They are women, right?
Michael| Oh! Wow! I didnt say it! I didnt say it!
Todd Packer| I said it. And then, suddenly, for no reason, this bimbo blows the whistle on the whole thing just to be a bitch.
Michael| Oh, wow! What did I tell you about the bleep button.
Jim| Hey, um... what has two thumbs and hates Todd Packer?  This guy!
Todd Packer| Meant to ask you, can you think you can get someone to drive me around because of the, uh, DUI situation?
Michael| Oh. Bad boy.  Um... Ryan? 
Todd Packer|  Come on, kid. Lets go.
Michael| Ah! Man. That Todd Packer can do anything.
Jim| Except pass that breathalyzer.
Ryan| You a big William Hung fan?
Todd Packer| Why does everyone ask me that? Who the hell is that?
Kevins computer| 
Jim| Im really excited to meet your Mom.
Pam| You are?
Pam| My Mom is coming in to visit. And she lives like two hours away. And she doesnt have a cell phone... which is cool cause its kind of adding some suspense to my day. And I keep looking over at the door hoping shell walk in.
Pam| Ive decided to show her around. She really wants to meet everybody.
Jim| Oh yeah?
Pam| mmhmm.
Jim| Good. Cause I have a lot of questions.
Pam| Oh really?
Jim| Yeah. As a child, did Pam show any traits that would hint towards her future career as a receptionist?
Michael| Hey, send me that link to the monkey sex video. Im going to forward it like its hot.
Dwight| Yes!
Michael| Forward it like its hot. Forward it like its hot. "Old School".
Toby| Michael?
Michael| Yes, Toby?
Toby| Um... I need to talk to you in your office. Itll just take two seconds.
Michael| Um... literally two seconds?
Michael| Toby is in HR which technically means he works for Corporate. So hes really not a part of our family. Also hes divorced so hes really not a part of his family.
Toby| The full story is that Randall resigned because of sexual harassment. So Corporate asked me to do a five minute review of the Company Sexual Harassment policy.
Michael| No, no, Toby. No.
Toby| Its really not a big deal, Michael.
Michael| It is a big deal. Its a big deal! What are we supposed to do? Scrutinize every little thing we say and do all day? I mean, come on!
Toby| And then Corporate is going to send in a lawyer... 
Michael| What?
Toby| Just to refresh you... .
Michael| NO!
Toby| on our policy. 
Michael| What? He! No! Okay, what is a lawyer going to come in and tell us? To not send out hilarious emails or not tell jokes? 
Toby| Maybe not some of them. Maybe not inappropriate ones.
Michael| There is no such thing as an appropriate joke. Thats why its a joke.
Michael| Everyone! Hello! Everyone. Hi! Sorry to interrupt. I know youre all busy and the last thing you want is for a major interruption. But Toby has an announcement that he insists on making right now in the middle of the day.  So, take it away.
Toby| Yeah, okay. Corporate would like us to do a five minute review of the Company Sexual Harassment policy so Ill go over that later.
Michael| I wish you luck, Toby. I really do. But you are going to have a mutiny on your hands and I just cant wait to see how you handle it.
