Michael| Im an early bird, and Im a night owl. So Im wise, and I have worms. Oh, breakfast.
Ryan| I got your sausage, egg and cheese biscuit.
Michael| Yummy, yummy. Thank you, Ryan.
Ryan| What was the thing, ah, you needed me to come in early for?
Michael| Um. The sausage, egg, and cheese biscuit. But thank you. And why dont you take a couple hours. The office is yours. "Home Alone," "Risky Business." Take your pants off, run around. Whatever you gotta do.
Ryan| Im just going to take a nap in my car until work starts. 
Michael| Ok.  Healthier. Gotta watch those carbs. 
Michael| Today, I, Michael Scott, am becoming a homeowner. Investing in real estate.
Dwight| Diversifying. Smart.
Michael| Yes it is. Yes it is. It is very important to own property. Back in olden days, they would not even let you vote unless you owned property and theyd throw you in the stocks and humiliate you.
Dwight| And it worked. They should bring the stocks back. Peopled obey the law, thered be less troublemakers.
Michael| Maybe.
Jim| 
Pam| 
Pam| Every so often, Jim dies of boredom. I think today it was the expense reports that did him in. And our deal is that, its up to me to revive him. 
Pam| You see Dwights coffee mug?
Jim| Mm-hmm.
Pam| Sometimes when hes not here, I try to throw stuff in it. 
Jim| No way. Lets do this  Oh. 
Pam| Here.
Jim| Wind.
Pam| Try paperclips. Oh wait. This message. For Dwight.
Jim| Perfect. 
Pam| Oh. 
Jim| Oh. 
Dwight| You should go.
Michael| Yes. Yes. Final walkthrough. 
Dwight| Uh huh.
Michael| Sign the papers at the condo.
Dwight| You have your lawyer there?
Michael| Uh, I dont need one.
Dwight| Can I be your representative?
Michael| I dont need a representative.
Dwight| I think I should be there.
Michael| No, No.
Dwight| Im good. I can make sure things are up to code.
Michael| No. Dwight. Im fine.
Dwight| Please, Im always the guy you rely on at work. 
Michael| Well, this isnt about work. This is closing on a condo, its completely personal. 
Dwight| So youre taking a personal day?
Michael| Except that, this is about my living arrangement, and as boss, I need to have a living arrangement in order to do work.
Dwight| Please, Ill make you proud.
Michael| Ok. Fine. Yes, you can come.
Dwight| Yes! As your representative?
Michael| As my associate.
Dwight| Same thing. 
Michael| No it is not. 
Dwight| I have been Michaels #2 guy for about 5 years. And we make a great team. Were like one of those classic famous teams. Hes like Mozart, and Im like Mozarts friend. No. Im like Butch Cassidy, and Michael is like Mozart. You try and hurt Mozart; youre going to get a bullet in your head courtesy of Butch Cassidy. 
Michael| Oh, most honorable Pamera. Not offensive, because thats the way they talk in movies. 
Pam|  You headed out?
Michael| We are. Dwight and I are going to the big thing. So why dont you have everybody work on their expense reports and Id like them in by the end of the day.
Pam|  Ok. 
Michael| Very good. 
Pam|  Have a great time.
Michael| We will. Um, did you do the thing I asked you to do about the magazines?
Pam|  Yeah, I changed them to your new address.
Michael| Good. The Small Business Man?
Pam|  Yup.
Michael| Maxim? American Way? Cracked?
Pam|  Yes, I changed your Cracked magazine subscription.
Michael| How about, uh, Fine Arts? Aficionado Monthly?
Pam|  
Michael| NO, well can you get on that, because I dont just read Cracked.  Thank you. 
Pam|  Yeah.
Michael| Ok. See you soon.
Dwight| What kind of shocks you got on this baby?
Michael| I dont know, regular. Normal ones. Nothing fancy. Not my style. What are you doing?
Dwight|  I want to put the top down. 
