Pam| Dunder Mifflin, this is Pam. Sure, can I ask whos calling? Just a second. 
Jim| Jim Halpert. What? How did you get this number? Stalker. 
Pam| Katy and Jim met in the office. And now I guess theyre like going out, or dating, or something. And, uh... I dont know! You know? Theyre just... She calls him, and they... You know, Im sorry. I feel like Im talking really loud. Am I talking really loud? 
Jim| So were still on for lunch? Youre meeting me here? Okay. Great. Bye. 
Pam|  Hey! You can just give her your extension. 
Jim| Okay. 
Michael| Howard, slash Ryan, Ryan Howard is sitting in my office. And he has been a temp here for a couple of months and hes kind of gotten the lay of the land a little bit. Had a few laughs along the way. And now he wants to know what I think. 
Ryan| The temp agency wants to know what you think. 
Michael| Shall we? Let us proceed. First up, proficiency in necessary skills. Aaaaeeexcellent! 
Dwight| Michaels in there right now evaluating the temp. He hasnt evaluated me in years. 
Michael| Five years from now, what do you want to do? Where do you want to be? 
Ryan| Ah, well, Im interested in business. 
Michael| Oh! Good. Ambitious. Excellent. Want to be a manager? 
Ryan| Uh, no, actually, uh, what I want is to own my own company. 
Michael| That is ridiculous.
Michael| Ryans about to attend the Michael Scott School of Business. Im like Mr. Miyagi and Yoda rolled into one. 
Michael|  Much advice you seek.  Do you know who that is? 
Ryan| Fozzie bear? 
Michael| Mmm... No. That was Yoda.
Michael| There are ten rules of business that you need to learn.  Number one You need to play to win. But... you also have to win to play. 
Ryan| Got it. 
Michael| And I will give you the rest of the ten at lunch. 
Michael|   Hey! 
Dwight| Michael and I have a very special connection. Hes like Batman, Im like Robin. Hes like the Lone Ranger, and Im like Tonto. And its not like there was the Lone Ranger, and Tonto, and Bonto. 
Oscar|  But it says no late fee... .
Dwight|  People! 
Angela| Okay! Everybody!
Dwight| This is not a test! Move to the exits!
Angela| Do not panic!
Dwight| Head towards the exits.
Angela| Safety partners.
Dwight| Get up off your desks! 
Angela| Do not panic.
Oscar|  No, I dont hear it? Alright.
Dwight| No, panic is warranted! 
Angela| Go in single file lines. 
Oscar|  No, no. Finish the... 
Dwight| This is not at drill! 
Angela| Arms at your sides! Arms at your sides!
