Michael| Happy Halloween, everyone!  Oh... thats great!
Pam| Hey... Happy Halloween. Jan called.
Michael| Ohh... OK.
Michael| I know why shes calling. Its the end of the month, and I was supposed to let somebody go by the end of the month.  And somehow Im supposed to put on a costume and smile.  Okay.
Sherri|  Jan Levinsons office.
Michael| Hey, Sherri. Michael Scott returning.
Sherri| Oh, shes in a meeting. Uh, she just wanted the name of the employee you let go.
Michael| Well, Im gonna wait till the end of the day. Because the book said its best to wait till the end of the day.
Sherri| I just need the name of who youre planning to let go.
Michael| I dont know... yet. I will have to call her back.
Sherri| I know she wanted the name.
Michael| Okay... Sherri?
Sherri| Yeah?
Michael| If you were getting fired, how would you wanna be told so you could still be friends with the person firing you?
Sherri| Jan wants the name as soon as possible, Michael.
Michael| Thanks.
Sherri| Mm-Hmm.
Michael| Ill call her back.  Wish I could fire Sherri.
Sherri| Hey, Im still here.
Michael| Okay! Im sorry.
Sherri| Yeah.
Michael| No?
Sherri| OK.
Michael| Bye.
Sherri| Hanging up now. 
Michael| I mean you hear about layoffs in the news, but when you actually have to do it yourself, it is heavy stuff. Its... these are peoples lives youre talking about.
Pam|  You wanted me?
Michael| Yes.
Pam|  Papier-mache?
Michael| Yes.
Pam| Hmm.
Michael| Yeeesh.
Pam| Mm-hmm.
Michael| Um, Pam, I have to let somebody go today. This is, uh, the hardest thing Ive ever had to do.
Pam| Why did you put it off until Halloween?
Michael| Because its very scary stuff.
Pam| I think its gonna put a damper on the party a little.
Michael| Youre worried about the party? Theres a mans life at stake here.
Pam| So its a man?
Michael| No. Or a woman. A human life. If you had to guess, who it would be based on their job performance... and who you think deserved to be fired - who would that be?
Pam| I just answer the phone.
Michael| And... sometimes you just let it go to voicemail.
Pam| Youre costume is fantastic! 
Michael| I know. I sent away for it in July from a catalog. 
Pam| Oh no, dont, dont, dont, dont.  Aah!  Okay... 
Michael| Oh, man. Okay, I have to fire somebody.
Dwight|  What is that?! What are you supposed to be?
Jim| Im a three hole punch version of Jim. Cause you can have me either way. Plain White Jim, or Three-hole Punch.
Phyllis| Thats great!
Jim| Oh, yeah.
Dwight| Yeah, well look...  What about me?
Phyllis| What are you? A monk?
Dwight| I am a Sith Lord.  Oh big deal. Three round pieces of paper taped to a shirt. This cost me 129 dollars.
Phyllis| Ass.
Michael| Hey.
Oscar| Michael.
Michael| You guys excited about the party?
Angela| Yeah.
Michael| Its gonna be fun.
Kevin| Yeah.
Angela| Yes.
Michael|  Oh, boy... look at you! Haha. Showing your colors. Bet you wish you wore a dress every day.
Oscar| What are you implying?
Michael| All good. Happy Halloween. What happened to all those spooky decorations that we had? The cobwebs and such?
Angela| You know, I dont know. We put them all up last night.
Michael| Well, you know what? Go buy some more. Ill approve the overages. Sound good?
Angela| Yeah.
Michael| Good.  Oh, yeah, also about budget stuff. Um, Im  going to need you to find, like a, a full employee salary, plus benefits, like fifty grand. Im going to need you to find 50 grand in the numbers.
Angela| But we dont keep two sets of books.
Michael| Well, thats not what Im saying. Just, you know, find it. Pretend that your jobs depend on it.
Michael| Mmm-hm-hmm. Interesting take on Dorothy. I love it. Hey, you know what would even be better? Soccer ball and cleats.
Kelly|  Why is that?
Michael| "Bend It Like Beckham."
Kelly| Oh, like ... the movie about the Indian girl who plays soccer?
Michael|  Yeah. That would be perfect.
Kelly| Yeah, I mean, I guess I could do that. I dont really play soccer or anything. 
Michael| Well, I dont really have two heads. So... 
Dwight| Wait, what are you again? Oh, right... Three-hole PUNCH! 
Pam| Okay, greatest strength.
Jim| Okay, okay... 
Pam| A dog-like obedience to authority
Jim| Nice.
Pam| But that doesnt sound good.
Jim| Okay, okay. Um, how bout, the ultimate team player? 
Jim| Dwight is... special. But, I dont believe that his talents are being used in this office. So Pam and I have put his resume on Monster.com, Google, Craigs List. Were really interested most in jobs that take Dwight out of state. Um, preferably Alaska... or India.
Pam| Hes a gun nut.
Jim| Um. He sticks to his guns.
Angela| Well, I looked through all the budgets. And there is one department... 
Oscar| Yes?
Angela| ... that has three people... 
Oscar| Yeah?
Angela| ... doing the work that could be done by two.
Oscar| This is great.  Oh.
Kevin| Yeah. Oh.
Michael| Who do you think it should be?
Dwight| Jim. Definitely.
Michael| No, Jim brings in money.
Dwight| Phyllis.
Michael| Eh.
Dwight| Stanley. Pam. Oscar. Meredith. Kevin. Angela.
Michael| Its not a popularity contest. Although it does make sense to fire the least popular because it has the least effect on morale.  
Dwight| One of the warehouse guys.
Michael|  What? There was someone left off that list? Who?
Dwight| Who is he saying?
Michael| Youre right, I didnt even think of him.
Dwight| No, Michael.
Michael| Yeah, thats actually a really good idea.
Dwight|  No, not me.
Michael| Yeah... I could.
Dwight|  Not Dwight.
Michael| Im not saying thats what he said.
Dwight| I know thats what he said.
Michael|  What?
Dwight| Tell him, not Dwight.
Michael| That is not a very nice thing to say about him.
Dwight| Tell him to stop.
Michael| Are you kidding?
Dwight| Quiet, you.
Michael| I agree. Hed land on his feet.
Dwight| Make him be quiet.  
Angela| Those arent chips and dip.
Pam| No, I made brownies.
Angela| Uh!
Pam| ... What?
Angela| Im just trying to figure out why youre sabotaging things.
Pam| I made brownies.
Angela| And I made cookies. Same category.
Pam| Im guessing Angelas the one in the neighborhood who gives the trick-or-treaters some toothbrushes. Pennies. Walnuts.
Pam|  Dunder-Mifflin. This is Pam.  Uh, yeah.  Just one second. I will, uh, transfer you to our manager, Michael Scott.
Jim| Um... Whoa.  Michael Scott here. Yes, I am regional manager of this orifice. Mmm hmm. Dwight Schrute is amazing. Yeah. No, he is actually the single greatest employee of his generation. Mm  hmm. You know what? Im gonna tell you what. You hire Dwight K. Schrute, and if he does not meet, nay, exceed every one of your wildest expectations, well then, you can hold me, Michael Gary Scott, personally and financially responsible. Okay. Okay. Okay-kay-kay-kay-kay. Okay.
Dwight| Stanley, could you come with me, please.
Stanley| No.
Dwight| As Assistant Regional Manager... 
Stanley| To the.
Dwight| Look! Ive got some bad news. Youre fired. You need to pack up your things and go.  Im serious, Stanley. Its over.  Im sorry.
Stanley|  Youre fired. Get your fingers off my phone.
Michael| So. How did it go with Stanley? How... howd he take it?
Dwight| He wouldnt listen to me
Michael| Ahh, come on.
Dwight| If you want to fire him, youre going to have to tell him yourself.
Michael| I dont wanna fire Stanley. I never said that. Im certainly not going to do it myself. Get those big, baleful, eyes staring at me. Yikes. Just, okay, just... 
Dwight|  Cumberland Mills?! And how did you get my resume? Oh no, no. Im very flattered. Dont get me wrong. Im just not sure that its my official resume or if its something that maybe a satisfied customer posted online. What does it say under martial arts training? Oh. Okay, Im gonna have to supplement that. Could I have your fax number? 
Dwight| Would I ever leave this company? Look, Im all about loyalty. In fact, I feel like part of what Im getting paid for here is my loyalty. But, if there were somewhere else that valued that loyalty more highly, Im going wherever they value loyalty the most. 
Oscar| Oh... hey.
Ryan| Oh, your dress is stuck in the back. Kind of just... 
Oscar| Oh. 
