Dwight| Where is my desk?
Jim| That is weird.
Dwight| This is not funny.  This is totally unprofessional. 
Jim| Ok, well, youre the one who lost the desk.
Dwight| I didnt lose my desk.
Jim| Okay, calm down.  Where was the last place you saw it?
Dwight| Okay, who moved my desk?
Jim| I think you should retrace your steps.
Dwight| Ok, I am going to tell Michael and this entire office will be punished!
Jim| Colder... warmer... little warmer... there you go, ooh, warmer... warmer... warmer... warmer... warmer ... cold, cold, cold, back up... ooh, ooh, warmer, hot, red hot,  hot, very hot.
Dwight|  Dwight Schrute.
Jim|  Hi, Dwight, um, what sort of discounts are we giving on the 20 lb white model.
Dwight| Jim, Ive given you this information, like, twenty times.
Jim| I know.
Dwight| Its by the ream?
Jim| Uh, yeah, ream.
Dwight| ...now, $9.78, signs and discounts 7%.
Jim| Ok, thank you, gotta get back to work.
Dwight| Wash your hands, Kevin.
Jim|  Right, oh let me just check the pricing list.  Hold on one second... 
Dwight|  Sensei, hello its Sempai... 
Jim| Umm... 
Dwight| Dwight... 
Jim| You know what, let me give you a call right back. Im going to uh, find it and then Ill call you back, thanks.
Dwight| Yes, I just had a ques-... Yes Sensei. Arigatou gozaimashita. Hai.
Jim| Was that your mom?
Dwight| No, that was my Sensei.
Jim| Oh, I thought it was your mom.
Dwight| I am now Sempai, which is Assistant Sensei.
Jim| Assistant to the Sensei, thats pretty cool.
Dwight| Assistant Sensei.
Jim| Ok.
Dwight| I am a practitioner of Goju Ru Karate, here in Scranton. My Sensei, Ira, recently promoted me to purple belt, and gave me the duties of a Sempai. Not that a lot of people here in America know what a Sempai is, but it is equally as respected as a Sensei.
Stanley| I dont want to stay until seven again this year.
Pam| I dont really have any control over that Stanley.
Pam| Michael tends to procrastinate a bit whenever he has to do work. Umm, time cards, he has to sign these every Friday. Purchase orders have to be approved at the end of every month. And expense reports, all he has to do is initial these at the end of every quarter. But once a year, it all falls on the same Friday and thats today. I call it the Perfect Storm.
Michael|  I dont want to work, I just want to bang on this mug all day.
Ryan| Did you ask me here for any specific reason?
Michael| Uhh, yes, I did, heres the dizzle. I have a very top secret mission for you. I want you to update all the emergency contact information.
Ryan| Why is that secret? 
Michael|  Hello, oh God, busy work. Ahh, get away, cretin.
Pam| Umm, I put stickers so you know where to sign. 
Michael| Yes, thank you. I know where to sign. 
Pam| Its just last year you... 
Michael| Last year they were out of order, werent they Pam?
Pam| Well, the last pick-up for overnight deliveries is at seven. So you need to have them signed by then. Or much earlier.
Michael| Chillax, Pam. Stop Pam-M-S-ing. Thats pretty good. Um, actually, Im sending Ryan on a top secret mission. Tell her what it is.
Ryan| Updating emergency contacts.
Pam|  Well, is that really a priority? 
Michael| Is it a priority? Oh I dont know, um, what if there is a tornado, Pam? Peoples legs are crushed under rubble. "Please, would you be so kind as to call my wife? No, I cant because we dont have any emergency contact information because Pam said it wasnt a priority." Think. Think with your head, Pam. Ok, well. She walks out. Thats the problem with being a boss is that when you are tough they resent you and when you are cool they walk all over you.
Ryan| Catch-22.
Michael| Catch-22. Yes. Why dont you give me your contact information to start with, ok, whats your cell?
Jim| Uh, Larissa Halpert. 
Ryan| Whats her address? 
Jim| 117 Mount Bergin St. 
Ryan| Hello?
Michael|  Hey Ryan. This is Michael Jackson calling from Wonderland.
Ryan| Do you mean Neverland?
Michael| This is Tito. 
Ryan| What?
Michael| Calling from... 
Pam|  Youre major and minor lines cross at a ridge - that sucks.
Jim| You making this up as you go along, arent you?
Pam| I am just following the website.
Jim| Well, at least I dont have cavities.
Pam| Yes, you have very nice teeth.
Jim| Thanks.
Ryan| Who is your emergency contact? 
Kevin| Stacy.
Ryan| 
Michael|  Pick up.
Ryan| Hello?
Michael|  This is Mike Tyson.
Jim| Hey, Dwight. As Sempai, do you think there is ever going to be a day where humans and robots can peacefully co-exist?
Dwight| Impossible. The way theyre programmed... Youre mocking me.
Jim| No Im not.
Dwight| Look, Im going to offer you a little piece of advice. Im not afraid to make an example out of you.
Jim| Oh, thats not advice. What advice sounds like is this umm, dont ever bring your purple belt to work because someone might steal it. 
Dwight| Ok, give that back to me.
Jim| Ok, say please. 
Dwight| No. That is not a toy. 
Jim| Please?
Dwight| Please?
Jim| Good, and it absolutely is a toy. Arigatou. 
Dwight| Arigatou. This is not a toy. This is a message to the entire office so they can see that I am capable of physically dominating them. 
Michael| And this is more a ying-yang thing. The Michael all cursive, the Scott all caps. Left brain, right brain. Or, duality of man. 
Pam| Could you practice on the forms?
Dwight| No women or children, unless provoked. 
Jim| Ok, Roy? 
Dwight| Warehouse guy. Doesnt count. 
Jim| Ok. Michael? Could you beat up Michael? 
Michael| Yeah, yeah, I dont think that would happen.
Dwight| Because were friends.
Michael| Because I would kick his ass. 
Jim| Well, Dwights a purple belt, so... 
Michael| So? Ive beaten up black belts. 
Jim| Uh, how did you know they were black belts?
Michael| They told me. After. You see, I used to run with a very tough crowd. Street Fighter types. Real, real bad people, Im just lucky I got out. 
Ryan| Is your wife still your contact?
Toby| Um, ex-wife. Yeah. Um, her last name is Becker now. 
Ryan| Kay.
Toby| You dont need to write ex.
Michael| And after that, nobody ever messed with the Damn Rascals ever again. 
Jim| Sounds tough. When youre a Jet,  youre a Jet all the way, right? 
Michael| You were a Jet?
Angela| Have you signed the expense reports yet?
Michael| Yes, in theory, I have. I just need to cross some ts and dot some is. Alright, Im going to be in my office if anybody needs me.  Hoo-hah. Oh, wow, sleeper hold. Thats my rebuttal. Shhh. Hoo. You are the weakest link. 
Dwight| Argggg!
