Ryan|  Hey, have they left for the big meeting yet?  Ive got Michaels lucky tie.
Jim| No.  Theyre in the conference room.
Ryan| Good.
Pam| Wait, are those Michaels Levis?
Ryan| Yeah, who dry-cleans jeans?
Pam| Michael and his jeans.  He gets in them, and Im not exactly sure what happens.  But I can tell you, he loves the way he looks in those jeans.  I know thats why he started casual Fridays.
Pam|  Ill take those. Thanks. 
Jan| This is a projection of the countys needs... 
Michael| Wow, graphs and charts, somebodys really been doing their homework.  Looks like USA Today.
Jan| Thirteen schools, uh, two hospitals... 
Jim| So this possible client theyre talking about, actually a big deal.  Its Lackawanna County.  Our whole county.  And if we get this, they may not have to downsize our branch.  And I could work here for years.  And years.   Years.
Jan| So when we get to the Radisson, Id like to, um-
Michael| I changed it.  To Chilis.
Jan| Excuse me?
Michael| Radisson just gives out this vibe, "Oh, Im doing business at the Radisson".  Its kind of snooty.  So.
Jan| You had no right to do that, Michael.
Michael| Heres the thing. Chilis is the new golf course.  Its where business happens.  Small Businessman Magazine.  
Jan| It said that.
Michael| It will.  I sent it in.  Letter to the editor.
Jan| Alright.  But you will let me run this meeting.
Michael| Uh huh, uh huh.  Power trip.
Jan| What?
Oscar| She had done a background check on me, she had it printed out.
Jim| No... 
Oscar| Yeah.  And she was asking me about stuff, line by line, while we were having dinner.
Toby| That is unbelievable.
Pam| What is going on?
Jim| We are doing worst first dates.
Pam| Oh my God, I win!  Ok, it was a minor league hockey game. He brought his brother, and when I went to the bathroom, the game ended and they forgot about me.  
Oscar| Ok, thats a joke.
Pam| No, they had to come back for me. 
Jim| Wait, when was this?
Pam| Umm... it was not that long ago.
Kelly| Wait, not Roy.  Say its not your fiance. 
Jim| I always knew Pam has refused to go to sports games with Roy, but I never knew why.  Interesting. 
Michael| Ok, lets do this thing.   Wish us luck.
Dwight| Good luck, Michael. Good luck, Jan.
Jan| Thank you.  
Michael|  Kiss ass.  Ok, probably going to go late tonight.  Burning the midnight tequila.  So, I think you could all just take off now.
Jan| Michael, shouldnt take more than an hour.
