Dwight|  You should get one of these.
Jim| No.  Thank you.
Dwight| Do you even know what this is?  It is a fitness orb and it has completely changed my life.  Forget everything you thought you knew about ab workouts.
Jim| Done.
Dwight| This ab workout is specifically designed to strengthen your core.  Sorry.
Jim| Sok.
Dwight| Numerous health benefits, strengthens your back, better performance in sports, more enjoyable sex.
Jim| Youre not having sex.
Dwight| Plus, improves your reflexes  see, I would have caught that.
Jim| Ok, you know what, uh, how much is that?
Dwight| Its only twenty-five bucks.
Jim| Wow.  Um, ok. 
Michael| Pam, could I see you in my office?
Pam| Its performance review day, company-wide.  Last year, my performance review started with Michael asking me what my hopes and dreams were, and it ended with him telling me he could bench-press 190 pounds.  So, I dont really know what to expect.
Michael| Pam, youre trustworthy-
Pam| Thank you.
Michael| And a woman-
Pam| Oh, no.
Michael| And I want you to listen to a voicemail from my boss.  "Michael, its Jan. I guess I missed you.  Ill, uh, be there this afternoon for performance reviews.  I hope its understood that that will be our only topic of discussion. See you soon."  First impressions?
Pam| Uh, just off the top... I think shell be here this afternoon.
Michael| My boss is coming in today, the lovely Jan Levinson-Gould will, well, no Gould. The Gould has been  swack, divorced.  Um, the awkward part is that this will be the first time that well be seeing each other since, well, uh, it was really nothing.  We just sort of got caught up in the moment.  The vulnerable divorcee gives herself to the understanding, with rugged good-looks, office manager.  Just, uh, she didnt want it to continue for some reason.  It, we both, I didnt want it, we both didnt want it to continue.  Was not professional.  Um, when people say somethings mutual, it never is.  But this was mutual.
Michael|  "I guess I missed you." I guess I missed you.  So, she misses me?
Pam| She missed you.
Michael| But then she goes on to say "that will be our only topic of discussion".  That doesnt mean anything, those are just words.
Pam| I have one idea of what it means.
Michael| Ok. Yeah, what, what?
Pam| Well I dont think youre gonna be very happy with this.
Michael| Ohhh, great.  Well, now Im in a terrible mood.  Lets do your performance review-
Pam| Because shes conflicted.  She has to be professional, but shes fighting feelings... for you.
Michael| Ah, why, thats great news?   That, that, then why would, why would I not like that?
Pam| Um, just cause, that, you work together, and it might be awkward.
Michael| Oh, wow, wow.  Alright, lets listen to that again.  "Michael, its Jan.  I guess I missed you".
Dwight| Oh, hey, listen, Jim.  Heres a little tip for your performance review.
Jim| Ok.
Dwight| Tell Michael that we should be stocking more of the double-tabbed manila file folders.
Jim| We dont have double-tabbed manila file folders.
Dwight| Oh, yes, we do.
Jim| No, we dont.
Dwight| Yeah, its a new product.  So, you should just suggest that to him and hell be sure to give you a raise.
Jim| Alright... well, Im not asking for a raise. Im gonna actually be asking for a pay decrease.
Dwight| Uh, that is so stupid.  What if he gives it to you?
Jim| I win.
Dwight| Ugh, you know what?  I am going to zone you out for the rest of today.  I need to stay focused, and I dont have to see you tomorrow or Sunday and please dont call me, and well see how things go on Monday.  Uh, stupid.
Jim| Wait, wait; one thing.  Uh, by tomorrow, you mean Saturday, right?
Dwight| Uh, duh.
Jim| Duh.
Jim| Today is Thursday.  But Dwight thinks that its Friday.  And thats what Ill be working on this afternoon.
Stanley| Sometimes women say more in their pauses than they say in their words.
Michael| Really?
Stanley| Oh, yes.  Lets listen to it again.  And this time, really listen to the pauses.
Michael| God, Stanley, thats frickin brilliant. How do you know that?  Did you learn that on the streets?  Sorry.
Stanley| Oh, no, thats ok.  I did learn it on the streets.  On the ghetto, in fact.
Michael| No kidding.
Stanley| Its all about my bonus.
Pam| Michael and Jan definitely made out.
Jim| Ohh... 
Pam| Maybe more.
Jim| Eck!... Oh! Also, it is Thursday, but Dwight thinks its Friday.  So, keep that goin.
Pam| Oh, yea!
Michael| Good work, Stanley. Great performance review.  Stanley in the house, everybody.  Woo!  Angela, your turn.
Angela| I actually look forward to performance reviews.  I did the youth beauty pageant circuit.  And I enjoyed that quite a bit.  I really enjoy being judged.  I believe I hold up very well to even severe scrutiny. 
Pam| Michael?
Michael| Yeah?
Pam| Jans on the phone for you.
Michael| Oh; Angela, you were totally satisfactory this year.
Michael| Interesting.  Jan is calling me.  Maybe it wasnt so mutual after all.  Yeah?
Jan| Michael.
Michael| Jan!  To what do I owe this pleasure?
Jan| I am returning your many calls.
Michael| Well, hello to you, too.  Um, yeah, I was just um, I just wanted to get some closure on uh, what transpired between us at the meeting we had in the parking lot of the Chilis.
Jan| No. No, we wont be discussing that, Michael.  The only things I wanna talk about during your performance review are your concrete ideas to improve your branch.
Michael| Well, surely this uh, review is a formality because of what happened uh, at our meeting in the parking lot of Chilis.
Jan| Uh, your review is anything but a formality, Michael.
Michael| Oh.
Jan| I expect you to forget anything that you think may have happened between us and exhibit completely professional behavior.
Michael| Been thinking about you.
Jan| Ok, that is an example of completely unprofessional behavior.
Michael| Um, I dont see how thats unprofessional. Just-
Jan| Michael.
Michael| Yep.
Jan| Are the cameras with you...
Michael| No.  
Jan| ...in your office?
Michael| They are not.  Yes, they are.   Thats my girlfriend.
Kevin| I heard they made out and had sex.
Oscar| No, they just made out.  Thats it.
Kevin| Well, I heard they made out 
and| had sex.
Angela| Dont talk about it.  Office romances are nobodys business but the people involved.
Kevin| Romances?
Michael| Pam, I have ideas on a daily basis. I know I do.  I have a clear memory of telling people my ideas.  Um, is there any chance you wrote any of my ideas down?  In a folder?  A "Michael-idea" folder?
Pam| Sorry.
