Michael| It is Friday morning and it is another beautiful day in Scranton, Pennsylvania.   Oh my God. Ohhh.  Pick up, pick up, pick up, pick up.  Oh, we have a serious problem here.  Alright everybody, lock the doors, turn off the lights.  Pretend youre not here.
Jim| Are we in danger?
Michael| Theres no time to think about if this is real.  Just, shh, everybody. 
Kevin| Michael, should I call the...  What?
Michael| The IT tech guy and me did not get off to a great start.
Michael| Yeah, I tried to install it myself, but, uh, you guys have these things so password-protected... 
Sadiq (IT guy)| That just means you have to enter your password.
Michael| Oh... 
Sadiq (IT guy)| Whats your password, Michael? 
Michael| Oh, umm... 
Sadiq (IT guy)| Oh, its 1-2-3.
Michael| Yes.
Dwight| Mi-
Michael| AH! Guh-oood.
Dwight| Sorry.
Michael| Please dont do that.
Dwight| Ok, Im sorry.  What is going on in there? Why is he here?  What are you doing?
Michael| I cant tell you.
Dwight| You have to tell me.
Michael| I dont have to tell you anything.
Dwight| Look, Michael, I know you dont want to have to think about this, but if something were to happen to you, God forbid, then I would need to know in order to take over.
Michael| Dwight, nothing is going to happen to me, ok?  Im in the best shape of my life.  Look at this.  Brrr!  Thats strong!
Dwight| Yeah, but that doesnt matter, you could get a brain aneurysm-
Michael| Im not going get a brain-
Dwight| Or get hit by a car-
Michael| Stop it.
Dwight| Or a bus or a train. Get poisoned, fall in a well, step on a mine, choke.
Michael| Uh, oh, ok; if I step on a mine in Scranton, Pennsylvania, and die, you can have my job, ok?  Why dont you just go... away?
Michael| There are certain things a boss does not share with his employees.  His salary, that would depress them.  His bed, it---  And I am not going to tell them that Ill be reading their e-mails.  
Michael| So how do you search?
Sadiq (IT guy)| By keyword phrase.
Michael| Try "profits".  No! Try "Michael Scott".  "Michael" "boss" and "funny".  Oh my God, wow!    E-mail from Stanley. Stanley,  Terribly nice guy.    "Sorry I didnt write back sooner; I cant go to the game tonight because my boss Michael is an ass and making me stay late."  Well, Stanleys an ass.  Not one of our harder workers.
Oscar| Hey, whats the deal, Michael?  Why are you spying on our computers?
Michael| Oh, no, everybody; Oscars gone crazy!  What other ghost stories do you have for us?  That Im a robot?   I will destroy everything in my path-
Oscar| Actually, its just-
Michael| Beep! Bop!
Oscar| Ok... 
Michael| Bommmm. Bop! Onk onk.   Oil can. Oil can.
Oscar| Tin Man.  Actually we just a got a memo from IT saying youre doing e-mail surveillance.
Michael| Oh, what? No. That defeats the whole purpose.
Dwight| So its true?  You have access to our e-mails?
Michael| You know what the problem is?
Stanley| I think I do.
Michael| The problem is that when people hear the term "big brother", they immediately think its scary or bad, but I dont. I think, wow, I love my big brother.
Kevin| I gotta erase a lotta stuff.  A lot of stuff.
Dwight| Oh hey, just so ya know, if you have a lot of sensitive e-mails, they need to be deleted immediately.
Angela| I know.
Dwight| Good. 
Pam|  Hey.  Something just happened.  Dwight just told Angela that she has to deleted all of her sensitive e-mails immediately.
Jim| What?
Pam| I know!
Jim| Hmm... 
Pam| Do you think that theyre like-
Jim| No.
Pam| No, right, no, no.
Jim| 
Pam| Uhhh, ew, ew, ew... .Maybe?
Pam| Its like squishing a spider under a book.  Its gonna be really gross but I have to look and make sure that its really dead.  Sooo...  If you guys see anything... ?
Pam| Hey, Dwight, um, my friend is kinda into these two girls that he works with.  
Dwight| Nice.
Pam| One is tall and brunette, and the other one is short, and blonde, and perky, and kinda judgmental.  Who do you think he should choose?
Dwight| Does he have access to their medical records?
Pam| Ummmm... 
Dwight| I think one of the greatest things about modern America is the computerization of medical records.  As a volunteer sheriff, I can look up anyones psychiatric records or surgical histories.  Yeast infections.  There are a huge number of yeast infections in this county.  Probably because we are down river from that old bread factory.
Michael| Meredith has an E-vite from Jim.  Barbeque at Jims tonight.  Tonight?  Wonder where my e-vitation is.  Click on guest list.  Angela, Stanley, Oscar, Meredith, Phyllis, Kevin, Creed.  Must be... . No.
Pam| Hey, Angela-
