Jim| Hey.
Dwight| Hello. Jim?
Jim| Whats up, buddy?
Dwight| This is not funny. Why is my stuff in here?
Jim| Wow, thats weird. Oh, dollar for a stapler, thats pretty good.
Dwight| Yeah, well, Im not paying for my own stuff, okay? I know you did this, because youre friends with the vending machine guy.
Jim| Who, Steve?
Dwight| Yeah, Steve, whatever his name is.
Pam| Sorry. What do I want? What do I want... Oh, its a pencil cup.
Dwight| No, no, no, no, no. Thats my pencil cup.
Pam| Um, I dont think so, I just bought it.
Dwight| Uh, I think so, and youre going to hand it over to me.
Pam| I love these.
Dwight| Okay, fine. Wheres my wallet?
Jim| Oh, there it is. J1.
Dwight| But I dont have any... 
Jim| Here, you know what? You can have some nickels.
Dwight|  Five, ten, fifteen, twenty, twenty-five... 
Michael| Hello, everyone.
Dwight| Good morning, Michael.
Phyllis| Where are we going this afternoon?
Michael| Ah! Ha ha ha!
Pam| Last week, Michael sent out this mysterious memo.
Jim| "Its time for our first quarter camaraderie event, so pack a swimsuit, a toothbrush, rubber-soled shoes, and a ski mask."
Pam| A ski mask and a swimsuit.
Jim| So that he can have us rob a bank, and then escape through the sewers.
Pam| And brush our teeth.
Michael| Yeah?
Stanley| Michael.
Michael| Stanley! Bo banley.
Stanley| I need to know... 
Michael| Banana fana fo fanley.
Stanley| What were doing.
Michael| Be my mo manley.
Stanley| You said bring a toothbrush.
Michael| Stanley.
Stanley| Is this an overnight?
Michael| Maybe. The suspense is just so exciting, isnt it?
Stanley| Should my wife tell her boss shes not coming in tomorrow?
Michael| Maybe, I dont know.
Stanley| Not maybe. Yes or no.
Michael| Well, no. But... okay, dont spoil it for everybody, all right? But we are going on a booze cruise on Lake Wallenpaupack.
Stanley| In January?
Michael| Its cheaper.
Michael| This is not just another party. This is a leadership training exercise. Right? Im going to combine elements of fun and motivation and education into a single mind-blowing experience.
Michael| It is now time to unveil the destination of this years retreat. We are going on a harbor cruise of Lake Wallenpaupack. Its a booze cruise!
Meredith| All right!
Ryan| I have a test for business school tomorrow night. Is it okay if I skip the cruise and study for that?
Michael| No. This is mandatory. But dont worry, you know what? Youre gonna learn plenty. This is gonna turn your life around, Ryan.
Ryan| Im already in business school.
Michael| Well, this... 
Kelly| Wait, Michael?
Michael| Yeah?
Kelly| Why did you tell us to bring a bathing suit?
Michael| To throw you off the scent.
Kelly| Yeah, but I bought a bathing suit.
Michael| Well, just keep the tags on and you can return it.
Kelly| I took the tags off already.
