Oscar| ...Lord of the Rings trilogy, if you see it back to back, its really long.  But its good.
Jim|  Yeah, thats right.
Pam| Dunder Mifflin, this is Pam.
Michael| Pam! Its Michael.  Help me!  I need help right now.
Pam| Michael, whats wrong?
Michael| Im hurt, I have hurt myself.  Oh my God!
Pam| Ok, wait wait wait wait... 
Michael| Ungh, this is not looking good Pam!
Pam| Michael, do you need me to call an ambulance?!
Michael| No, I want you to pick me up.
Jim| What? 
Pam| Ok... 
Jim| Whats going on?
Pam| Wait a second, I thought you said that you were hurt.
Michael| I am hurt. I hurt my foot.
Jim| Im sorry? Pam. 
Pam| 
Jim| What is going on?
Michael| I want to come to work.  But I need you to come and pick me up. 
Michael| OH GOD! 
Jim| Hey, whoa, Michael... 
Michael| Oh God!
Jim| Its, okay, its Jim.  Just say again, uh, really loudly what happened.
Michael| OK, buhhhh, I burned my foot very badly on my Foreman Grill and I now need someone to come and bring me into work.
Jim| You burned 
your| foot on a Foreman Grill?
Michael| I enjoy having breakfast in bed.  I like waking up to the smell of bacon, sue me.  And since I dont have a butler, I have to do it myself.  So, most nights before I go to bed, I will lay six strips of bacon out on my George Foreman Grill.  Then I go to sleep.  When I wake up, I plug in the grill, I go back to sleep again.  Then I wake up to the smell of crackling bacon.  It is delicious, its good for me.  Its the perfect way to start the day.  Today I got up, I stepped onto the grill and it clamped down on my foot... thats it.  I dont see whats so hard to believe about that.
Michael| Pam, could you come get me?!
Pam| Uh, I have to stay here and answer the phone. 
Michael| Ok, could someone come and get me please, Ryan?
Phyllis| Michael, you should stay home and rest.
Michael| Theres no toilet paper here.  Could Ryan... tell Ryan to bring toilet paper.  Could you tell em that?
Kevin| Can you hop?
Michael| I tried hopping, Kevin, and I bumped my elbow against the wall and now my elbow has a protruberance. 
Michael|  No one wants to pick me up!?
Dwight|  What is going on? What is going on?
Pam| Michael, is, um, sick and he wants one of us to rescue him.
Michael| Im not sick! Im burned!
Dwight| Im coming Michael!
Jim| Oh... 
Dwight| Im gonna save you!
Michael| Dont... is that Dwight?  I do not want Dwight.  
Dwight| Hold on Michael! I am coming! Wait there!
Michael| I dont want Dwight!
Pam| Michael, why dont you call your girlfriend?
Michael| I dont have a girlfriend.
Jim| But you said that you went out with her this weekend.
Michael| It was all made up.  Just someone come, ok?  Anyone.  Anyone but Dwight.
Jim|  What was that... 
Pam| What was that?! 
Jim| Oh!
Pam| Ohhhhhh!
Jim| He hit the pole! 
Jim| Its broken right, he cant... 
Pam| Oh my gosh.
Jim| Oh Dwight, Dwight,   Ohhhhhh!
