Ryan|  What?
Jim| Oh, nothing.
Jim| Pams on vacation and she gets back tomorrow, so itll be nice to see her.  Itll be nice, and, uh, she set a date for the wedding with Roy.  Uh... June.  Summer.  So, thatll be nice.  And thats that. 
Ryan|  What?
Jim| Oh, nothing.
Ryan| Jims been looking at me kind of a lot all week.  I would be creeped out by it, but its nothing compared to the way Michael looks at me. 
Michael| Spamster!
Pam| Um, Pam plus Spam plus...?
Michael| Hamster.
Pam| Right. 
Michael| Welcome back!  How was your vacation?
Pam| It was great. 
Michael| Yeah?
Pam| Mm-hm.
Michael| Did you get lucky?  Oh!  Boink!
Pam| Roy and I just got back from the Poconos.  I get ten vacation days a year, and I try to hold off taking them for as long as possible, and this year I got to the third week in January. 
Michael| I am Pam.  Spicoli guy.  Oh, God.  Names, numbers.  Okay.  Whoa!  God!  Yuck, yuck.  Yuck.  Yuck!
Pam| What?
Michael| Wow!  What happened in there?  
Pam| I dont know.
Michael| There is stink in there, my God!  What is... what is that?
Pam|  Oh... I dont know.
Michael| Is it a bird?
Pam| No, I dont think its a bird.
Michael| Oh, God!  How could that happen?  How could... right in the middle of the carpet.
Kevin| Whats goin on?
Michael| Um, somebody vomited right in the middle of the carpet in my office. 
Kevin|  I dont think thats vomit.
Michael| Check it out.
Kevin| Me? 
Michael| Check it out.  Dont be a wuss, just get... no, Im not holding your coffee.  
Kevin| Oh, thats ridiculous.  
Michael| What is it?  
Kevin| Michael.  
Michael| What is it?  No, just tell me what it is. 
Kevin|  Michael, I ... I ... I gotta get outta here.  I cant hold my breath that long. 
Pam| Open the door up!
Kevin| It smelled 
terrible|.
Pam and others|   Phew.  Oh!  No, mm-mm. 
Michael| I cannot believe a pipe burst and left that in there.
Toby| Thats no burst pipe.
Michael| How do you know that?  What is it, then? 
Creed| Hi guys.  Somebody makin soup? 
Michael|  Here she comes.  All cleaned?  Great. 
Dwight|  Its still stinky.
Michael| That is worse. 
Dwight| She probably scrubbed it 
into| the fibers of the carpet.  Total permeation.  
Michael|   I am a big Fear Factor fan.  Im a big fan of anything Joe Rogan does, actually, so this is sort of like my audition tape.  Um...    I cant stand it , I cant stay in here another second.  No!
Jim| Hey!  Welcome back!
Pam| Thanks!
Jim| So, how was the resort?  Did you ski a lot?
Pam| A little.
Jim| Good!  Whats goin on here? 
Jim| What?  I did not do that.  That sounds disgusting. 
Ryan|  It wasnt me.  Um... it wasnt me.  It was not me. 
Jim|  Oh.  Wow.
Pam| 
Michael|   Hey Jim.  I thought that we would be desk buddies while they changed my carpet.
Jim| That might be a little difficult with the one computer. 
Michael| Oh... Its ...
Jim| But theres definitely a desk open in the back. 
Michael|  Yeah ... 
Jim| ...which I guess Ill be taking.
Michael| No, no, no!  Seriously, I dont mind sharing. 
Jim| No, no, no, seriously, Ill be in the back. 
Jim| Hey, Kelly.
Kelly| Are you moving back here? 
Jim| Um, just for the day while Michaels at my desk. 
Kelly| Because Toby used to sit there, but he had to move over there because of an allergy.
Jim| Allergy to... the desk? 
Kelly|  Weird. 
Michael|  Yeah, yeah, yeah.  Old bullpen.
Dwight|  Ha ha ha... the old bullpen.
Michael| Dont ape me.
Dwight| Okay.
Michael| This is great.
Dwight| Yeah!
Michael| The pressures of my office are insane.
Dwight|  Mm.
Michael| I just... you couldnt understand, but man, you guys have it so easy out here, you know?  I used to sit right here.
Dwight| No way!
Michael| Yeah.
Dwight| And who had your office? 
Michael| Ed Truck.   Ed Truck was the manager before me.  Horrible.  He hated fun.  It was like, "Oh, Ed Truck is walking toward us.  Stop having fun.  Start pretending to do work."  What a jerk.  Hes... You know what?  I swore to myself that if I ever got to walk around the room as manager, people would laugh when they saw me coming and would applaud as I walked away. 
Kelly|  Im serious.  My closet doors will not shut.  I mean, it only takes so long to measure to make sure that clothes will hang up because arent all hangers like that big?  So I dont understand why the closet engineer didnt think of that.  So now Im doing this new thing where I just leave piles of clothes on the floor and then I walk around the piles to get an outfit...
Michael| You know who used to sit at that desk? 
Dwight| That guy Miles who quit to form his own company?
Michael| Mm-mm.  Todd Packer. 
Dwight| No!  
Michael| Yeah.
Dwight| I thought he was out on the road.
Michael| He was, but, uh... that desk was empty.  Hed come in and sit there sometimes.
Dwight| Ah. 
Michael| When I was in training, many years ago... not so long ago... I worked side-by-side with a fellow named Todd Packer, and together we rocked the office .  Packer and I once spent the whole day with our pants off, and when people noticed, we convinced them that 
they| were crazy.  
Michael| I will gladly pay you Tuesday for a hamburger today. 
Stanley|  Excuse me one second, please.  What is it that you need right now that you cant wait until Im off the phone with a customer?
Michael| Oh, a customer, well, sound the alarm.  Okay.
Michael| Another time, Packer held this guys head in the toilet for like a minute.  Guy had no sense of humor about it.  Probably why he wasnt hired. 
Creed|  What did you hit me for? 
Michael| Charley horse!
Creed| What?
Michael| Charley horse!
Creed| You shouldnt have hit me, Michael.
Michael| Oh, okay.  Gah.
Michael| Once, as a joke, Packer banged every chick in the office.   It was hysterical. 
Kelly|  Beyonce, pink the color, Pink the person, hot dogs, basically anything that is awesome. Snow cones...
Ryan| Hey Jim, Michael wanted me to ask you how to raise your desk chair.
Jim| Its the lever on the side.
Ryan| Thats what I told him.  Thanks. 
Kelly| Oh my God, he is so cute!  Would you talk to him for me and see if he likes me?  
Jim| No, I dont think I can...
Kelly| Oh, please Jim?  Please, please, Jim.  Please, please, please?  Hes so cute.  I like him 
so| much.  And I would do it, but Im too shy.  Please, Jim, please, please, please, please, Jim. Please, please, please...
Michael|  Dwight.
Dwight|  Michael.
Michael| Lets send up Accounting.
Dwight| What?
Michael| Old fashioned raid.  Sales on Accounting.  Yeah.  Follow my lead.
Michael| Hey guys.  
Oscar| Hey, Michael.
Michael| Ahem.  Whats up? 
Oscar| Hey, Dwight. 
Michael and Dwight|  Ahhhh!  Whoo hoo!  Come on, come on, come on, come on!  Sales rules!
Dwight| Yeah! 
Michael| Yeah! Oh ho ho 
Dwight| Should we help em pick up their stuff?
Michael| No, no, no, no.  We dont do that.  We dont do that. 
Dwight| Okay.
Michael| Watch out, Pam. Youre next!
Pam| Youre gonna throw my things on the ground?
Michael| Maybe! 
Oscar| What happened in Michaels office was wrong.  I understand it , it makes sense   But it... it was still wrong.
Michael| Why would somebody ruin a perfectly good carpet?  I dont know.  It could be done out of hate.  It could be done out of love.  It could be completely neutral.  Maybe somebody hates the cleaning lady.  And, well, she doesnt do a very good job, obviously, because my office still reeks like you would not believe.  I hate her. 
Michael| You know what?  I am beginning to think that what happened to my carpet was an act of terrorism against the office.  The only thing that makes any sense.
