Jan| So, Im happy to be here.  Its very nice to see all of you. Youre all looking well.
Pam| Todays a women in the workplace thing. Jans coming in from Corporate to talk to all the women about... um... I dont really know what. But Michaels not allowed in. She said that about five times.
Jan| Women today, though we have the same options as men, we often face a very different set of obstacles in getting there. So... 
Michael|  Hey, whats going on?
Jan| Michael... I thought we agreed you wouldnt be here.
Michael| Yeah... I... You know what... I... I... I just thought about it. I just have a few things I want to say.
Jan| What are you doing?
Michael| Hold... Just hear me out. What is more important than Quality? E-Quality. Now studies show that todays woman, the Ally McBeal woman, as I call her, is at a crossroads... 
Jan| Michael.
Michael| No, just uh... you have come a long way, baby.  But I just... just want to keep it within reason.
Jan| Michael.
Michael| They did this up in Albany... 
Jan| You are not allowed in this session.
Michael| And they ended up turning the break room into a lactation room which is disgusting so... 
Jan| Now youre really not allowed in this session.
Michael| Well, Im their boss, so I feel like... 
Jan| Im your boss.
Michael|  Anybody want any coffee or...
Jan| Were fine, Michael. We just need you to leave, please.
Michael| Women in the workplace... yeah, translation "I have been banned from my own conference room so that Jan can talk in secret to all the girls." Oh! Sorry. Women of the workplace. About what? I dont know. Clothes. Me. Eeegkh!
Jan| Ladies, I am so, so sorry. Can we start again? We were on such a roll. I... I... really apologize.
Pam| Jan.
Jan| Yes, Pam?
Pam| Michaels still at the door.
Jan| Michael!
Jan|  So one obstacle is how assertiveness is perceived differently in men and women. Men who are assertive will be admired. Theyre called... anyone?
Dwight| Its a terrible idea.
Jim| What is?
Dwight| Them in there all together. If they stay in there too long theyre going to get on the same cycle. Wreak havoc on our plumbing.
Michael| Everyone. Guys. Circle up, please. Come on over. Bring your chairs. Toby, come on over. Youre a guy... too... sort of. Lets do this!
Michael|  Well, first of all, I, uh, just want to warm up a little bit. Lets just clap.
Michael| Lets just clap. Ready?  Yeah! Yeah!
Dwight| Yeah!
Michael| Thats what Im talking about!
Jan| I dont know what youre doing here, Michael,
Michael| Just having a little guys in the workplace thing.
Jan| ... but its very destructive.
Michael| Why cant boys play with dolls? Why does society force us to use urinals when sitting down is far more comfortable?
Jan| Can you please do this somewhere else, Michael?
Michael| We have nowhere else Jan. This... 
