Pam| I really like Valentines Day in this office. Its kinda like grade school. Everybody gives out little presents and stuff. Like last year, Jim gave me this card, with Dwights head on it, it was horrifying and funny and...
Pam|  Phyllis.
Delivery man| Would you sign here? 
Pam| Roy and I are saving for the wedding, so I made him promise not to get me anything too big.
Meredith| "Happy Valentines Day darling. Love Bob Vance, Vance Refrigeration."
Phyllis| Isnt he sweet?
Meredith| Yeah. Wow.
Michael| Alright Dwight, as you know I am heading to New York today.  Doing a presentation on the branch to the new CFO.
Dwight| And you want me to come with you.
Michael| Nope. The opposite of that. 
Dwight| I will stay here and run things on this end.
Michael| Ok, good.
Dwight| Question. Will you be seeing Jan when youre in New York?
Michael| I probably will, why do you ask?
Dwight| Well... Its Valentines Day, and you guys, you know... 
Michael| Yeah.
Dwight| Screwed.
Michael| 
What| is your problem?
Michael| This is a business trip. I would have to be a raving lunatic to try to talk to Jan about what happened between us. Her words, not mine. She sent me an email this morning. But, it is Valentines Day. Its New York. City of Love. 
Michael| Hey, Pam. You heart N.Y., right? You want me to pick you up anything? 
Pam| Thats OK. 
Michael| Alright.
Oscar| The best present would be, you do a good job in front of the new CFO. 
Michael| Dude, Im gonna nail it. Me in New York? Oh, I own that city. Fuggedaboudit! See ya!
Michael| Well here we go. On our way to New York. New York, New York. City so nice they named it twice. Manhattan is the other name. 
Jim| So I broke up with Katy and havent been dating anybody else, so this year I dont have to worry about Valentines Day. Its gonna be good. I invited a couple of friends over. Were gonna play some cards and Ill end up winning a lotta money. Because, theyre idiots. Its gonna be great. 
Dwight| Whats this? What is this? 
Jim| I dunno, its on 
your| desk. 
Dwight| Yeah, but who put it here? And for what purpose?
Jim| It was there when I sat down. 
Dwight|  Happy Valentines Day.  Its me. Im the bobble head. Yes!  Ahh!
Michael| The meeting isnt til three, but I always like to come to New York little bit early and hit some of my favorite hunts, like right here, is my favorite New York pizza joint. And Im gonna go get me a New York slice. 
Jim| Hey Kelly. Whats up?
Kelly| Nothing. Oh except, oh my God Jim. Last night, Ryan and I totally, finally hooked up. It was awesome.
Jim| OH, thats great. Im really happy for 
Kelly| And it was so funny cause we were at this bar with his friends and I was sitting next to him the whole night and he wasnt making a move, so in my head I was like "Ryan, whats taking you so long?" And then he kissed me. And I didnt know what to say. 
Jim| Wow.
Kelly| So I said, "Ryan, what took you so long?" And I just said that to him, can you believe that? 
Jim| Wow.
Kelly| Oh my God, Jim, is that embarrassing? Im embarrassed. 
Jim| No, dont be.
Kelly| Oh, thank God, because I was nervous, Jim, you will not believe.
Jim| I bet.
Kelly| So nervous, but now -- now I have a boyfriend. 
Jim| Alright. 
Ryan|  I hooked up with her on February 13th. 
Michael| Here it is, heart of New York City, Times Square. Named for the good times you have when youre in it. Most people when they come to New York, they go straight to the Empire State Building, thats pretty touristy. I come here. Great places to eat.  We have Bubba Gump Shrimp, Red Lobster down there. Ya know. This is, this is the heart of civilization, right here. 
Kevin| Woah. 
Pam| Guess what? 
Phyllis| Really, Oh, theyre from Bob again. 
Pam| Thats great. 
Michael| Everybody takes the subway in New York. Its fast, its efficient, gets you there on time. Its a way to  Okay, theres a guy pooping in a cardboard box down there. 
Michael| This is the world famous Rockefeller Center. Founded, of course by Theodore Rockefeller. This is a skating rink and I think the Rangers practice there sometimes and its, thats Tina Fey . Thats Tina Fey from Saturday Night Live. Hello? Hello, hi?  OH, Im sorry, I thought you were , OK, I thought that was. She, she looked a lot like Tina Fey.  Hello, hello, I thought that was Tina Fey, but it wasnt. So... Are you serious? He was here? When, when I was talking to the fake Tina Fey? Come on! And are you, argh.
