Michael| Lets think this through. If we ask Corporate for that then... 
Dwight| They are either going to say yes... or no.
Michael| Could go either way. We dont know what they are going to say.
Dwight| Think it through.
Michael| Have to think it through. Because if they say no...
Jim| Can we not?
Michael| No! Yes, we have to! You know why? Because I dont like to be cooped up in that office! In that box! All day long.  Heisman! Because I need to think. Okay, Jim? Oh, Kevin, oh!  Nice catch. Mmmm, mmm, mmm,mmm. Os-car! Intercepted. 
Jim| Still want that.
Michael| Give it to me. Phyllis, give me the ball. Ok, give me the ball. Give me, you guys... Creed give me the ball! Right now give it to me.
Creed| Ryan!
Dwight| Fumble! Yaaah! 
Michael|  Hey, Dwight.
Dwight| Hut! Hut! Hut! Hike!
Michael| You all right Ryan?
Dwight| Ryan.
Ryan| Yeah.
Michael| Pam!
Dwight| Ooh. Theyre having a sale on TiVo. Maybe I should get a TiVo. Oh. DVD Burner! Maybe I should get one of those. You are so lucky, Jim. You are so lucky you dont have this problem. What was the 9th place prize again? A loaf of bread? 
Jim| Cuginos pizza.
Dwight| Oh, great. Tasty, terrific pizza. Hmm. Question Do their pizzas play DVDs?
Jim| Dwight was the top salesman of the year at our company. He wins a little prize money and gets honored at some convention. It is literally the highest possible honor that a Northeastern Pennsylvania-Based Mid-size Paper Company Regional Salesman can attain, so... 
Jim| What did I do to deserve this?
Pam| Are you sad that Dwight beat you?
Jim| No.
Pam| Are you going to cry, Jim? Do you need a tissue?
Phyllis| Hey, I heard you got a wedding dress. Do you have pictures?
Pam| Oh! I... uh... yeah. Um... Ill uh show them to you later.
Phyllis| Oh.
Jim| Oh, I should get back. Talk to you guys later.
Pam| Ok, cool.
Pam| I have a ton of stuff to do for the wedding. And I have to do it in the office. And that can be kind of awkward. Um... just because people can get all weird about wedding stuff. Then... I just... I dont want to offend... Angela... or someone.
Michael| Thats what she said!
Dwight| Ha! I dont get it.
Michael| Grapes. Seductive. So you ready for the big speech this afternoon?
Dwight| Well, its not really a big speech. You still coming right?
Michael| Oh! Abso-fruit-ly. Fruit. Grapes. Nailed the joke. Matter of time. Um... And yes, it is a big speech. Biggest of your life.
Michael| Speaker at the Sales Convention. Been there, done that. Went there again, did it again. Two years in a row. Consecutive. I just... I miss the feeling of knowing that you did a good job because someone gives you proof of it. Sir, youre awesome! Heres a plaque. What, a whole year has gone by and you need more proof? Heres a certificate. They stopped making plaques that year.
Dwight| What if I give a really long, extended Thank You. For instance, "Thank you, Mr. Blank. Thank you very, very, very..." 
Michael| That would look terrible. These are mostly salesmen and salesmen expect to be entertained and you are the main act.
Dwight| When I was in the sixth grade, I was a finalist in our school Spelling Bee. It was me against Raj Patel. And I misspelled, in front of the entire school, the word failure. 
Dwight| I cant do this.
Michael| Thats because youre incapable of doing it because you dont know how. Because you have no skills. Dwight, theres no way I can possibly teach you what you need to know about public speaking by speech time.
Dwight| Oh, okay.
Michael| But I can teach you enough so that you dont embarrass me or the company.
Dwight| Okay, deal! Ill do whatever you say. No questions asked.
Michael| Well, if you have a question, you should ask me.
Dwight| Ill try and think of one. When... 
Michael| Dont. Dont try and think of a question to humor me. Just... try not to be such an idiot.
Dwight| Is that an insult or is that part of the public speaking advice?
Michael| Insult.
Pam| Mom, Im sorry. I know you and Dad are chipping in for the wedding but I do not want orange invitations. Yes! Well, if you really want my... 
Jim| Hi, yeah, can I talk to one of your travel agents?
Jim| Im going to take a trip. Im going to get out of town for a while... and go someplace... not here.
Jim| Where do I want to go? Um... that is an excellent question. And one I should have probably thought about before I called you. Um... 
Oscar| I get here early every morning so I can set the thermostat. I like it a little cooler, around 66 degrees. Im more productive. Maybe some people dont like it as cold as I do, but I dont care.
