Michael| So, Phil recruited me to sell these cards, and now I am recruiting you.
Oscar| Who is this guy again?
Michael| Dont worry about Phil. He drives a corvette. He is doing just fine. Okay. Calling cards are... the wave of the future. These things sell themselves. 
Ryan| Who uses calling cards anymore?
Michael| You know what? Thats a nice attitude, Ryan, Im just helping you invest in your future, my friend. 
Oscar| This sounds like a get rich quick scheme.
Michael| Yes! Thank you! You will get rich quick. We all will!
Toby| Didnt you lose a lot of money on that other investment, the one from the email?
Michael| You know what, Toby? When the son of the deposed king of Nigeria emails you directly, asking for help, you help! His father ran the freaking country, okay? ...Alright, so, raise your hand if you wanna get rich.  Alright.
Jim| No, um. How is this not a pyramid scheme? 
Michael| Alright, let me explain. Again.  Phil has recruited me and another guy. Now, we are getting three people each. The more people that get involved, the more who are investing, the more money were all going to make. Its not a pyramid scheme, it is a... its not even a scheme per se, its...  ... I have to go make a call. 
Pam| Happy birthday Michael.
Michael| Oh ho ho! What?
Pam| I said happy birthday.
Michael| Thank you! Thats really nice.
Michael| Today is my B-day, and people around here just go crazy for it. I dont know why. Oh! Fun fact. I share my birthday with Eva Longoria. So, I have a 
perfect| ice-breaker if I ever meet Terry Hatcher.
Michael| Whats up?
Jim| Hey. ...Oh, happy birthday.
Michael| Ah, thank you sir.
Meredith| Did you hear anything yet?
Kevin| No. Im still waiting.
Michael|  Yeah.
Dwight| Yes. There he is, the birthday boy!
Michael| Ohh, god.
Dwight| Birthday hug!
Michael| No no no, no, new suit, please. 
Dwight| That suit is amazing.
Michael| Thank you very much. It is from Italy.  Actually--- no, Bulgaria.
Dwight| Mmm. Maybe I should get one. 
Michael| Good luck. One of a kind. 
Dwight| Ebay. Hm. Question! May I be in charge of the party planning festivities?
Michael| Not necessary, the party planning committee is all over it.  Theyve been working twenty-four seven all day yesterday.
Dwight| Excellent. On my part, I did manage to reserve the...
Michael| Dont! Nope! Please, dont want to spoil it for anybody. Spoil the surprise.
Dwight| Lets get the party started. 
Michael| Lets get the party started.  Not the way I taught you! 
Phyllis| When should we bring out the cake, one or one thirty?
Pam| Ones good.
Angela| One thirty.  Im sorry, are we boring you?
Dwight| Party planning committee, listen up. Michael would like trick candles for his birthday cake, so make that a priority.
Phyllis| Where do we get those?
Dwight| Not my problem. Here is a list of things that Michael would like to be surprised by. 
Pam| Michael wants a strippergram? 
Dwight| Yes, but he doesnt want to know when, or whom.
Angela| No. This is a closed door meeting. 
Michael|  Yeah?
Pam| Michael, I have Jan on the line. 
Michael| Oh, great, put her through. 
Jan| Hello, Michael.
Michael| Hey, you.
Jan| Im... returning your call, you said it was urgent. 
Michael| It is urgent, I just wanted to call and wish you a happy birthday.
Jan| Well, todays not my birthday, so...
Michael| Really? Cause, I thought we had the same birthday.
Jan| ...Happy birthday, Michael.
Michael| Thanks. 
Jan| Am I on camera?
Michael| Nope. Totally private. You can say whatever is in your heart. 
Michael|  ...You can take a five, if you want. 
Michael| Somebody brought in donuts for my birthday!
Stanley| Mmhmm, happy birthday.
Michael| Thanks. 
Jim| Man, Im so sorry. When do you find out?
Kevin| They said this afternoon. Theyre waiting on a second opinion.
Jim| Oh, okay.
Kelly| Second opinion on what?
Kevin| Um, I might have skin cancer.
Kelly| Oh, no! I was watching Greys Anatomy, and there was a lifeguard on it, and 
he| had skin cancer too.
Jim| Kelly, you know what...
Kelly| I never really thought about death until Princess Diana died. That was the saddest funeral ever. That and my sisters.
Toby| Who brought in donuts?
Michael| Somebody got donuts for my birthday!
Toby| Happy birthday!
Michael| You didnt know it was my birthday.
Toby| I... guess I forgot.
Michael| Well, I guess I forgot to give you a donut .
Toby| Are you serious?
Michael| Mmm.
Oscar| Skin cancer is treatable.
Kevin| Right.
Oscar| Its going to be okay.
Angela| You dont know its going to be okay. Dont give him false hope. ...Its probably nothing, though.
Delivery Woman| Hi, delivery for Michael Scott.
Michael| Here we go. Ohhhkay, this is great!  Thank you my friends, she is perfect! Ahhh, Dwight, may I have your chair please? And, um, some singles, if you will! Allllright. Nnnnn-dink!  Okay, um, alright. This has arms. Is that gonna be a... is that alright? 
Delivery Woman| Uh... s-sure. 
Michael|  Okay. Im so nervous.
Pam| I can sign for it.
Delivery Woman| Oh. Thanks.
Michael| When I was seven, my mother hired a pony and a cart to come to my house for all the kids... and... I got a really bad rash from the pony, and all the kids got to ride the pony and I had to go inside, and my mother was rubbing cream on me... for probably three hours, and I never came outside. And by the time I got out the pony was already in the truck. And around the corner. So that was my worst birthday.
Michael|  Stop it. Stop! What is that? 
Dwight| Its For the Longest Time, by William Joel. Its you favorite song.
Michael| Yeah, well, its on the radio. My birthday blows. Nobody even signed my birthday poster. Probably my mother is the only one that cares enough to send me anything.
Dwight| I probably care more than she does.
Michael| Youre making it worse. I bet Luke Perrys friends dont treat him like this .
Pam| When does he hear?
Jim| Sometime today.
Pam| Ohh... poor Kevin. 
Pam| If I knew I had a week to live, I would... probably go to Europe. And South America. And the Grand Canyon. And... I would want to see the Pacific Ocean. ...It would be a pretty busy week.
Dwight| Uh, thats a list price of four dollars and fifty cents.  Unfortunately, this item is on  back... order...  Michael! Michael! Michael Michael Michael! Come here, come here, come here!  Come here! 
Michael| What?
Dwight| Listen up everyone! It is 1123 exactly, the exact moment when you emerged from your mothers vaginal canal, so... huh?! Right, have a seat. Please.
Michael|  Ohhh, God.
Dwight| There is a tradition that the Hebrews have of hoisting the birthday boy up on a chair.
Michael| Ohhh, no. 
Dwight| So come help me celebrate Michaels birth moment. Kevin! 
Oscar| ...Ill do it.
Michael| Ohh, no, no, no! I cant... Ryan, come on. Lets do this.
Dwight| Creed! Come on. Stanley!
Pam| ...I feel like we should go get Kevin something. Do you think we can sneak out of here?
Jim| Maybe, but... were gonna need somebody to create a diversion, and...
Dwight| On three, were going to hoist away! Ready? 
Michael| Okay.
Dwight| Happy birth moment, Michael.
Michael| Thank you.
Dwight| One. Two. Three! 
Michael| Whoa whoa! Alright. Alright. Watch it... please. 
Dwight| Oscar...
Oscar| It wasnt me. 
Dwight| Okay, that is 
not| an eight foot sub.
Delivery Boy| Uh, we dont make an eight foot sub. This is eight one foot subs. 
Dwight| F. Alright, whats the damage?
Delivery Boy| Uh, thirty-nine sixty.
Dwight|  Thirty nine... sixty.
Dwight| Why tip someone for a job Im capable of doing myself? I can deliver food. I can drive a taxi. I can, and do, cut my own hair. I did, however, tip my urologist, because... I am unable to pulverize my own kidney stones. 
Dwight| Here they come.
Michael| Get in here... everybody. 
Dwight| Come and get it!
Michael| Birthday party subs! My gift to you. 
Oscar| What is this?
Dwight| Uh, bologna, tomato and ketchup.
Michael| The best.
Stanley| These are all the same?
