Dwight| Kevin Malone, youre next. Spit that out.  Spit... Okay, come on, lets go. 
Jim| You look cute today, Dwight. 
Dwight| Thanks, girl. 
Jim| So, yesterday Dwight found half a joint in the parking lot. Which is unfortunate because as it turns out, Dwight 
Dwight| Lets go over some of the symptoms of marijuana use, shall we?  You tell me who this sounds like slow moving, inattentive, dull, constantly snacking, shows a lack of motivation. 
Kevin|  Hey...
Dwight| I like the people I work with generally, with four exceptions.  But someone committed a crime and I did not become a Lackawanna County Volunteer Sheriffs deputy to make friends. And by the way, I havent. 
Jim|  I enjoy the tangy zip of Miracle Whip. 
Pam|  Jim does the best impressions. Sometimes hell look up at me from his desk and hell just be someone else. Like hell go um,  thats supposed to be Phyllis.  I cant do it as good as he can. 
Kelly| And the guys are saying, chug, chug, chug, but Im so small and all Id eaten that day was one of those Auntie Anne pretzels from the food court so I said "Is it okay if I sip it?" and they said no, but Ryan seemed cool either way.  
Dwight| Stop! This is not Kelly Kapoor story hour.  Illegal drugs were consumed on company property, okay? Your ass is on the line, mister!  My ass is is on the line!  Now Im going to ask you again.  What time did you go home last night? 
Kelly| Six. 
Dwight| I didnt know that you were at a party on Saturday night. 
Ryan| I go to a lot of parties. 
Dwight| Okay, Im gonna need to search your car.  Give me you keys. 
Ryan| I am not giving you my keys. 
Dwight| Dont make me do this the hard way. 
Ryan| Whats the hard way? 
Dwight| I go down to the police station on my lunch break. I tell a police officer, I know several, what I suspect you may have in your car. He requests a hearing from a judge and obtains a search warrant, once he has said warrant, he will drive over here, and make you give him the keys to your car, and you will have to obey him. 
Ryan| Yeah, lets do it that way. 
Michael| Ry, is he bugging you? Dwight, dude, you gotta take a chill pill, man. It was one joint in the parking lot. You know, youre totally harshing the office mellow. 
Dwight| I cant stop this investigation. It is my job. 
Jim| Whoa. You are a volunteer. 
Dwight| I volunteered for this job. 
Jim| And thats not the same. 
Dwight| It is my duty...
Jim|  Volunteer duty. 
Dwight| ...to investigate the crime scene. I have six more interviews to go and then I will reveal what I know.  
Michael|  Narc! 
Kevin| 
Dwight| If you are attempting to compliment me then you have done a very good job. 
Michael| I wasnt attempting to compliment you. 
Dwight| Well, you have... 
Michael| Uuf, well...
Dwight| ...because being a narc is one of the hardest jobs that you can have...
Michael|  Okay...
Dwight| ...and I am very proud of being a narc.
Michael| Why dont you just cool it, cool it Dwight, please, God!  Dude, wheres my office?  I totally lost it, cause I was half-baked. Smokin doobies. Doobie brothers, I was smokin doobies with my brothers. Peace out, Seacrest! 
Jim| Well, your office is behind you. 
Michael| Thanks. M-m-munchies. Who wants some munchies? 
Ryan| I dont think Michaels ever done drugs. I dont know if anyone has ever offered him any. 
Dwight| Oscar visited Mexico when he was five to attend his great-grandmothers funeral. What does that mean to a United States law enforcement officer? Hes a potential drug mule. 
Dwight| Have you ever taken any illegal drugs? 
Oscar| No, I have not. 
Dwight| Do you think its possible that maybe you could have had some drugs in your system without you knowing about it? 
Oscar| What are you implying? 
Dwight| Have you ever... pooped... a balloon? 
Oscar| Okay. Im done with this. 
Dwight| He sure left in a hurry. 
Dwight| I dont want to blow this. This is what all good law enforcement officers dream of. The chance to solve an actual crime. 
Dwight| Do you know what this is? 
Phyllis| Yes, its marijuana. 
Dwight| How do you know that? 
Phyllis| Its labeled. 
Dwight|  Dammit. 
Creed| That is Northern Lights Cannabis Indica. 
Dwight| No, its marijuana. 
Jim| Im just saying that you cant be sure that is wasnt you. 
Dwight| Thats ridiculous, of course it wasnt me. 
Jim| Marijuana is a memory loss drug, so maybe you just dont remember. 
Dwight| I would remember. 
Jim| Well, how could you, if it just erased your memory? 
Dwight| Thats not how it works. 
Jim| Now how do you know how it works? 
Dwight| Knock it off, okay, Im interviewing you. 
Jim| No! You said that Id be conducting the interview when I walked in here. Now exactly how much pot did you smoke? 
Dwight| 
Oscar| So Pam told me that you do a great Stanley impression, Id love to hear it. 
Jim| Oh, um... Why do you keep CCing me on things that have nothing to do with me?   
Stanley| Is that supposed to be me? 
Jim| Oh, hey Stanley. Uh, I was just doing an impression. 
Stanley| I do not think that is funny. 
Pam| He does everyone in the office. 
Stanley| Hmmmpt.
Pam/Jim|  I do not think that is funny. 
Pam| Jinx! Buy me a coke. 
Jim| Oh...
Pam| No, no, no, no talking. Jim is not allowed to talk until after he buys me a coke.  Those are the rules of jinx, and they are unflinchingly rigid.  
Pam| Sold out? That has never happened in the history of jinx. 
Jim|  Cmon! 
Pam| Sorry, thats not my problem. 
Jim| 
Dwight| I know youre innocent, but I cant look like Im treating you any differently. 
Angela| I understand. 
Dwight| Where were you yesterday after work? 
Angela| 
Michael| Uh-oh. Uh-oh. Whos he calling?  Ratting somebody out.  Narc!  Narc!  Kevin?
Kevin| That is so good, Michael
Michael| Remember the narc bit?  Uh-oh, whos in trouble? 
Dwight| Attention everyone.  Drug testers are coming in a couple of hours to test everyones urine. 
Michael| Waa... what? What are you talking about? 
Dwight| Company policy. If drugs are found on the premises there is automatic drug testing conducted within twenty-four hours. 
Oscar| Is that true, Toby? 
Toby| Oh, when you sign your job application you agree to comply with random drug testing. 
Michael| Two nights ago, I went to an Alicia Keys concert at the Montage Mountain Performing Arts Center. I scored these great aisle seats. Anyway, after the opening act this beautiful girl sits down next to me and I never get to meet girls with lip rings and she had one. I dont know exactly how this happened but one of her friends started passing around some stuff and they said it was clove cigarettes, and Im sure that it was clove cigarettes. Everybody in the aisle was doing it. 
Michael| Okay, attention everyone the drug testing has been cancelled.  Instead, I will be going around to each of you and doing a visual inspection. 
Dwight| No you cant do that. 
Michael| I can do that, it is my office. 
Dwight| No you cannot. It has to be official, and it 
Dwight| Kevin, what prescription drugs are you taking, besides Rogaine?
Kevin| Im not taking Rogaine. 
Dwight| Angela, what about you? 
Angela| I dont take any prescription drugs. 
Dwight| Youre not on 
Kelly| So the first time we went out to dinner, it was like, whatever, fine, but I was so nervous. So this time I wanted to be special, so I bought a new dress!  One of those kinds that is kinda low cut at top to show something, but not everything.  I mean not everything, Jim.  I promise, Im not that kind of... 
Pam| Hey guys, whats going on? 
Kelly| Were having the best conversation.  
Pam| Oh, okay.  Well, Michael wants to see everyone in the conference room.  But you know what? We have a few minutes so you guys should definitely finish up your conversation.  
Kelly| So, I was looking so hot...
Michael| It has come to my attention that some people here think that the use of drugs is something to laugh about. 
Phyllis| We dont feel that way. 
Angela| No, not at all. 
Oscar| You were the one joking around calling Dwight a narc.
Michael| No, uh, no. That was a test.  I was testing you, and you all failed. Miserably. When I said that Dwight was a narc, how many of you defended him?  How many of you said, "Hey, you know what, hes right? What hes doing is protecting this office from the evils of drugs." 
Dwight| Thank you, Michael.   
Michael| I am ridiculously anti-drug. So anti-drug that I am above suspicion in any way that involves suspicion, or testing of any kind. 
Michael| Drugs ruin lives people. Drugs destroy careers. Take Cheech and Chong everybody knows that Cheech and Chong are funny, but just imagine how funny they would be if they didnt smoke pot.  I want everybody to take a look to their left. Now I want everybody to take a look to their right. One of those people will be dead from drug use at some point in their lives. This year more people will use cocaine than will read a book to their children. 
Stanley| Where did you get these facts? 
Michael| Are these facts scaring you, or are they not?
Stanley| They are not. 
Michael| Do you think that smoking drugs is cool? Do you think that doing alcohol is cool?
Stanley| No, I dont. I have a glass of red wine with dinner about once a week.  For the antioxidants. 
Michael| Okay, enough, enough, enough! I have written down a list of illegal drugs. Take a gander. How many of these are you familiar with?
Toby| Hookah is not an illegal drug, Michael. 
Michael| Yes it is. 
Toby| No its not. Its a type of pipe. You can fill it with tobacco, often mixed with fruit, or other flavors. 
Michael| Okay, you know what, Toby? Pam, can you take this down?  In addition to Tobys urine being tested, I would like to test his blood and his hair. 
