Kevin| So, uh... you found a band for your wedding yet?
Pam| No.
Kevin| Cause Im in a band. We really rock.
Jim| Yeah, I mean its inevitable. I definitely overhear some wedding preparation, but Im fine with it. She hears me arranging my social life. And we both have to hear Dwight order deer urine over the Internet, so it evens out.
Phyllis| Oh I got the Save The Date.
Pam| Yeah?
Phyllis| Yeah, pretty stationery.
Pam| Oh, thanks!
Angela| I didnt get mine yet.
Pam| Uh... 
Pam| There are a few people I decided not to invite, and that might make things kind of awkward but ...  its my wedding. And I dont want anyone there who has called me a hussy.
Michael| Yes, thanks, Fantastic Sams. Adult Cut Plus. Comes with a shampoo and blow dry. Were doing I.D. photos today. Gotta represent.
Phyllis| Uh, on or off?
I.D. Photographer| Off.
Phyllis| Okay... 
Dwight| Oh! What is on your face? Is that a disguise?
Phyllis|  Excuse me.
Dwight| Clown paint.
Dwight| I.D. badges are long overdue. Security in this office park is a joke. Last year, I came to work with my spud gun in a duffel bag. I sat at my desk all day, with a rifle that shoots potatoes at 60 pounds per square inch. Can you imagine if I was deranged?
Michael| Thats a nice tie.
Ryan| Thank you.
Michael| That is... who makes that?
Ryan| Um, I dont... 
Michael| Do you mind if I wear that for the photo?
Ryan| Um...  lets um, lets keep our clothes.
Oscar| Its like child abuse. I say, if Jesus saw that, hed freak out! Hed freak out, Toby! I mean on some levels... its... and Im supposed to work there. Im supposed... 
Michael|  Whats the dealio?
Toby| Just letting Oscar vent a little. We would use the break room, but the photographers back there today.
Michael| Whats the problem?
Oscar| Angela!
Toby| Its just a little dispute over a poster in their workspace.
Oscar| Since Christmas.
Michael| So what, youre having a little spat. I forget, are you guys dating?
Oscar| No.
Toby| Michael, can I talk to you for a uh, second please?
Michael| Yes.
Toby| Heres how I usually handle this all I do is listen.
Michael| Yeah?
Toby| These things just have a way of working themselves out.
Michael| Okay.
Toby| Its like if you write someone a letter, when youre really angry... they say to keep it in a drawer for a couple days. Then you just never end up sending it.
Michael| What do you know about conflict resolution? Your answer to everything is to get divorced. So... 
Toby| Okay.
Michael| Okay... what?
Toby| That was the right decision for me and my marriage.
Michael| Yeah, well... thats not gonna fly here. Because in this office, it is till death do us part... assuming we dont get downsized.  Uh, Pam, will you get Angela and meet us in the conference room please?
Michael|  A mediators tool chest. Okay, well, before we get started, you should know that are 5 different styles of conflict. My Shaolin temple style defeats your monkey style.
Angela| Can we go? I have a lot of work to do.
Michael| No. Okay, this is important. The first style is lose/lose.
Oscar| Whats the next one?
Michael| Just hold on, please! Okay, if we do lose/lose, neither of you gets what you want. Do you understand? You... you would both lose. Now I need to ask you, do you want to pursue a lose/lose negotiation?
Angela| Can we just skip to whatever number 5 is - win/win or whatever?
Michael| Win/Win is number four and number five is win/win/win. The important difference here is with win/win/win, we all win. Me too. I win for having successfully mediated a conflict at work.
Michael|  Okay, since this is the disputed poster. Now, one at a time, I want you to express your feelings using "I" emotion language and no judging or "you" statements.
Angela| I got this poster for Christmas, and I feel I want to see it everyday. It makes me feel like the babies are the true artists, and God has a really cute sense of humor.
Michael| Come on, seriously, that?
Oscar| I dont like looking at it. Its creepy, and in bad taste, and its just offensive to me. It makes me think of the horrible, frigid stage mothers who force the babies into it. Its kitsch. Its the opposite of art. It destroys art. It destroys souls. This is so much more offensive to me than hardcore porno. Im talking about the... 
Michael| Okay, okay. Stop, stop, stop! Lets see if we can just brainstorm and find some creative alternatives that are win/win.
Pam| Win!
Michael| Yes. Thank you, Pam. How about Angela makes the poster into a t-shirt, which Oscar wears. That way, he can never see it and whenever she looks at Oscar, she can see it. Win/win/win.  
Oscar| No.
Angela| Thats... no... 
Michael| Okay... well, brainstorm. Own the solution.
Angela| How about, I leave it up?
Oscar| How bout, she takes it down?
Pam| How about, Angela can keep it up on Tuesdays and Thursdays?
Michael| Okay, that is called a compromise. And it is style 3. And it is not ideal. To sum up, win/win - make the poster into a t-shirt, win/lose - take the poster down, compromise - Tuesdays and Thursdays. And the answer is... make the poster into a t-shirt! Win/win.
Pam| Win.
Oscar| Fine.
Angela| But, it... 
Michael|  It is done!
Pam| Win
Photographer|   No, youre all good.
Creed| Great. 
Pam| Hey, Angela. I didnt have your zip code.
Angela| Oh. Thanks.
Angela| It was hand delivered. But, I did get a Save The Date after all. Its not my taste.
Toby| You solved it?
Michael| Yes.
Toby| Well, good.  We can, uh, throw that one out. 
Michael| Are those all the other complains?
Toby| Mmm-Hm.
Michael| I would like to see those please.
Toby| I... I cant do that.
Michael| You cant do that, huh? Huh, ok. Now you and I have a conflict. I order you to give me that file.
Toby| That... 
Michael| Okay.  There! No more conflict.  I had to use win/lose on that. It was not pretty.  All right... is that it?
Toby|  Its all Dwights.
