Michael| Tonight the Scranton Business Park is having Casino Night and we are converting our warehouse into a full-blown gambling hall. And I know its illegal in Pennsylvania, but its for charity. And I consider myself a great philanderer. Its just... Its nice to know at the end of the day, I can look in the mirror and say, "Michael, because of you, some little kid in the Congo has a belly full of rice this evening." Makes you feel good.
Jim| Excuse me. How long is the wait for a table for two?
Dwight| I would never, ever serve you. Not in a million, billion years.
Pam| Its a nice tux.
Dwight| I know. It belonged to my grandfather. He was buried in it, so family heirloom.
Roy| So, whats the deal? We gotta pay for our own drinks? Thats lame.
Pam| Come on, itll be fun, and besides, Im a roulette expert.
Dwight| Impossible. Roulette is not a game of skill, it is a game of chance.
Jim| I can always kind of win at roulette.
Dwight| Oh, really? Mmm-hmm.
Jim| Yeah.
Dwight| How would you do that?
Jim| Mind control.
Dwight|  You cant be serious. Are you serious?
Jim| Ever since I was a little kid, like, eight or nine, I could sort of control things with my mind.
Dwight| I dont believe you. Continue.
Jim| It was just little thing, you know, like I could make something shake or I could make a marble fall off the counter. You know, just little things.
Dwight|  Thats ridiculous. You know what? Uh... Why dont you move that coat rack? Excuse me, everyone! Attention in the office, please. Jim is about to prove his telekinetic powers and he needs absolute silence. Go ahead.
Jim| Okay, Ill try.  
Dwight| Oh, my God.
Michael| I try not to think of it as lagging behind. Its more of a David-and-Goliath thing.
Jan|  Yeah, but... Well, the fact of the matter is that your branch is currently number four of the five branches that I oversee.
Michael| Top 80 percent!
Jan| Michael?
Michael| Yeah?
Jan| You know that Im very serious here.
Michael| Jan, listen, I promise that I will kick it up a notch. Bam!
Jan| What?
Michael| Emeril. Oh, actually, while I have you, not that I have you or have ever had you, but were having our Casino Night tonight and I think everyone would love to see their fearless leader here. 
Jan| I thought that you were their fearless leader.
Michael| I am, but you are the Eva Peron to my Cesar Chavez.
Jan|  I think you can handle it. 
Michael| Oh, come on. Come on.
Jan| I think so, Michael...
Michael| You know, itd be fun. I can hear it in your voice. You need a break.
Jan| Goodbye, Michael.
Michael| Jan and I understand each other. The romance thing is sort of on hold for the time being, but weve remained good friends. Good friends with privileges. Not now, some day. 
Michael| Okay, everybody. Tonights event is to benefit the Boy Scouts of America.
Oscar| Again? We do that every year.
Michael| Well, they need our money. They dont have cookies like the Girl Scouts.
Oscar| Itd be nice to do something for people who are actually suffering.
Michael| Well, Oscar, if you dont like it, then you should concentrate on winning. Because the person at the end of the evening with the highest chip count will receive $500 to donate to the charity of their choice. And they will get a mini-fridge compliments of Vance Refrigeration.
Dwight| Yes!
Michael| So get your charities in to Pam. I, for example, am playing for Comic Relief.
Jim| That doesnt exist anymore. 
Michael| Comedy is very much alive, as are homeless people.
Pam| No, they stopped making that show.
Michael| Well, then, they need our money more than ever. 
Angela| You have to pick an approved, non-profit organization.
Creed| Theres a great soup kitchen in downtown Scranton. Delicious pea soup on Thursdays. Ill probably give the money to them. 
Kevin| Something with animals. Or people.
Kelly| Kobe Bryant has a foundation, and he is 
Angela| We are giving money that has been gambled. Why dont we just deal drugs or prostitute ourselves,  and donate that money to charity?
Michael| Oh, and another fun thing. We, at the end of the night, are going to give the check to an actual group of Boy Scouts. Right, Toby? Were gonna...
Toby| Actually, I didnt think it was appropriate to invite children since its... You know, theres gambling and alcohol, and its in our dangerous warehouse and its a school night... And, you know, Hooters is catering. You know, is that enough? Should I keep going?
Michael| Why are you the way that you are? Honestly, every time I try to do something fun or exciting, you make it not... that way. I hate so much about the things that you choose to be. Okay, you know what? I will not donate my winnings to Comic Relief, since apparently it doesnt exist. I am going to donate to Afghanistanis with AIDS. 
Jim| I think you mean the aid to Afghanistan. 
Michael| No, I mean Afghanistanis with AIDS. 
Phyllis| Afghani.
Michael| What?
Phyllis| Afghani. 
Michael| Thats a dog. 
Pam| No, thats Afghan. 
Michael| Thats a shawl. 
Dwight| Wait, canine AIDS?
Michael| No. Humans with AIDS.
Creed| Who has AIDS?
Jim| Guys, the Afghanistananies.
Michael| Okay, you know what? No. No. AIDS is not funny. Believe me, I have tried. 
Michael| There are certain topics that are off-limits to comedians, JFK, AIDS, the Holocaust. The Lincoln Assassination just recently became funny. "I need to see this play like I need a hole in the head."  And I hope to someday live in a world where a person could tell a hilarious AIDS joke. Its one of my dreams. 
Jim| What are you doing?
Pam| Oh, nothing. 
Jim| "Till Death Do Us Rock."
Pam| Theyre wedding bands.
Jim| Oh. 
Pam| Roy was supposed to pick the band, but hes concentrating more on the bachelor party now.
Jim| Wait, wait, where you going? I mean, even if you dont hire a band, you still have to watch the bands. Pam, these are people who have never given up on their dreams. I have great respect for that. And, yes, theyre all probably very bad and that will make me feel better about not having dreams. 
Pam| Theres a KISS cover band in here. 
Jim| Lets do it. 
Pam| Im pretty happy these days. Im getting married soon and Im getting along with everybody at work. 
Jim| Why did I talk to Jan about transferring? Well, you know... I have no future here. 
Michael| I have already put down the deposit. Do you understand how a deposit works? 
Darryl| Mike, I am not having fire-eaters in a paper warehouse. 
Michael| Its Casino Night like Las Vegas. There are fire-eaters all over the place. 
Darryl| Except my warehouse. 
Michael| Well, actually, its my warehouse. 
Dwight| Actually, its owned by Beakman Properties, and Dunder Mifflin is four years into a seven-year lease. 
Michael| Why are you here?
Dwight| When Darryl was coming, you said you wanted me here for protection. 
Michael| Not. I said, not that. 
Darryl| We just have a lot of stuff down there that could be stolen. 
Michael| Thats ironic.
Darryl| What?
Michael| That you are afraid. 
Darryl| Why? Cause Im from the hood?
Michael| Dinkin flicka. 
Darryl|  Dinkin flicka. 
Darryl| I taught Mike some, uh, phrases to help with his interracial conversations. You know, stuff like, "Fleece it out." "Going mach five." "Dinkin flicka." You know, things us Negroes say. 
Michael| Give me some. 
Darryl| Oh, yeah, I taught him a handshake, too.
Jim|  Wow. I dont know how youre gonna decide. They are all extremely good.
Pam| I think I should hire them all. Do like Lollapalooza.
Jim| Yes.
Pam| Have three stages, yeah.
Jim| Your mom would love that. She would. Oh, this band is called Scrantonicity.
Pam| Oh.
Jim| Lets take a look. Nice.
Pam| Oh, wait. Thats Kevin. On the drums.
Jim| What?
Pam| On the drums! On the drums!
Jim| Oh, my God, thats Kevin! Great song, Kev. Oh,  my God, hes the drummer and the singer.
Kevin| We really dont do a lot of weddings. We actually dont play in public very often. We are all really hoping that Pams wedding works out. This could be a turning point for the band.
Jim| Wow. Oh!
Pam| Oh, my...
Jim| Yeah, you havent seen that since 1983. That is amazing. Okay, we have to sign him. Im gonna call the label, were gonna...
Pam| No! No!
Jim| No, Pam, youre gonna lose him to another wedding.
Pam| No, come back! No, no, no!
Jim| Kev!
Pam| Jim is great. Being with him just takes away all the stress of planning my wedding.
Michael|  Yes
Pam|  Michael, Carol Stills for you.
Michael| Who?
Pam| Carol Stills.
Michael| Do I know a Carol Stills?
Pam| Your realtor.
Michael| Oh, yeah, put her through. Hey Carol, how goes the real estate biz? Is it 
Pam| Sometimes I dont put Michael through until hes already said something. I look at it as a practice run for him. He usually does better on the second attempt.
Pam| Carol, youre on with Michael.
Carol|  Hello, Michael?
Michael| Hi, Carol. How you doing?
Carol| Im great. I just needed one last signature for your mortgage insurance.
Michael| Oh, hey, no problemo. Incidentally, I love the place.
Carol| Oh, great.
Michael| Great. It has a little bit of a weird smell. Its okay. At Christmas, the tree helped. 
Carol| Oh, good, Im glad. Can I drop it over later?
Michael| Actually, Im sort of hosting this charity thing in our warehouse, Casino Night.
Carol| Oh, great.
Michael| Yeah, itll be good. You know what? Why dont you come by? Bring the papers, Ill sign them and then you can stay and have a drink.
Carol| To the casino thing?
Michael| Yeah. Itll be fun. What do you... What do you...
Carol| What?
Michael| Oh, Im sorry. Could you hold on? Yes?
Pam| Michael, Jans on line two.
Michael| Okay, put her through.  Jan Levinson, I presume?
Pam| Its still me. Uh, Jan, heres Michael.
Jan| Michael?
Michael| Hey, Jan. How you doing?
Jan| You know, I... I thought about it and you are right.
Michael| I am?
