Ryan| Yeah, Im not a temp anymore.  I got Jims uh, old job.  Which means at my 10 year high school reunion it will
not| say "Ryan Howard is a temp." It will say "Ryan Howard is a junior sales associate at a mid-range paper supply firm.  ...thatll show em.
Jim|  You have no idea how long Ive wanted to do that.
Pam| Me too.  ...I think were just drunk.
Jim| No Im not drunk.  Are you drunk?
Pam| No...  Jim---
Jim| Are you really gonna marry him?   ...Ok.
Dwight|  Jim is gone.  Hes gone.  I miss him so much.  Ooooh I cry myself to sleep, Jim!
False|.  I do not miss him.
Michael|  No!  That is the fun of this place.  I call everybody "faggie". Why would anybody find that offensive?
Toby| OK I think Oscar would just like if you used "lame" or something like that.
Michael| Thats what faggie means!
Toby| No not really...
Toby| Apparently you called Oscar "faggie" for liking the movie Shakespeare in Love more than an action movie.
Michael| It wasnt just an action movie, it was Die Hard!
Toby| All right Michael, but Oscars really gay.
Michael| Exactly!
Toby| I mean for real.
Michael| Yeah, I know.
Toby| No, I mean hes attracted to other men.
Michael| OK, a little too far, crossed the line.
Toby| OK, I am telling you, Oscar is an actual homosexual.  Yeah, he told me this morning.  And, obviously he hopes he can count on your discretion.
Michael| I would have never called him that if I knew.  You dont... You dont call retarded people "retards".  Its bad taste.  You call your friends "retards" when theyre acting retarded.  And I consider Oscar a friend.
Michael| Listen man, I am so sorry.  I had no idea.
Oscar| No, its fine.
Michael| No.  No its not.  I feel terrible about it.  I have been calling people "faggie" since I was in junior high, and I have never made this mistake.  If I dont know how to behave, it is because I am just so far the opposite way, you know?  Im just... I, I cant even imagine... the... thing.  Maybe we could go out for a beer sometime.  And you could tell me... how... you do that to another dude.
Oscar| That sounds like a great, wonderful idea, lets do that.
Angela|  It explains so much.
Oscar| No, Im not gay.  And I dont understand why anyone would think, that Im gay... if...  Uh... yeah Im gay.
Jim|  I cant say whether Dunder Mifflin paper is less flammable, sir, but I can assure that it is certainly not more flammable.
Jim|  Why did I transfer to Stamford?  I think thats pretty obvious.  I got promoted!  And you cant beat that view... right?
Andy| Hey, Big Tuna!  Youre single right?
Jim| Uh-huh, yeah.  I am.
Andy| Shes pretty hot huh?   Shes completely crazy.  Steer clear Big Tuna.  Head for open waters.
Jim| OooOK.
Andy| OooOK.
Jim| I ate a tuna sandwich, on my first day.  So, Andy started calling me Big Tuna.  ...I dont think any of them actually know my real name.
Andy| Big Tuna is a super ambitious guy, you know?  Cut your throat to get ahead kind of guy, but I mean Im not threatened by him.  I went to Cornell, you ever heard of it?   I graduated in four years.  I never studied once.  I was drunk the whole time, and I sang in the acappella group, "Here Comes Treble."
Josh|  So, end of day we are going to have a little diversity policy refresher, because of some more problems at the Scranton branch.  And I have a list of business startups I got from the chamber.  Yes, I am going to need someone to cold call them.
Jim| Oh, I can do that.
Karen|  Jims nice enough.  I dont... I dont know how well hes fitting in here. Hes always looking at the camera like this.   What is that?
Michael|  Can you tell whos gay and whos not?
Dwight| Of course.
Michael| What about Oscar?
Dwight| Absolutely not.
Michael| Well, he
is|.
Dwight| Well, hes not dressed in womens clothes, so...
Michael|  There could be others...  I need to know.  I dont want to offend anybody else.
Dwight| You could assume everyone is, and not say anything offensive.
Michael| Yeah, Im sure everyone would appreciate me treating them like they were gay.
Michael|  Hey, what about Angela?   Shes hard and severe.  She could be a gay woman.
Dwight|  I really dont think so.
Michael|  I dont know, I can imagine her with another woman, cant you?
Dwight|
Michael| Do some research.  Find out if theres a way to tell by just looking at them.
Dwight| Jim told me you could buy gay-dar online.
Michael|  Thats ridiculous.
Dwight| Yeah probably.  He didnt tell the truth a lot.
Michael|   Lets call him and get the website.
Dwight| Definitely.
Jim|  Whats gay-dar?
Oh|, oh, gay-dar, yes!  No, uh, I think they have it at Sharper Image.  Oh, you know what?  I could check for you.  No problem.    Its sold out!  Yeah sorry about that, thats a bummer.
Michael| Well, theyre sold out.
Dwight| Damn.    Ill try Brookstone.
Jim| I miss that.
Roy| Chicken or fish?
Pam|  Chicken.
Roy| So you havin a good day?
Pam| Excellent, thanks.
Roy| Good, glad.  OK.
Pam| Yeah, I didnt go through with the wedding.  I got cold feet, a few days before.  And I cant really explain it.  I just had to get out of that relationship.  We still had to pay for all the food.  So we froze it.  But Im, Im doing well.  I have my own apartment.  Im taking art classes.  And I have lunch for the next five weeks.
Roy| After Pam dumped me, I um, I kinda stopped taking care of myself there, and uh, I hit bottom when uh, drunk driving arrest.  Ive been working out and um, you know, Im not gonna take her for granted.  I gotta win her back.
Stanley|  I got them a toaster.  They called off the wedding and gave the toaster back to me.  I tried to return the toaster to the store, and they said they no longer sold that kind of toaster.  So now my house has got two toasters.
Kelly|  That is so cool that youre gay.  I totally underestimated you.
Oscar|  Yes Im super cool.  I am an accountant at a failing paper supply company, Scranton.  Much like, um, sir Ian McClellan.
Angela|  Sure, sometimes I watch Will and Grace... and I want to throw up.  Its terribly loud.  I do like it sometimes when Harry Connick Jr. is on.  Hes so talented.
Andy|  OK.  Who put my calculator in Jello?  Good one.  But uh, seriously, guys who did this?  Seriously guys, who did this?  I need to know who put my calculator in Jello, or Im gonna lose MY FRICKIN MIND!
Jan| You know, its amazing to me that in this day and age, you could be so obtuse about sexual orientation.
Michael| I watch the L Word.  I watch, Queer as F***, so...
Jan| Thats not what its called.
Toby| OK, Michael, are you aware that you ousted Oscar today?
Michael| What?  What does that even...
Jan| Coming out, is a significant moment for a gay person, and they should be allowed to select the timing and manner of announcing it.
Michael|  Well, gay pride, right? Gay pride parade?  Its not like gay... shame festival.
