Michael| Pam?
Pam| Yeah?
Michael| Did you see Oprah yesterday?
Pam| No, I didnt.
Michael| I, uh... I am going to be a father.
Pam| What was Oprah about?
Michael| Angelina Jolie was on. And she adopted a baby from Asia, and she said that it changed her life. And that really inspired me. So, I want you to look into seeing how much a little Chinese baby would cost.
Pam| Thats a really big decision.
Michael| I know.
Pam| Maybe you should wait before you adopt.
Michael| Well...
Pam| Or not adopt.
Michael| Just do it, okay?
Pam| Roys sister looked into it, and the application alone costs a thousand dollars.
Michael| Um... find out if theres a cheaper, less expensive baby out there, okay?
Pam| You know, she also said the waiting list is like eight months.
Michael| Eight months?
Pam| Yeah.
Michael| I dont even know if Ill want a baby in eight months.
Pam| You probably wont.
Michael| You know what, Pam? If in ten years, I havent had a baby, and you havent had a baby...
Pam| No, Michael.
Michael| Twenty years.
Pam| No, Michael.
Michael| Thirty.
Pam| Sure.
Michael| Its a deal.
Ryan| All right. Three pairs of pants. Three pairs of socks. Three packs of condoms.
Michael| Yesh.
Ryan| Uh, fun jeans.
Michael| Right there. Ah.
Angela| Sign.
Michael| Per diem.
Michael| Guess where I am going. I will give you a hint. It is a booze-fueled sex romp, where anything goes. You are correct, sir! I am headed to Philadelphia for the Annual Northeastern Mid-Market Office Supply Convention. And Jim Halpert is going to be coming, which will be fun. Poor little guy. Hes been stuck working under Josh, the poor mans Michael Scott, as he is known around my condo.
Dwight| Dont be mad, it is a business trip.
Angela| But I dont understand. Its for managers.
Dwight| Monkey, I am an A. R. M., Assistant Regional Manager.
Angela| I know! It... I was just really hoping we could spend some time together.  Are you still there?
Dwight| Yes, Monkey.
Angela| Dont "Monkey" me! You cant wait to get out of here, A. R. M.
Angela| In the Martin family, we like to say, "Looks like someone took the slow train from Philly." Thats code for "check out the slut." What is... why are there flies in here?
Kelly| Oh my God! Are you so excited for tonight? I am so excited. You guys are going to click, I can feel it. So what are you wearing?
Pam| This.
Kelly| You look so pretty.
Pam| Thank you.
Pam| Yes, I have a date. Hes a cartoonist for the local paper, which is really neat, because I like to draw too. Im kind of nervous. I havent been on a first date in nine years... probably shouldnt broadcast that.
Kelly| Well, remember, no matter how much you may want to, do not sleep with him on the first date. It gives him all the power.
Michael| Sleep with who? Whom, whom... whom?
Kelly| My neighbor Alan. Theyre going on a date tonight.
Michael| Oh, wow! Oh my God, I have a great idea. You know what you should do to be hilarious? Wear your wedding dress. It would be a great icebreaker.
Dwight| And your veil.
Michael| Yeah, do it!
Pam| Ill probably just wear this.
Michael| Really? Okay. Well, word of advice unbutton that top button. Let those things breathe. Any message you want me to relate to Jim?
Pam| Um...
Michael| Um. Okay, um.
Dwight| Um.
Michael| You got that?
Dwight| I got it.
Michael| Write it down.
Dwight| I got it.
Dwight| Um.
Michael| Um.
Dwight and Michael|  Um, um, um...
Creed| Theres my girl. I noticed you handing out some shekels. How would one get on that train?
Angela| That was for per diem, for Philadelphia.
Meredith| That town smells like cheese steaks.
Angela| That town is full of history!
Creed| Andreas the office bitch. Youll get used to her.  Creed.
Dwight| Can I have my neck pillow back? Michael! Can I have my neck pillow back?
Josh| Hey, Michael.
Michael| Hey, Josh, how ya doing?
Josh| Pretty good.
Michael| Good to see you. There he is! Theres the traitor! Traitor! Traitor! Come here, you. Come here! Yeah! The product... the progidal... my son returns.
Michael| I was shocked when he told me he was transferring to Stamford. Its like the firemen. You dont leave your brothers behind, even if you find out that there is a better fire in Connecticut.
Jim| Its really good to see you, man.
Michael| Yeah! Wow, I didnt expect that. Its good to see you too!
Dwight| Oh, hey, hows it going up there? Have you made any sales yet?
Jim| Yeah, sold about forty thousand.
Michael| Hey!
Dwight| Shut up. Thats impossible.
Jim| No, its not. I did. Yep.
Dwight| Well, I did it too.
Jim| You know, when I saw Dwight, I realized how stupid and petty all those pranks I pulled on him were. And then he spoke. I wonder how hard it would be to get a copy of his room key.
Kevin| So did you hear?
Toby| What?
Kevin| Pams back on the market again.
Toby| Really? Shes dating?
Kevin| If I werent engaged, I would so hit that.
Dwight| So what kind of commissions you get up there?
Jim| Oh, Dwight. Ive missed you so much.
Dwight| Youre so immature!
Josh| Listen, Michael, I heard you were a great salesman.
Michael| Ah.
Josh| And I just want to let you know that if our branch absorbs your branch, Im going to look for a place for you at Stamford.
Jan| Oh, hey!
Dwight| Hey, Jan.
Jan| We all checked in?
Josh| Yes.
Jan| Great, lets dump our stuff and meet back here in half an hour.
Josh| Okay.
Jan| Okay!
Michael| Jan? Look, I think we need to set some ground rules.
Jan| What are you talking about?
Michael| The eight-hundred pound gorilla in the room. Carol. Im still dating her, so nothing can happen between us at the convention.
Jan| Step away from me, Michael.
Michael| Thank you for being so brave with all of this. Thank you.
Kelly| Alans cartoon is so funny, right?
Pam| Mm-hmm.
Kelly| And theyre, like, so smart. I dont even know what they mean half the time.
Dwight| This party is going to be awesome.
Michael| I know! That is specifically why I chose a room close to the elevator. More foot traffic.
Dwight| Check it out.
Michael| That is crooked on that side.
Dwight| Wow.
Michael| Hey hey!
Jim| That is a lot of liquor.
Michael| Yeah.
Jim| And a dart board.
Michael| Well, thats how we do it in Scranton. Or did you forget? There aint no party like a Scranton party, cause a Scranton party dont stop.
Josh| We should probably head on down and hook up with Jan.
Michael| Hey, well, we have time! One for the road, gentlemen?
Josh| A shot of MIDORI, perhaps.
Jim| Oh, no, sorry, its an inside joke. Theres this bartender at Stamford who, uh... you know what? Youd just have to be there.
Michael| Wish I was. I love inside jokes. Id love to be a part of one someday.
Josh| Um, we should...
Jim| Yeah.
Michael| All right, see you guys down there. Change your mind, come back up.
Dwight| Ill do a shot, Michael.
Michael| Ugh, that would be gross. Its not even lunch yet.
Michael| SWAG! Stuff we all get. I basically decorated my condo for free with all of my SWAG.
Michael| Check it out. Hi, Im Michael Scott, Dunder-Mifflin.
Dwight| Dwight Schrute, Assistant Regional Manager, Dunder-Mifflin.
Jerome Bettis| All right.
Dwight| Im a huge fan.
Jerome Bettis| Thanks. I appreciate it, guys.
Michael| You know what? Im having a huge blowout tonight, Room 308. Hope you can come.
Jerome Bettis| All right, maybe. If I can.
Michael| Well, cool! Okay, so... can I tell people youre gonna be there?
Jerome Bettis| No, you cannot.
Michael| So maybe. See ya.
Dwight| Why do they call him The Bus?
Michael| Because hes afraid to fly.
Dwight| Smile!
Michael| Do you remember me from last year? Theres a party in my room, 308, cant miss it, right off the elevator. Tonight. Be there!
Josh| All right, Jan just emailed me. She wants us to meet her up front.
Michael| Yep. Yeah, shes up front.
Dwight| You dont have email on your phone.
Michael| I dont have to, I just know. Yes, hello?
Dwight| No one just called you.
Josh| All right.
Jim| All right, nice meeting you, Ted. Take care.
Ted| Ill see you soon.
Josh| Yeah, stop by later.
