Dwight| Brain teaser. I have two coins totaling 15 cents and one of them is not a nickel. What are they?
Ryan| A dime and a nickel.
Dwight| No, I said one of them is not a nickel.
Ryan| But the other one is. Ive heard that before.
Dwight| Ok. A man and his son get into a car accident. They are rushed to the hospital. The doctor says, there is no way I can operate on this boy, ...
Ryan| Because hes my son. The doctor is the boys mother.
Dwight| A man is found hanging from the ceiling...
Ryan| He stepped on a block of ice, hung himself, and the ice melted.
Dwight| A hunter.
Ryan| Its a polar bear because youre at the North Pole.
Dwight| Damn it!
Jan| Tell me what you did yesterday.
Michael| Uhhh... nothing.
Jan| Nothing?
Michael| Yeah, nothing. How was your day?
Jan| I dont care how your day was Michael.
Michael| Wow. Well. Ok. I dont care how your day was either, Jan. I was just asking you because you asked me. Why do you set me up like that?
Jan| Tell me what you did yesterday.
Michael| I worked. And then I went home to my condo. And Carol came over. And then we had sex. Is that what you want to hear?
Michael| Never ever, ever sleep with your boss. I am so lucky that Jan and I only got to second base.
Jan| Hi, Pam.
Pam| Hi.
Jan| Im great. So, Pam I would like you to keep a log of everything Michael does hour by hour so we can analyze it at corporate. Ok?
Pam| Oh, I dont know if Im...
Jan| Thanks Pam.
Pam| Its weird. Jan use to treat Michael like he was a ten year old, but lately its like hes five.
Dwight| So you excited?
Ryan| Yeah.
Dwight| Very excited?
Ryan| Yes. Im very excited.
Dwight| Extremely excited? ... Just very?  Thats cool.
Ryan| I have spent a year here. I have to commit or get out. Dwights the top salesman in the company and hes taking me on my first sales call today. And, um, Im excited.
Dwight| I am very excited. Ryan hasnt made a sale yet, but more importantly, he hasnt made an ally yet. Is he going to be a slacker-loser-wise-ass like Jim was? Or is he going to join the Dwight Army of Champions?
Ryan| So what if theyre not talking much, then does it makes sense to kind of lead the conversation? You know, just till it gets to a point where they are asking questions?  So wheres the sales office?
Dwight| When you are ready to see the sales office, the sales office will present itself to you. Your journey begins now.
Karen|  Hey.
Jim| What?
Karen| My chair is squeaking.
Jim| Is it?
Karen| You took my chair.
Jim| No, I didnt. I took back my chair that you took from me, but I didnt take your chair.
Karen| When you get up, Im just going to take it back anyway, so...
Jim| So I guess I cant get up.
Michael| Hey Koselli, the Kos. Cosby. Hey hey hey. I love Jello Pudding Pops. My son, Theo, loves Jello Pudding Pops too.
Dwight| Do you know where we are, temp?
Ryan| I know where were not.
Dwight| I hold in my hand, a beet seed. Take it.  AH!  When... Damn it.
Andy| Hey, Big Tuna, can I talk to you for a second.
Jim| Sure.
Andy| Can you stand up? And talk to me over there?
Karen| Thats it? Thats what you came up with?
Andy| Im acting my heart out here.
Karen| Really?
Andy| Yeah, really. You asked for my help, so I helped.
Announcer| Attention Scranton Business Park, there will be complimentary pretzels in the lobby from now until 4 oclock as a thank you to our loyal tenants.
Pam| Once a year they bring in a little cart and they give away free pretzels. Its really not a big deal. To some people it is.
Michael| Productivity is important but how can I be productive if I have this one little thing in my brain? That I cannot get out. And that one little thing is a soft pretzel. So Im just going to have my soft pretzel, then Ill get to work, and Ill be super productive. Look out for me.
Michael|  Oh, shhh... Come on.
Dwight| And just as you have planted your seed in the ground, Im going to plant my seed in you.
Ryan| I dont think you know what youre saying.
Dwight| Smells pretty bad, doesnt it?
Ryan| Uh huh.
Dwight| Its called bull crap and a client can smell it from a mile away.
Ryan| Gotcha.
Dwight| Oh hey, I forgot something in my car.  Ill be right back.
Ryan| Ok.  Of course.
Stanley| I wake up every morning in a bed thats too small, drive my daughter to a school thats too expensive, and then I go to work to a job for which I get paid too little, but on Pretzel Day? Well, I like pretzel day.
Kelly| Because they acted all tough and everything...
Michael| Uh huh.
Kelly| But what they were rapping about was cupcakes and the Chronicles of Narnia. God. Who invented cupcakes, right? I want to...
Michael|  Hey, hey, hey! Phyllis, what are you doing?
Phyllis| Im just saying hi to Bob.
Michael| No, I think youre cutting in line.
Bob| Well settle down, Scott.
Michael| No, Im not going to settle down.
Stanley| No way.
Michael| Get in the back please.
Stanley| Boooooo. Booooo. Back of the line.
Michael| Boooooo. Thank you. . Thats right.
Bob| What a pair of Marys.
Stanley| This is Pretzel Day.
Ryan| Hey Dwight, youre a great salesman. Can you teach me? Sure, Ryan. Ill make you the ole commodor.  Ill abandon you in a beet field. Huh. That sounds great, Dwight, Ill really appreciate that. Thank you so much for your mentorship.
Dwight| Congratulations resourceful salesman. You have passed the second challenge. Welcome to Schrute Farm.
Karen|
Jim|  Love me, love me, say that you love me, fool me, fool me,
Karen| stop.
Jim| Go on and fool me. Love me, love me, say that you love me
Karen| This is not fair, this is going to be in my head all day. Please.
Jim| fool me, fool me, go on and fool me. Love me,
Karen| This is not a proportionate response.
Jim| Love me, say that you love me. Fool me, fool me, go on and fool me.
Andy| I dont care bout anything but you... what ever happened to those guys?
Pam| Michael.
Michael| No cuts. Oh, Pam. Just the woman Id like to see. You read my mind.
Pam| Great! I thought you could use this time to authorize some checks.
Michael| I thought that maybe you could wait in line for me while I go to the bathroom. Youre an angel.
Pam| Hey, why dont you just go up to your office, get some work done, and Ill just bring you a pretzel.
Michael| Because I like them a certain way, and if it gets screwed up, then whole thing is blown.
Pam| You know, I just think its really important that you be productive today.
Michael| Pam, productivity starts with patience and determination. Ill be back.
