Karen| Hey.
Jim| Hey.
Karen| Who are you faxing so early in the morning?
Jim| Oh, umm... kinda hard to explain.
Jim|  I dont have a ton of contact with the Scranton branch, but, before I left, I took a box of Dwights stationery, so, from time to time, I send Dwight faxes. From himself. From the future.  "Dwight, at 8 A.M. today, someone poisons the coffee. Do not drink the coffee. More instructions will follow. Cordially, Future Dwight."
Dwight| No! Youll thank me later.
Michael| There she is - Jan Levinson. First...
Jan| Michael.
Michael| ...thing in the morning. Love to start my morning with a hearty bowl of Jan.
Jan| Michael.
Michael|  Just call me Levinson in the morning, baby.
Jan| Michael.
Michael| Yes.
Jan| I am here to tell you that we are closing the Scranton branch.
Michael| I dont understand.
Jan| The board voted last night to close your branch.
Michael| On whoms authority?
Jan| The boards.
Michael| What?
Jan| Im very sorry. I dont relish telling you this. Youve been a big part of this company, and the board asked me to thank you for your years of service.
Michael| Youre welcome.
Jan| A small number of people will be transferred to the Stamford branch, and the rest will be getting severance packages.
Michael| Am I a small number person or a severance package person?
Jan| Well, we havent made final decisions about personnel yet. But youre a severance package person.
Michael| Oh...  Oh, my god. Oh, my god! I dont really get it cause were not doing that bad and our numbers are gonna come up.
Jan| Well, its not all about numbers, Michael.
Michael| Well...
Jan| Its... its about talent.
Michael| Oh, you gotta be... Josh?
Jan| Our CFO believes that Josh is going to play an important role in our companys future.
Michael| Oh really, what role is that? King of the stupid universe?
Michael| It is an outrage, thats all. Its... heyre making a huge, huge mistake. Lets see Josh replace these people. Lets see Josh find another Stanley. You think Stanleys grow on trees? Well they dont. There is no Stanley tree. Do you think the world is crawling with Phyllises? Show me that farm. With Phyllises and Kevins sprouting up all over the place. Ripe for the plucking. Show me that farm.
Michael| Pictures. Memories.  Look at that. They grow up so fast.
Dwight| Hey stranger.
Michael| Dont say that. That just sounds weird. Please.
Dwight| Sorry. I just feel like we havent talked in awhile.
Michael| Well... we have nothin to talk about, Dwight. Just do your work ... while you still can.
Dwight | When you become close with someone, you develop a kind of sixth sense. You can read their moods like a book. And right now, the title of Michaels book is, "Something Weird is Going On." Colon, "What Did Jan Say? The Michael Scott Story. By Michael Scott, with Dwight Schrute." 
Karen| Hey, um... did you hear about your friends in Pennsylvania? Rumor has it that the Scranton Branch is... 
Jim| Really? Wow... thats bad.
Andy| Um, sorry... the Scranton branch is closing?  In your face!
Jim| Well, I work here now.
Andy| Mmmm.. suck-ah!
Pam| Are you okay?
Michael| Yeah, great! Amazing. Best physical condition of my life.
Pam| What did Jan want?
Michael| Nothing. Just checking in. I cant tell you, so...
Pam| What cant you tell me?
Michael| Nothing, Pam. What difference does it make?  Well be gone in a couple of weeks anyway.
Pam| What?!
Michael| What?
Pam| You just said that were gonna be gone...?
Michael| Do I have any messages?
Pam| Michael, whats going on?
Michael| Ok, ok...
Michael|  Listen up, everybody... I have some news. We are screwed. Dunder-Mifflin, Scranton is being shut down.
Toby| Michael, uh... we shouldnt be talking about this until all the decisions have been made.
Michael| You knew about this all along, didnt you?
Toby| Jan told me just a few minutes before she told you.
Michael| Traitor. You are a traitor.
Angela| What about us, Michael? Do we still have jobs?
Michael| I dont know. Probably not. This is the worst.
Ryan| It makes perfect sense that it would happen today because I just received this in the mail.  A thousand business cards with this address and phone number.
Angela| I dont want to blame anyone in particular. I think everyones to blame.
Kelly| If I get to stay and Ryan is laid off, I will kill myself. Like Romeo and Juliet, the Claire Danes one.
Andy|  Stamford, Connecticut! Stamford, Connecticut!
Jim| I worked in Scranton for a really long time. And uh, its going to be weird that its all disappearing. I mean, I always knew that the branch would shut down someday. I just figured it would be because Michael sold the building for some magic beans.
Stanley| I couldnt be happier. Im gonna take the severance and retire. My wife and I are gonna travel.  I really couldnt be happier.
Pam| Its a blessing in disguise. Actually, not even in disguise. Sometimes at home, I answer the phone, "Dunder-Mifflin, this is Pam." So, maybe thatll stop now.
Roy| What does that mean?
Kevin| Well, some of us are fired and a few are going to Connecticut.
Roy| I dont really want to work here without Pam. You know that Cinderella song, "You Dont Know What You Got (Till Its Gone)"? That pretty much says it better than how I know how to say it... in words.
Darryl| Hey Mike.
Michael| Darryl. Noble Darryl. 
Darryl| Look, I heard about the office. Tough break.
Michael| I know, I know. Well, Ill land on my feet. Dont worry about me.
Darryl| I wasnt.
Michael| So, youll be okay too. Youre a warrior. Youre smart, capable. Youll find something else and...
Darryl| Actually, Bob Vance bought out the warehouse. So hes keeping on the whole crew. So, we good.
Michael| Awesome.
Michael| This is my house. The CFO is taking away my house and giving it to Josh. And Josh is giving the garage to Bob Vance.
Michael| All right, listen up. Some of you may have heard some rumors about the branch closing. But, I am not going to take this lying down. I have a plan and I am going to save our jobs. So just hang in there.  Lets go.
Dwight| Yes!
Pam| Oh, good... youre bringing Dwight.
Michael| Yes. This might get ugly. I need backup.
Dwight| Whats the plan?
