Jim| The Stamford branch is closing and everybodys just packing up their stuff. Andy Bernard made these tasteful hats.
Andy|  Thats the other thing you got to watch out...   Yo! Tuna! I wanna talk to you about this new boss, Michael Scott.
Jim| Yeah.
Andy| So whats he like? Likes? Dislikes? Favorite sports? Favorite movies? Favorite mens magazines?
Jim| You know what? I think you just need to meet him.
Andy| Playing your cards close to the vest. I get it. Good luck over there, Tuna. Cross me and I will destroy you.
Jim| Sounds good Andy.
Karen| This is going to be an adventure.
Jim| Yes. This is going to be very interesting. All right, Im out of here. See you later?
Karen| Right on.  Hey is that Joshs computer?
Andy| What?
Pam| Hey!
Toby| Hey.
Pam| Howd the run go?
Toby| Ah, pretty good. I finished.
Pam| Thats great!
Dwight| Psh, why is that great?
Pam| Because he accomplished something.
Dwight| What was your mile time?
Toby| About seven.
Dwight|  I could beat that on a skateboard.
Toby| Well, that has wheels.
Dwight| Yeah, well my feet dont. And I can still crush that time.
Pam| Really, Dwight? How fast are you?
Dwight| Lets just put it this way. Last weekend I outran a black pepper snake.
Pam| Really?
Dwight| I am fast. To give you a reference point. Im somewhere between a snake and a mongoose. And a panther.
Dwight| Man, what is taking Toby so long?
Pam| Oh, Ill just time him later.
Dwight| And youll compare the times?
Pam| Yeah. Are you ready?
Dwight| No, my groin...
Pam| Set
Dwight| ...is really tight.
Pam| Go!
Dwight| I cant...
Pam| Am I being mean to Dwight? I dont know. I did just make him run around the building and I have no intention of timing him. This isnt even a stopwatch. Its a digital thermometer. He does make my life harder, sometimes. And on purpose. Like he tried to put meters on the bathroom stalls as a way of bringing in more money for the company.  Hey, three more laps to go. Gotta pick it up if youre going to beat Toby.
Dwight| Aaaaah!
Pam| I should probably get back to work.
Michael| Here... Whos here?
Dwight| Nametag?
Michael| Yes, please.
Dwight| Karen Filippelli.
Michael| Karen Filip...  Ka-ren Fili-pell-li.
Dwight| Probably Italian. Possibly Filipino.
Michael| Okay.
Michael| My branch is absorbing the Stamford branch. Or, as I like to put it, my family is doubling in size. Thats all Im going to say about it because I have a gigantic performance ahead of me. And I have to get into my head and focus.
Michael| Whos next?
Dwight| Thats Andy Bernard.
Michael| Andy Bernard.
Dwight| If I were you...
Michael| Saint Bernard.
Dwight| ...I would fire Anthony Gardner...
Michael| What?
Dwight| ...before noon...
Michael| Im not...
Dwight| ...to consolidate power.
Michael| Im not firing somebody on the first day.
