Dwight| Merry Christmas!
Pam| Merry Christ-- NO! Why... why did you bring that here?
Dwight| Dont worry, shes dead. Oh wait. Hes dead.
Pam| Dwight, what uh...
Dwight| I accidentally ran over it. Its a Christmas miracle!
Pam| Well, get it out of here.
Dwight| Relax, OK. And because this is Christmas, I am going to roast this goose and prepare it with a wild rice dressing. Do we have any cayenne pepper in the kitchen?
Jim| Merry Christmas Dwight.
Dwight| Jim.
Jim| Wow. What have we got here?
Dwight| What does it look like?
Jim| Dead goose.
Dwight| And circle gets the square.
Jim| All right.
Dwight|  So can you watch this? Im gonna get my carving knife out of the trunk.
Toby| Oh, Dwight, we talked about this.
Dwight| No, Toby, this is different. Hes already dead.
Dwight| Once I brought in a duck. To prepare for lunch. And people got upset. Apparently, they got attached to the duck and didnt want to see it killed.
Dwight| He was already dead. And we Schrutes use every part of the goose. The meat has a delicious, smoky, rich flavor. Plus you can use the molten goose grease and save it in the refrigerator, thus saving you a trip to the store for a can of expensive goose grease.
Jim| Wow. Win-Win.
Dwight| Exactly. Thank you, Jim.
Phyllis| I like goose. If its already dead is it so crazy we eat it?
Creed| Thats crazy. Its crazy.
Toby| Dwight, you cannot keep that here.
Dwight| Ok, that is ridiculous. And totally against the spirit of Christmas.
Toby| Come on Dwight. We went over this, like for a half an hour.
Dwight| Its Christmas Toby.
Toby| Its a dead animal in an office. You cant...
Dwight| Toby...
Toby| Im sorry.
Dwight|  Please? Please?
Toby| Clean it in your car.
Pam| I would like it off my desk.
Dwight| Oh Pam. Take a chill pill.
Michael|  Deck the halls with boughs of holly. Fa la la la la la la la la.  Tis the ... ack.  Hey!  I would like a nice slice of Christmas Pam. Side of candied Pams. And perhaps, some Pam-chops, with mint...
Pam| Can I help you, Michael?
Michael| Im looking for the toy drive box.
Pam| Its behind you.
Michael| OK...  Well, I need to put this bike in there. I hope itll fit, with all these little knickknacks.
Jim| Wow. What kind of bike is that?
Michael| Umm... I dont know? Average kind?
Kevin| The tires look pretty worn.
Michael| Well, that is probably from the test drive.
Jim| But the paints chipping. Is that your old bike, Michael?
Michael| No.
Andy| Yo, Michael, sweet ride Mike.
Michael| Oh, thanks.
Pam| Michael?
Michael| Yes?  Oh Pam, that is so sweet. You didnt have to do that.
Pam|  I didnt, its from corporate.
Michael| OK. Did everybody get one of these?
Pam| Yup.
Michael| Terrific. Good.
Michael| This is going to be the best Christmas ever. My girlfriend Carol is coming to our party tonight, and I have a little surprise for her.  Ive got two tickets to paradise! Pack your bags, were leaving the day-after-tomorrow! Um,  taking her to Sandals, Jamaica, all-inclusive. All-inclusive. You know what that means? Right? Yeah.
Jim|  Oh, I think youre supposed to put a toy
in| the box, Creed.
Creed| And a happy holiday to you.
Jim|   Carol.
Carol| Hi, is Michael around here?
Michael| There she is. A Christmas Carol. Hello  Youre about five hours early to the party. Youre such a blonde.
Carol| Michael.
