Michael|  Jim, could you come in here please?
Harvey| Hi, Jim.
Jim| Hello.
Harvey| I am Harvey, a computer. Jim sucks.
Michael| Sorry, oh wow, thats so rude. Im sorry, I cant control him.
Jim| Yeah, you can.
Michael| You know what? Get Pam.
Jim| For this?
Michael| Pam.
Harvey| Pam, you look very hot today.
Jim| Pam, meet Harvey. This is Michaels new friend.
Pam| Great.
Harvey| Me so horny. Me love you long tim.
Michael| Oh, that is gross.
Pam| Who is Long Tim?
Michael| Damn it.
Harvey| Long time. Me lobe yoy long time.
Jim| Oh well, Yoy should bring in Long Tim in one day. Shouldnt he?
Pam| I would love to meet Long Tim.
Jim| Yeah. Right?
Pam| Yeah. 
Harvey| You ruined a funny joke, you. Get out of my offive. 
Jim| Ok.
Pam| Ok. Bye Harvey.
Harvey| Boobs.
Kevin| Angela.
Angela| What?
Kevin| That was a voicemail that corporate left last night. They did not get our tax forms. Did you send them?
Angela| They arrived this morning.
Kevin| Are you sure? It is a big deal.
Angela| Is it a big deal? Is it Kevin?
Kevin| ... Do you really not know? Because it is a big deal.
Andy| Five of us transferred from Stamford. There are two of us left. Me and Karen. Its like we are touring Willy Wonkas Chocolate Factory and dropping off one by one. Well, guess what? I am not falling in a chocolate river.
Angela|  Everything ok? 
Dwight| Everything is fine. You are in the clear.
Angela| Thank you.  I... I dont want those.
Michael| Dwight, care to join us, finally? Thank you.
Andy| Hey Dwight, pass the tardy sauce. Get it Michael?
Michael| Yes. Ok, here is the dream team. My sales dream team. Today we are going to team up for sales calls. Andy, since this was your idea, you get to pick first.
Andy| Hmmm, well... let me think about this for a minute. Oh, I dont know. Michael Scott.
Michael| Oh.
Andy| Ph. D. Doctor of Sales.
Michael| Well, I appreciate that. That is very gracious of you. 
Andy| Well, it is very gracious of you to accept. 
Michael| Well, thank you sir. Ok, now going by seniority. Phyllis, our resident senior.
Phyllis| Were the same age and Ill pick... Karen.
Karen| Oh, uh, thanks.
Michael| Good. Next up, Superfly himself, Stanley.
Stanley| Pass.
Michael| You cant pass. Youve got to pick somebody.
Stanley| ... Ill take the kid.
Ryan| I am very flattered. I was his second choice after "Pass."
Michael| So that just leaves Dwight and Jim. 
Dwight| Ok, wait. Does anyone want to trade?
Jim| Yup. Ill trade. 
Jim| Dwight and I used to go on sales calls all the time. In fact, I have a picture to remember that time. Oh young Jim. There is just so much I need to warn you about. And yet, tragically, I cannot. 
Andy| Sebring by Chrysler. Heck of a... motor... carriage. 
Michael| Dwight?
Dwight| Yup?
Michael| Here ya go. 
Dwight| Yeah! You want shirts on hangers?
Michael| Please.
Andy| He does your laundry?
Michael| Long story. All right everybody, circle up. Here we go. You know what this is? This is the "Amazing Race."  And you guys are the retired marines.  And you guys are the mother and daughter.  And you guys are the gay couple. And we are the firefighter heroes. Are we ready to go?
Karen| Wait, "Amazing Race" like, the biggest sale wins?
Michael| No, were just going to rush out, do the sales thing, and come back. 
Ryan| Is there a prize?
Michael| Just bragging rights.
Phyllis| Then how is this "Amazing Race"?
Michael| Its just... brrrrrr... Its "Amazing Race," Phyllis. Okay? Were in teams of two and we are on a mission. All right, so, on your mark, get set, go. Lets do it.
Dwight| Come on!!
Phyllis| Michael. 
Michael| Whoah, whoah. Oh hahahaha. Vamanos!
Andy| Bueno.
Phyllis| Do you have a pole?
Karen| Lets go get a broom.
Jim| Seriously? Youre going to sit in the back?
Dwight| Uh, yeah. Its the safest part of the car. In the event of a crash, the driver always protects his side of the car first. 
Michael| Here we go. 
Andy| In order to take down Dwight, I have to chip away at his ally, which, in this case, is Michael. Heres the good news. Every success Ive ever had at my job or with the lady-folk has come from my ability to slowly and painfully wear someone down. 
Andy| Whats the deal with Dwight doing your laundry?
Michael| Ugh... that is a long story. Um, couple of months ago, Dwight tried to go behind my back with Jan and get my job and I am now having him do my laundry as punishment. 
Andy| Wow, that is a long story, but quite well told, Michael. I find it very interesting. Especially about the part Dwight going behind your back and basically, like, being a terrible person. You know if you want your laundry done right? I used to work at Abercrombie. So, pretty good folder. 
Angela| Hey Pam. Would you like to go with me to grab a coffee?
Pam| Really?
Angela| Yeah, I could use some fresh air. Might be fun. 
Pam| Ok. Sure. 
Angela| Ok. 
Karen| Why are we turning in here, this is a beauty salon? 
Phyllis| Um-hmmm.
Ryan| Hey, do you mind if I take the lead on this one and then you can critique me after? 
Stanley| You want the lead?
Ryan| Yeah, if you dont mind. 
Stanley| Mind? Nothing would delight me more.
Dwight| Leave the keys.
Jim| You still do that thing?
Dwight| Leave the keys!
Andy| I think you have assembled an amazing team at Scranton. Its really a pleasure to be a part of it. Its like, everyone has their own special skill, you know, just like the Superfriends. Except for Dwight, who is more like a SuperDud. I mean, he would be a Superfriend if there was a Superfriend whose super power was always being late. You know? 
Michael| Hawkman.
Andy| My plan is taking longer than I thought but I dont give up easily. I have walked two marathons. 
Michael|  Lets go. The mens room was disgusting. 
Jim| After you sir. 
Dwight| No thank you, I never let anyone walk behind me. Seven out of ten attacks are from the rear. 
Jim| Ok, well, that still leaves a 30% chance that I will attack you from the front. 
Dwight| Uh, yeah, but it will be easier to stop. I can always block the blow. I can counter it with... 
