Michael| Hello son.  If youre watching this, that means Im already dead.  Life is a road---
Dwight| How do you know its going to be a boy?
Michael| How, would you stop interrupting please?
Michael| Yesterday I was scraping some gunk off my wall sockets with a metal fork and I gave myself the nastiest shock.  And when I came to, I had an epiphery.  Life is precious.  And if I die I want my son to know the dealio.  The dealio of life.
Michael| Here are some things that I want to teach you that your mother wont be able to.  
Michael| To jump start a car, first pop the hood.  Then you take these bad boys and clip them anywhere on the engine.  Then you take these and clip them wherever.   
Dwight| 
Michael| Number eight, learn how to take off a womans bra.
Pam| What?
Michael| We will demonstrate on Pam.
Pam| No.  No. 
Michael| Come on.
Michael|  You just twist your hand until something breaks.
Dwight| Ow.
Michael| Well you get the picture.  Thanks Pam.
Michael| And remember no matter what, I will always love you.
Dwight| What if hes a murderer?
Michael| Hes not going to be a murderer.
Dwight| Maybe thats how you die.
Michael| You know what, Dwight, do you want to do this, or no?
Dwight| I want to do this.
Michael| Okay.  From the top.  Ready?  Three-
Dwight| Action.
Michael| Hello everyone!  As you know, we are six days away from Phyllis wedding.   So get your suits to the dry cleaner and get your hair did.  And Karen, um, you might want to invest in a dress or a skirt of some kind if you dont already have one.  This may be Phyllis only wedding ever.  It is my job to ensure that none of you look like ragamuffins.  So I am instituting prima nocta.
Jim| Prima nocta, I believe from the movie Braveheart, and confirmed on wikipedia, is when the king got to deflower every new bride on her wedding night.  So...
Michael| Im sorry.  I had a very different understanding as to what prima nocta meant.
Michael| Im trying to get everyone excited about Phyllis wedding because I want her to get people excited about my wedding when the time comes.  Which wont be hard, because its going to be awesome.  A lot better than hers, thats for sure.  Itll probably be on a boat.
Michael| Whats up spinsters?  
Angela| Nothing.  You know this is a luncheon shower.  Girls only.
Michael| No problem.  The guys are having a little shindig of their own in the warehouse.  From 230 to 315.  It is the only time that Bob was available.  Sort of a guys night out.  A G-N-O if you will.  A Gah-No.  Actually, its more of a guys afternoon in.  A G-A-I.  A gay.  Not- not- its uh, not gay, its just a, its a bridal shower for guys.  A guy shower.  An hour long shower with guys.  
Karen| I guess Jim and I have had a little bit of a rough patch for the past couple weeks but we had some really good talks and actually now I think that were better than ever.
Jim| Karen and I had a long talk last night and the night before that and uh, every night, for the last five nights.  
Pam| Somethings up with Jim and Karen.  Not that Ive been eavesdropping.  Its not really any of my business, but Ive gotten pretty good at reading the back of Jims neck.
Packer| Halpert!  Tall, queer, handsome as ever.  Hey everybody its me, Jim.  Hello, hello.  Todd Packer.
Karen| Karen Fillipelli.  Jims girlfriend.
Packer| Shut up!  
Karen| Yep.
