Jim| Damn, lost another file. Going to have to reboot. Again.  Hey, Dwight, do you want an Altoid?
Dwight| What do you think?
Jim| In school, we learned about this scientist who trained dogs to salivate at the sound of a bell by feeding them whenever a bell rang. For the last couple of weeks Ive been conducting a similar experiment.
Jim|  Dwight, want an Altoid?
Dwight| Okay.
Jim|  Altoid?
Dwight| Sure
Jim|  Mint Dwight?
Dwight| Inbwit? Yes.
Dwight|  
Jim| What are you doing?
Dwight| I... 
Jim| What?
Dwight| I dont know. My mouth tastes so bad all of a sudden. 
Michael| Always the bridesmaids, right ladies?
Photographer| Okay, for this next one everyone hop out. Just Phyllis and Dad. Actually, lets bring Mom back in. And the sisters. And you, and you, and you. Great.
Michael| Phyllis is getting married. And I am in the wedding party. She has asked me to push her fathers wheelchair down the aisle. So, basically, I am co-giving away the bride. Since I pay her salary it is like Im paying for the wedding. Which Im happy to do. Its a big day for Phyllis. But its an even bigger day for me. Employer of the bride.
Phyllis| Yes, I put Michael in my wedding. It was the only way I could think to get six weeks off for my honeymoon. No one else has ever gotten six weeks before.
Pam| Phyllis... ended up using the exact same invitations as Roy and me. So it was kind of like being invited to my own wedding. And I was like Wait, thought I called that off.
Jim| So whats in the box?
Stanley| A toaster, you?
Karen| A toaster.
Stanley| Unbelievable.
Dwight| Hello, Angela.
Angela|  Hi, Dwight.
Dwight| You look as beautiful as the Queen of England.
Angela| Thank you. Dont linger. Break left. Left!
Dwight| The Shrutes have their own traditions.   We usually marry standing in our own graves. Makes the funerals very romantic, but the weddings are a bleak affair.
Jim| Those flowers are nice.
Karen| Yeah. P and R?
Jim| Phyllis and Robert.
Karen| Ah, of course.
Pam| Also, Pam and Roy.
Michael| There she is. I swear Phyllis you are as beautiful as the first day you started work at Dunder Mifflin.
Phyllis| Thanks, Michael. Thats sweet. Same as when you said it outside.
Michael| How you doin? You excited.
Phyllis| Yes, very.
Michael| Me, too. If you need to vomit, that is ok. I did. Do you want to talk about tonight?
Phyllis| No.
Michael| Youre probably worried about pleasing Bob. A lot of pressure. Phyllis, did you break wind? Its okay, if you did. Its a very natural reaction. Its your wedding. And youre nervous... 
Phyllis| That wasnt me.
Michael| Okay... umm... Im sure that Bob... Wow. That is... that is pungent. I lost my train of thought. Aaah... Are you set on that hairstyle?
Phyllis| I thought it was... 
Michael| Here, let me... 
Phyllis| Michael... No.
Michael| Just cover up that bald patch.
Phyllis| I dont need your... thank you. No, Michael please... I just need some time alone.
Michael| Okay.
Michael| You might be surprised to learn that Ive only been to one other wedding. Its actually a very cute story. My Mom was marrying Jeff. And they asked me to be ring bearer. I was understandably emotional and somehow my pants became wet.
Michael|  I hate you!
Michael| Long story short Jeffs dog ended up as ring bearer. And the irony is that after the ceremony that dog peed on everything and nobody said boo.
Dwight| Why are all these people here? There are too many people on this Earth. We need a new plague. Who are all these people?
Jim| You know what? I bet a lot of them are wedding crashers.
Dwight| No way.
Jim| Did you ever see that movie?
Dwight| Of course I saw it.
Dwight|  I saw Wedding Crashers accidentally. I bought a ticket for Grizzly Man and went into the wrong theatre. After an hour, I figured I was in the wrong theatre, but I kept waiting. Thats the thing about bear attacks, they come when you least expect it.
Jim| You know I just wish, I wish, I had the investigative powers to smoke some of these guys out.
Dwight| Once again, Jim, I will take care of this. I will locate the wedding crashers and report them to Phyllis. That way I wont have to get her a gift.
Kevin|  Hi. Im Kevin.  Where did you find her?
Toby| At the gym.
Kevin| Riiight. The gym. 
Kelly| Could you scoot over? Youre on my dress.
Meredith| I thought youre not supposed to wear white to a wedding.
Kelly| I know but there was an emergency.
Kelly| I look 
really| good in white.
Michael| This strappy young lad sitting here is Phyllis father, Albert, and he is quite the ladies man, arent you Albert, hah? Ah, ringbearer. I could have done better. I will do better. I am going to be better. I cant believe Im actually doing this! Ooh! Are you ready for this, Albert? I am. Lets do it.
Pam| Thats my dress.
Michael|  Thats ok. 
Dwight| Its a miracle.
Crowd| 
Michael| This is bull****!
Michael| Me walking Phyllis down the aisle was supposed to be the highlight of the wedding. And now... the wedding has no highlight.
Michael| I cant believe I pushed that... that guys lazy ass around all day... until he was ready to stand up and steal the show. Thats... well... I got news for you, Albert. If thats your real name. The shows not over.
Priest| And do you, Phyllis, take Bob Vance, Vance Refrigeration, to be your lawfully wedded husband?
Phyllis| I do.
Michael| Ladies and Gentlemen, may I present to you for the first time as a couple, Mr. and Mrs. Bob Vance!
Priest| And do you, Bob... 
