Michael| Can you confirm that the straps are tight?
Dwight| Yes. But this  seems to be...
Michael| And now, the chains.
Michael| A lot of people think that magic camp is just for kids. And thats why so many other people in my class were kids. Self fulfilling prophecy. Its um, its really for anybody with a dream and a belief in magic and a little extra time after school.
Michael| MAGIC MAGIC Magic Magic magic magic... And now, Michael the Magic, will attempt to escape from extreme bondage.  Can he do it? I dont see how he can.
Dwight| I know how. Dislocate his shoulder and slip his arm out from underneath.
Michael| No. No. Everyone, now count down with me. THREE!
Jim| Sorry, quick thing. Is it true that if you cant get out, you dont want anyone to help you?
Michael| I will get out. Oh yes, I will.
Pam| So we shouldnt help you, no matter how much you might beg and plead?
Michael| No. Alright, this is getting hot. So lets just do this. Ok, ready? Three, two, one, go.
Michael| AHHHH!
Kevin| Is everything ok, Michael?
Michael| Yes.
Michael| I cannot tell you how I plan to escape. Other than by using magic. That is the magicians code. Separately, on an unrelated note, if you happen to find a small brass key...
Michael| Alright.
Dwight|
Michael| Ready? Come on guys. Early worm gets the worm.
Jim| Another worm? Like, are they friends?
Dwight| Its early bird gets the worm.
Michael| Pam, would you smell my breath?
Pam| No, no.
Dwight| Let me smell.  Good, not great.
Michael| "Michael, you go to parties all the time, why is tonight so special?" Well, tonight is so special because my bosss bosss boss, the CFO, not his initials, common mistake, is having a little shindig for all the managers in the company. And Jan and I are going as a couple. For the first time. So its kind of our coming out party. Really. And that is why tonight is so special.
Michael| Jimbo, last chance to carpool.
Jim| Oh no thanks, I think Karen and I will take my car.
Michael| Sure? Might be a good idea.
Jim| Yeah.
Michael| Go in together, could save some gas, have some fun, long trip.
Jim| Thanks.
Michael| Play some games?
Jim| Oh. Um. I think were good.
Michael| I spy?
Jim| Yeah.
Jim| Why dont I wanna go? Didnt expect to need a reason, so let me think here. Um. I dont know any of these people. Its an obligation. I dont like talking paper in my free time, or in my work time. And, did I use the word pointless?
Dwight| Thanks for inviting me along.
Michael| Oh, sure. Really didnt give it any thought. Wait, should you be going?  Heh-woh you.
Jan| Michael?
Michael| Hey, Buttercup.
Jan| Hi.
Michael| I am on my way. I should be there in about 15...
Jan| Lets just blow this party off.
Michael| Thats what she said.
Jan| Am I on speaker phone?
Michael| Uh, yes you are.
Jan| Is anybody else in the...
Dwight| Hello, Jan.
Jan| Hi, Dwight. Ok, Michael, take me off speaker phone.
Michael| No problem.
Jan| Ok. Lets just go to a motel...
Michael| Ok.
Jan| ...and just like rip into each other like we did on that black sand beach in Jamaica.
Michael| Ok. Jan. Jan? This party is actually a really big step for us. So, I...
Jan| Still on speaker?
Michael| Ummm... I dont know.
Jan| Are cameras there?
Michael| Maybe.
Jan| See you soon.
Michael| Ok.
Dwight| Talk to you later, Jan.
Michael| Alright. Bye.
Pam| Hey, Michael left early, so a bunch of us are going to go to Poor Richards for happy hour. You should come.
Roy| I cant. My brother, he just unloaded the jet skis and kinda took a bath, so... were going to go get hammered.
Pam| Ok, well, were going to a bar. Hey. You have to come to stuff with me. Im serious! If youre going to be my boyfriend, you have to do boyfriend things.
Roy| Ok.
Pam| I have decided that Im going to be more honest. Im going to tell people what I want. Directly. So, look out world, cause ol Pammy is getting what she wants. And, dont call me Pammy.
Michael| Beauty. Thank you sir!
Dwight| Salad.
Michael| Thank you.
Dwight| You dressed exactly like the servants.
Michael| Shut up. Ok, change shirts with me.
Dwight| Wait. I dont think yours will fit me.
Michael| I dont care. Oh, wow. Here. Dont put my jacket. Dont give me that.
Dwight| That would have been really embarrassing.
Michael| Yes.
Dwight| Crisis averted.
Michael| Ok.
Pam| Oh, that duck is so cute.
Kevin| Hey Pam.
Pam| Hey guys.
Kevin| Oscar. Angela.
Michael| Hi.
Michael| Actually, its polite to arrive early. And smart. Only really good friends show up early. Ergo de facto. Go to a party really early. Become a really good friend.
Michael| Oh, um, potato salad.
Dwight| Its from both of us.
Michael| No, its not.
Rachel| Wonderful, lets, ah, see where we can put this. Ok.
Michael| Oh, you probably want to leave the cover on until the guests get here.
Michael| Its been sitting in my car all day. Sun beating down on the mayonnaise. Just, you never know.
Pam| Kevin, you and Stacy set a date yet?
Kevin| Yeah.
Kelly| Oh my God, when is it?
Kevin| Its complicated. I would appreciate some space on this.
Roy| Hey.
Pam| Hey. You made it.
Roy| You said it was important, so... Hows it going?
Kenny| Whats up, Pam.
Pam| Hey Kenny, sorry about the jet skis.
Roy| You guys, uh, want a round, on me?
Everyone| Yeah.
Roy| Yeah? Get you a drink.
Kenny| Thanks man.
Angela| No thank you, Roy.
Dwight| Oh, you know that line on the top of the shrimp? Thats feces.
Michael| What are you looking for? You bring dip?
