Karen| So do you want to see it or not?
Jim| I dont know.  Feel like... Friday night crowds...
Karen| Oh my God, youre like, agoraphobic.
Jim| Agoraphobic?
Karen| Yeah.
Jim| Really?
Karen| Yeah!  You would rather sit on your couch and watch a Phillies game, than go out to a movie with your awesome girlfriend.
Jim| Absolutely correct.
Kevin| Later, Jim.
Jim| Kev, have a good weekend.
Karen| Bye.  Ok, so this is whats gonna happen.  Youre gonna suck it up.
Jim| Here we go...
Karen| ...and were gonna go to dinner.
Jim| Ok...
Karen| And then were gonna go to the movies.
Jim| Sounds good.
Roy| Hey Halpert!
Jim| Hey...
Pam| ROY!
Karen|
Pam| Roy dont!
Roy|  Ahh God!
Dwight| Pam, please call security!
Dwight| Everyday, for eight years, I have brought pepper spray into this office to protect myself and my fellow employees.  And everyday, for eight years, people have laughed at me.  Well, whos laughing now?
Michael| No need for consternation, everything is under control.
Jan| Michael, last Friday one of your employees attacked another employee in your office!
Michael| It was a crime of passion, Jan, not a disgruntled employee. Everyone here is extremely gruntled.
Jan|  Is Toby there?
Michael| No...
Toby| Im... here, Jan.
Jan| Ok, what... what is the situation Toby?
Toby| Well, we fired Roy, obviously.  And Jim wont press charges against Roy or the company.
Jan| Thank God.
Toby| Yeah, um, but now apparently Darryl has some issue with his...
Michael| No, he has been wanting a raise for a couple of months and hes just using this Roy thing as leverage.
Jan| All right, well are you gonna take care of this?
Michael| Yeppers.
Jan| What did I tell you about "yeppers?"
Michael| I dont... remember.
Jan| I told you not to say it.  Do you remember that?
Michael| Yeesh...
Pam| I really dont want to talk about it.  I dont mean to be rude, but I just... I dont want to comment on what happened.  It
sucked|.
Jim| I guess... all things considered, I was lucky Dwight was there.  And Roy was lucky that Dwight only used pepper spray.  And not the nunchucks or the throwing stars.
Jim| Hey man, I never got a chance to thank you... for stopping Roy.  Thank you.
Dwight| Thank you not necessary and thus, not accepted.  I saw someone breaking the law and I interceded.
Jim| Okay.  Um... Got you something.
Dwight| Dont want it.
Jim| You dont know what it is.
Dwight| Dont want it.  Wont open it.  Dont need it.  Wont take it.  Citizens do not accept prizes for being citizens.
Jim| It was a little glass display case for his for his bobblehead.  That would have made us even, I think.  He saves my life, I get him a box for his desk toy.  Even Steven.
Dwight| No, dont call me a hero.  Do you know who the real heroes are?  The guys who wake up every morning, and go into their normal jobs, and get a distress call from the commissioner, and take off their glasses and change into capes and fly around fighting crime.  Those are the real heroes.
Oscar| Angela, Roys check.  Hes coming in later to pick it up.
Kevin| Man, I cannot believe I missed the fight.
Oscar| It was crazy.
Angela| You saw it?  Describe it please.
Oscar| Well, I heard some shouting.  And I look over and Roys by reception and you could just tell hes gonna punch somebody.  Jim says something.  Roy stomps over there.  All of the sudden, BAM.  Roy goes down, and Dwights standing there like an action hero.
Angela| Oh...
Oscar| It was insane!
Angela|  Well... good for Dwight.
Michael| Ok I want you to be Darryl and ask me for a raise, because I want to try out some of these negotiation tactics on you.
Jim| Whered you get that?
Michael| Wikipedia.
Michael| Wikipedia... is the best thing ever.  Anyone in the world can write anything they want about any subject, so you know you are getting the best possible information.
Michael| Ok, Darryl, ask me for a raise.
Jim| Hey, Mike.  Since Roy left Ive been doing a lot more work, and I need a raise.
Michael| Hmm, well thats interesting Darryl.  I think...  that maybe you should...
Jim| I cant hear you.
Michael| What Im saying is that,
Jim| Still nothin.
Michael| Ok, see what I did?
Jim| No.
Michael| By leaning back, and by whispering, I established a dominant physical position.
Jim| Nice.
Michael| Ok, lets try another one.  Um...
Jim| Okay.
Michael| Walking out of the room unexpectedly.
Jim| And what happens in this one?
Michael| Its a surprise.
Jim| Okay.
Michael| Go ahead, ask me for a raise.
Jim| Can I have a raise?
Michael|
Jim|  Sex, Steve Martin, Terri Hatcher.
Michael| What?
Jim| What?
Michael| No, what did you say?
Jim| I didnt say anything.  I was waiting to see what happened.
Michael| Oh it... sounded interesting... what you were gonna...
Dwight| I saw the perpetrator advance toward the victim at a high rate of speed.  His head was thrown back, his shoulder and arm cocked indicating an attack position.  Perp grabbed the victim.  I removed my weapon from its secure hiding place.
Toby| Which is where?
Dwight| Irrelevant.  Discharged it at a distance of a little over a meter into the perpetrators eyes, nose, and face area.  Rendering him utterly and completely disabled.  Then I contacted the authorities.  The end.
Toby| Thanks Dwight.
Kelly| That is the bravest thing I have ever heard.
Ryan| I cant imagine what I would have done.
Kelly| I can.  You would have left me to fend for myself.  Like that time we were on the Ferris Wheel and that kid dropped a milk shake on me and you just laughed.
Ryan| Well that was funny, thats why.
Kelly| Oh it was?
Ryan| Mm-hmm.
Kelly| Okay, well the next time that you get scared, that you think a murderers in your apartment in the middle of the night...
Ryan| Okay.
Kelly| ...and you call me, to calm you down...
Ryan| You know what?  I didnt---
Toby| Can you stop...
Kelly| ...you can just call somebody else cause Im not gonna do it anymore, Ryan.  Im not.
Toby| Theres a bunch of people back here, maybe...
Ryan| Well, dont talk to me about calling people in the middle of the night...
Toby| Guys...
Kelly| I call you in the middle of the night to tell you that I love you!
Toby| I dont think Michael intended to punish me, by putting Ryan back here with Kelly.  But, if he did intend that?  Wow.  Genius.
Michael|  Yeah.
Darryl| You ready for me?
Michael| Yes, yeah, absolutely.  Have a seat.
Darryl| Cool.
Michael| You know what?  Actually, lets go into the conference room.
Darryl| Okay.
Michael| No, you know what?  Lets stay here.  No lets go... Yeah lets go to the conference room.
Michael| Tactic number six.  Change the location of the meeting at the last second.  Totally throws em off.
Michael| Number 14, declining to speak first.  Makes them feel uncomfortable, puts you in control.
Michael|  I am declining to speak first.
Darryl| Okay, Ill start.  Its pretty simple really. I uh, I think I deserve a raise.  Im scheduled to get one in six months, but Id like that to be moved up to now.
Michael| Hmm.  Ohh, Darryl.  You are a good worker, and a good man.  I just, you know, times are tight.  And I just dont think corporate is going to go for this right now.
Darryl| Are you wearin lady clothes?
Michael| What?
Darryl| Are you wearin lady clothes?  Those look like lady... pants.
Michael| No, this is a power suit.
Darryl| That theres a womans suit.
Michael|  I do not buy womans clothes.  I would not make that mistake again.
Darryl| Ima call Roy, man.
Michael| Ohh... kay.
Darryl| This is gonna make him feel better.
Michael| All right.
Darryl| This is too good.
Michael| Alright, you know what?  Pam, could you please tell Darryl that this is not a womans suit?
Pam| Oh my God, thats a womans suit!
Kevin| Youre wearing a womans suit?
Michael| No, I do, I, I wear mens suits, OK?  I got this out of a bin.
Michael| There were these huge bins of clothes, and everybody was rifling through them like crazy, and I grabbed one.  And it fit!  So I dont think that this is totally just a womans suit.  At the very least its bisexual.
Kevin| Who makes it?
Michael| Uh,  MISSterious.  And it is mysterious because the buttons are on the wrong side... thats the mystery.
