Andy| Good morning, Pam.
Pam| Oh, welcome back, Andy.
Andy| Drew.  Im Drew now.
Pam| Oh.  Drew.  Sorry.
Andy| Apology not... accepted.  Because it wasnt even necessary in the first place.
Andy| Several weeks ago, Andy Bernard had an incident.  But after five weeks in Anger Management, Im back.  And Ive got a new attitude.  And a new name.  And... a bunch of new techniques for dealing with the grumpies.
Andy| Mornin Jim.
Jim| Hey, Andy.  How are you, man?
Andy| Good.  Drew.
Jim| Whats that?
Andy| Dr--- You can call me Drew.
Jim| No, Im not gonna call you that.
Andy| Cool.  I cant control what you do.  I can only control what
I| do.
Jim| Andy.
Andy| Drew.  Dwight.  Hows it goin man?
Dwight| Yes, I have decided to shun Andy Bernard for the next three years.  Which Im looking forward to.  Its an Amish technique.  Its like slapping someone with silence.  I was shunned from the age of four until my sixth birthday... for not saving the excess oil from a can of tuna.
Dwight| Jim, could you please inform Andy Bernard that he is being shunned.
Jim| Andy, Dwight says welcome back, and he could use a hug.
Dwight| Ok, tell him thats not true.
Jim| Dwight says that he actually doesnt know one single fact about bear attacks.
Andy| You guys...
Dwight| Ok, no.  Jim, tell him that bears can climb faster than they can run.  Jim!  Tell him!
Jim|  Andy!  Nah, thats too far.
Dwight| Damn you.
Michael| Today is Safety Training Day.  Toby is leading ours upstairs.  Yeauck.  But, I am giving everyone a little bit of a treat.  We are going to listen in on Darryls presentation to the warehouse.  And if I know Darryl, it gonna be zoppity.
Darryl| Now, this is the forklift.  You need---  You need a license to operate this machine.  That means the upstairs office workers
cant| drive it. ... Quiz!  Mike.
Michael| Hmm.
Darryl| Should you drive the forklift?
Michael| I can, and I have.
Darryl| No! No no no no no!  I said
should| you.  You should not drive it.  You should not drive the forklift, you understand?
Lonny| Youre not allowed to drive the forklift.
Darryl| Its not safe, you dont have a license.
Michael| Guys, Im not the only one whos driven the forklift.   Pudge has driven the forklift.
Madge| Madge.
Michael| I thought your name was Pudge?
Madge| No, its always been Madge.
Michael| Okay.  Um, her.
Darryl|  Her.  Yes, "her" is qualified to work a dangerous machine.  You are not.  Okay?
Michael| Ah, fine.
Darryl| Do you understand that?
Michael| Yeeesh.
Darryl| We do safety training every year, or after an accident. ... Weve never made it a full year.  This particular time, I was reaching for a supply box on the top shelf, when one office worker, who shall remain nameless, kicked the ladder out from under me and yelled...
Michael|  "Hey Darryl, hows it hangin?!"
Darryl| And I fell and busted my ankle.  Im legitimately scared for my workers.
Darryl| The baler can flatten a car engine.  It can cut off your arm and crush your entire body without skipping a beat.
Dwight| Yeah!
Andy| Its on!
Darryl| How many people a year do you think get their arms cut off in a baler?
Michael| Bailer?  I hardly know her.
Lonny| Dammit, Michael.  Pay attention, man.
Darryl| Anybody wanna take a guess?  Anybody?
Kevin| Five bucks says its over 50.
Jim| You really wanna bet?
Darryl| Anybody?
Kevin| Ever since March Madness ended, I am so bored.
Guy| How many?
Jim| Ok, youre on.
Darryl| Ten people, Michael. Ten people.  Would you like to be one of them?
Kevin|  Damn...
Darryl|  You have to be alert, and calm. And always careful...
Jim| No, dont worry about it.  Well just got double or nothin.
Kevin| On what?
Jim| I dont know, well figure somethin out.
Kevin| Nice.
Oscar| What are you guys talkin about?
Darryl| These are very dangerous machines down here, and the upstairs workers,
Michael|, should not go anywhere near them.
