Jim|  Its kind of blurry.  Thats better.  Question.  What kind of bear is best?
Dwight| Thats a ridiculous question.
Jim| False.  Black bear.
Dwight| Well thats debatable.  There are basically two schools of thought---
Jim| Fact.  Bears eat beets.  Bears.  Beets.  Battlestar Galactica.
Dwight| Bears do not--- What is going on--- What are you doing?!
Jim| Last week, I was in a drug store and I saw these glasses.  Uh, four dollars.  And it only cost me seven dollars to recreate the rest of the ensemble.  And thats a grand total of...  eleven dollars.
Dwight| You know what?  Imitation is the most sincere form of flattery, so I thank you.   Identity theft is not a joke, Jim!  Millions of families suffer every year!
Jim| ... MICHAEL!
Dwight| Oh, thats funny.  MICHAEL!
Pam|  Yes, I understand.  Can I transfer you to customer relations?
Jim|  Absolutely.  I couldnt be more sorry about this.
Phyllis|  I know, I know.  Were all trying to get to the bottom of this.
Stanley|  I am upset.  Dont I sound upset?
Michael|  It is disgusting.  I totally agree.  Well, were going to recalling all of that paper.
Michael| We have a crisis.  Apparently, a disgruntled employee at the paper mill decided that it would be funny to put an obscene watermark on our 24 pound cream butter stock.  Five hundred boxes has gone out, with the image of a beloved cartoon duck, performing...  unspeakable acts upon a certain cartoon mouse that a lot of people like.  Ive never been a fan.
Michael| Everybody in here.  STAT.  No time to lose.  Cri-Man-Squa.  F and C, doubletime.
Dwight| Cri-Man-Squa?
Michael| Crisis Management Squad.
Ryan| F and C, doubletime?
Michael| Front and Center. Twice as fast as you would normally go.  Any other questions?
Jim| One more.  Why are you talking like that?
Michael| To save time, Jim.
Karen| Actually I think you could make the argument that it wastes time.
Pam| Yeah, she has a good point.  I mean, for example, with the last thing you said, by the time you explained it, it actually took up more time.
Michael| You know what? Bluh bluh bluh bluh bluh!  Forget it.  Where is Creed?
Creed| Here.
Michael| Creed.  Quality assurance.  Your job.  I really think you screwed the pooch on one, Creed.  Because of you, the entire company is in jeopardy.
Creed| Every week Im supposed to take four hours and do a quality spot-check at the paper mill.  And of course the one year I blow it off, this happens.
Michael| We have a lot of angry customers out there.  This puts us at threat level midnight.  Accounting, you are on customer service duty today.
