Michael| Ughh... Blech.
Dwight| OK, where does it hurt?
Michael| Just... all over. I dont want to do anything... Im dying...
Dwight| No, thats not how it works. You have to point to a specific part of the body.
Michael| Right there.
Dwight|  "Abdomen. Menses."
Michael| Maybe.
Dwight| "The uterus contracts after your egg passes through it."
Michael| Not it. I dont have eggs.
Pam| About 40 times a year, Michael gets really sick, but has no symptoms. Dwight is always gravely concerned.
Dwight| Oh, is it possible you ate food that contained animal waste?
Michael| Thats possible.
Pam| Michael?
Michael| Uh-huh?
Pam| David Wallace is on line one.
Michael| The CFO? Ohh...
Michael| OK, everybody out. Out. Out. Out. OK.
Michael| To what do I owe this great honor, David Wallace?
David|  Michael, I am calling---
Michael| And Gromit.  Jan? Is Jan there?
David| Jan is out of town right now.
Michael| Oh, you sigh like Jan. I broke Jans heart, David, and it was awful. It was... It was never my intention to ruin a life. But you know what? Sometimes...
David| Michael?
Michael| ...you just gots to get your freak on.
David| Michael?
Michael| Yeah.
David| Michael?
Michael| Hmmm.
David| I am calling to see if you can come down and interview for a job we have opening in corporate.
Michael| Really?
David| Week from today. Bring your first quarter stats and your recommendation for who would take over the Scranton Branch.
Michael| Wow. I wish I had prepared something to say.
David| Thats not necessary.
Michael| May God guide you in your quest.
David| Yes.
Michael| OK, everybody have their towels and swim suits? We have about an hour and half.  I suggest that you all go potty now and then we will be congregating on the partay bus.
Meredith| Oh Im excited. Today is Beach Day! And Michael is taking the whole office to the beach. So Im wearing my bathing suit underneath my shirt [lifts up shirt, definitely
not| wearing anything underneath] Oh, yeah... I packed it in my purse.
Michael| Oscar, you brought your Speedo, I assume?
Oscar| I dont wear a Speedo, Michael.
Michael| Well, you cant swim in leather pants.  Im just yankin your chain.  Not literally.
Toby| Anybody need sun block? Got SPF 30.
Michael| Oh, you know what? Uh, youre not going.
Toby| Its Beach Day...
Michael| Yeah, I know. Im sorry, Toby. We... um... Somebody has to stay here.
Michael| I want today to be a beautiful memory... that the staff and I share after I have passed on to New York. And if Toby is a part of it... then itll suck.
Toby| Hey, want my sun screen?
Pam| Oh, great. I forgot mine and Im wearing a two piece.
Toby| Uh-huh.
Pam| Thanks Toby.
Michael| Hey Pam, I have a very important job for you
Pam| I thought we were just having fun at the beach.
