Michael|  David!
David|  Oh, Michael?
Michael| Are we all set?
David| Isnt our interview tomorrow?
Michael| Yes. I just happened to be in the neighborhood, thought Id drop in and say hello.
David| You happened to be in mid-town Mahattan?
Michael| Thought Id catch a show.
David| In the middle of a work day?
Michael| Naaah. You know what? Since Im here, let me ask you a few questions about the job.
David| Okay.
Michael| Um, how many people are you interviewing?
David| Were only interviewing the branch managers and some other upper level company people.
Michael| Ah, well, good. Out of curiosity are you interviewing anyone who has been here longer than I have, or manages more people?
David| I dont think so.
Michael| Great. One more... question. When you merged those branches who did you put in charge?
David| I believe we put you in charge.
Michael| Ah, great. No further questions.
David| Okay, Michael.
Michael| Okay.
David| Im really looking forward to our interview.
Michael| And Im really looking forward to working with you.
Michael| I got it made in the shade. I know this company. The other branch managers are total morons.  Hey, Pam yeah, I forgot what day the interview was and I drove to New York accidentially. Ill be like three hours late.
Kevin|  Hey.
Jim| Hey, Kev.
Kevin| Whats different about you? You look worse.
Jim| Thank you.
Meredith| You got a haircut. Its sexy, hot.
Jim| Ohhh...
Meredith| Turn around.
Jim| No.
Meredith| Yes.
Jim| No way.
Meredith| Do it!
Andy| Blup-dup-do. Whats up, Big Haircut? You are no longer Big Tuna. From henceforth, you shall be known as Big Haircut.
Jim|  Andy...
Andy| What is it, Big Haircut?
Jim| Nothing.
Andy| Sorry, I cant hear you Big Haircut.
Jim| Yup.
Andy| What?
Jim| Karen suggested that I get a haircut for the interview tomorrow so that I could look presentable and not, as she so lovingly puts it, homeless.
Pam| Hey. I think it looks great.
Jim| Thanks, Pam.
Pam| After I had my little outburst at the beach, Jim was really nice about it. He just basically said that he missed my friendship too and I would always mean a lot to him and I understand where hes coming from.  For the record, I am not embarassed at all. It needed to be said, and I said it, and it only took me three years to summons the courage, so  thank you.
Michael|  Yeah.
Dwight| You wanted to see me?
Michael| Yes, the time has come to name my own replacement. So please hand this letter of congratulations to Dwight K. Schrute.
Dwight| But thats my name.  Dwight, congratuations a-wipe.  Dont screw the pooch.   Thank you.
Michael| Okay. Uh...
Dwight|  Thank you, Michael.
Michael| Uh, okay.
Dwight|  Thank you so much.
Michael| Stop crying.
Dwight|  Thank you.
Michael| Ohhhhh...
Pam| Hey.
Karen| Hey.
Pam| Um, about the beach...
Karen| Its okay, we all say things without thinking.
Pam| Oh, no its not that, Ive actually been thinking that for a long time, and Im glad I said it. I just... Im sorry if it made you feel weird.
Karen|  Oh. Okay.
Karen| Pam is... kind of a bitch.
Karen| Hey, what if we leave tonight? Grab a bite, get a hotel room, enjoy the city a little bit.
Jim| Ahhh... just have so much paperwork to do.  Wow. Done. Okay, lets do it.
Jim| So I was wondering if Karen and I could get off a few hours early cause we want to spend the night in the city.
Michael| Why so you can do it?
Karen|
Jim| Whoops.
Michael| No, um, well I was thinking that uh, actually we could all leave tomorrow and do a convoy you know?  Convoys are really fun.  Pull up next to each other, give each other the finger...
Jim| Hmmm.
Karen| Heh.
Michael| Moon each other.
Jim| Ah, were gonna go tonight, but were gonna see you there tomorrow morning, right?
Michael| All right.
Jim| All right.
Michael| Your loss.
Karen| Wait, how would you moon us if you were driving?
Michael| Cruise control.
Karen| Oh.
Kevin| So Jim, who do you think is hotter? Pam or Karen?
Jim| Yeah, Im not going to talk about this now.
Kevin| Pam is taller.
Jim| You sure?
Kevin| Yes. She has bigger breasts, too.
Jim| Wow.
Kevin| I think Karen has a prettier face.
Jim| Uh, hmm.  Uh, hmm. What else?
Kevin| Well I mean Pams face is really pretty too. Its a very tough call.
Jim| Hm. Really tough call.
Kevin| Yeah.
Jim| You know what? Why dont you take the rest of the day, figure it out and then come back and tell me what you got.
Kevin| Will do.
Jim| All right.
Oscar| Hey, Pam Ive been meaning to say something to you.  I really miss our friendship.
Pam| Wow, very funny.
Stanley| Ive never heard you talk that much. I thought it was Kelly.
Kelly| Are you kidding? I would have never done that. It was pathetic-ville. No offense, Pam.
Pam|
Meredith| You know what? Dont even worry about it. Everyone was so drunk, I bet no one even remembers what you said.
Creed| I remember. I blogged the whole thing.
Creed| www.creedthoughts.gov.www/creedthoughts. Check it out.
Ryan| Last year Creed asked me how to set up a blog. Wanting to protect the world from being exposed to Creeds brain I opened up a Word document on his computer and put an address at the top. Ive read some of it. Even for the intranet its... pretty shocking.
Michael| There they are, the Accounting Department. I shall miss your humility and your promptly printed checks.
Kevin| Do you think its gonna to be weird working with Jan in New York?
Michael| No. Not at all. I havent talked to Jan since we broke up, and I think if she had something to say she would have called me.
Oscar| Maybe you should talk to her? Before...
Michael| No, no, no. You know what? Its a done deal. I basically have the job already. Theres nothing she can do to stop it now. I already sold my condo.
Oscar| Michael...
Kevin| What?
Angela| Why?
Oscar| Im sorry, that just doesnt make sense.
Michael| Yes, I...
Angela| Wha? Who gave you that advice?
Kevin| Yeah, Michael you should never sell your condo...
Michael| I have to buy another place.
Angela| But you said you were in debt.
Oscar| Youre not sure that you have the job.
Michael| I sold it on eBay. The buyer was very motivated, as was I. It went for eighty percent of what I paid.  Sold in record time.
Dwight| How would you like to spend the night with the Regional Manager of Dunder-Mifflin, Scranton?
Angela| No Dwight, I dont care if that is how they consolidated power in ancient Rome.
Dwight| No, no, not Michael.  Me. Im taking his job.
Angela|  Not now.  Goodbye, Kelly Kapoor.
Dwight|  Jim, Jim, Jim.  Jim, Jim, Jim, Jim, Jim, Jim, Jim.
Jim| Oh hey, Dwight.
Dwight| I am gonna be your new boss.  Its my greatest dream come true.  Welcome to the Hotel Hell.  Check in time is now.  Check out time is never.
Jim| Does my room have cable?
Dwight| No. And the sheets are made of fire.
Jim| Can I change rooms?
Dwight| Sorry, were all booked up. Hell convention in town.
Jim| Can I have a late checkout?
Dwight| Ill have to talk to the manager.
Jim| Youre not the manager even in your own fantasy?
Dwight| Im the owner.  The co-owner. With Satan!
Jim| Okay, just so I understand it, in your wildest fantasy you are in Hell and you are co-running a bed and breakfast with the devil?
Dwight| Yeah, but I havent told you my salary yet.
Jim| Go.
Dwight| Eighty thousand dollars a year.
Dwight| Once Im officially Regional Manager my first order of business will be to demote Jim Halpert. So I will need a new number two.  My ideal choice? Jack Bauer. But he is unavailable. Fictional. And overqualified.
Andy|  I will see you at the inter-view.
Dwight| Yes you will.
Michael| Who is D. Abramson?
Pam| Hes from that company in Pitts...
Jan|  Michael.
Michael| Why... are you here?
Jan| Uh, how are you?
Michael| Im good. How are you, Janet? Its good to see you.
Jan| Im great. Uh, can we, can we talk... privately... for a minute?
Michael| Why privately?
Jan| I just,  I uh... I dont uh... I, I dont, I dont like the way that we left things.
Michael| Okay, sure, fine. Um, why dont you wait in my office. I have some important business matters to take care of.
Jan| Okay.
Michael| Okay.
Michael| Pam, Defcon ten. Houston, we have a problem.
Pam| What do you want me to do?
Michael| Uh, I may need some immediate assistance. If you would slowly and quietly gather the ladies in the conference room. Phyllis, Angela, Karen.
Pam| What about Meredith?
Michael| No. Shes an alternate.
Michael| So, how you been?
Jan| Been good.
Michael| Good.
Jan| Good.
Michael| Yeah.
Jan| Sorry to drop by unexpectedly. I uh, I tried calling, but I kept getting voice mail.
Michael| Weird. Yeah, I didnt get both of your messages.
Pam| So, um, Michael needs us in the conference room.
Karen| Cause of Jan again?
Karen| Hey, uh, before I leave tonight, would you mind making a half a dozen copies of Jims and my sales reports for our interviews tomorrow?
Pam| Uh, sure.
Karen| Thanks.
Pam| I really hope you get the job.
Karen| Thanks.
Jan| After you ended... everything with us, I went on a vacation.
Michael| Hmm.
Jan| To kinda clear my mind.
Michael| Sound good. Sounds fun.
