Michael| Ok, well I did not get the job in New York, but I got the real prize, domestic bliss. Jan made me breakfast this morning... well she bought the milk. Its soy.  This is why I do it, thats what I have to come home to.  She probably wont be up for a few hours.
Michael| This is going to be a very good year. Very good. Jan is at home. Jim is back. My protege Ryan is at corporate. Good stuff. Um... Andy and Dwight are rockin the sales team. I feel very blessed.
IT Tech Guy| You know generally its not a good idea to click on offers that you havent requested. What was the exact offer?
Pam| It was for a video.
IT Tech Guy| Yeah, what kind of video?
Pam| A celebrity sex tape.
Jim| Really, what kind of celebrity?
Pam| Not relevant.
Jim| How much did you pay for it?
Pam| Not relevant.
Jim| You paid for it?
Pam| It all happened so fast.
Jim| I broke up with Karen after the job interview, and uh... it was a little awkward when she came back from the city. She told me, very clearly, just because we were broken up didnt mean she was going anywhere, because she worked really hard for her career. But the next day her desk was empty, and as for me and my current romantic life, I uh... Im single now and looking, so if you know anybody.
Pam| Jim and I went to dinner a few times when he got back from New York. I talked him through his break up. Its really nice to be good friends again.
Kevin| Are you kidding me, Pam and Jim are totally hooking up. All they do is smile; theyre just keeping it a secret. Right?
Oscar| I dont know, there is no evidence of intimacy. Theyve been in remarkably good moods. It could be other things.
Kevin| Are you kidding me?
Pam| And Sunday Im thinking of going to that flea-market at the drive-in.
Jim| Oh that sounds fun. Im mountain biking on Sunday. On Montage Mountain.
Pam| Cool.
Jim| Yeah.
Pam| Well have fun with that.
Michael| Ladies and Gentlemen. I have some bad news. Meredith was hit by a car.
Jim| What?
Dwight| Where?
Michael| It happened this morning in the parking lot. I took her to the hospital, and the doctors tried to save her life. They did the best that they could... And she is going to be OK.
Stanley| What is wrong with you? Why did you have to phrase it like that?
Oscar| So shes really going to be fine?
Michael| Yes. She has a slight pelvical fracture, but, ah... people have survived far worse.
Pam| Thank God you were there.
Michael| Yeah.
Andy| Did you see who did it?
Dwight| No need we can just check the security tapes.
Michael| Gah. Kind of a good news bad news there. I was able to be on the scene so quickly because I was in the car that hit her.
Jim| Who was driving?
Pam| Oh, Michael.
Jim| One day Michael came in complaining about a speed bump on the highway. I wonder who he ran over then.
Dwight| Its only Meredith.
Michael| Yeah, its only Meredith, thank God. But did you see the way they looked at me? Like I was a murderer or something.
Dwight| Hey... Why did you do it?
Michael| It was an accident.
Dwight| Was she talkin back?
Michael| No.
Dwight| Did you get sick of that face? Did she owe you money? Uh-oh. Is this downsizing? Did she spurn your advances?
Pam| Hey guys, were all gonna visit Meredith at lunch. And were kicking in $5 for flowers.
Kevin| Whos we, you and Jim?
Pam| No, uh, me Stanley and Phyllis so far.
Kevin| Oh, I bet Jim goes too.
Pam| Yeah, I havent asked him yet.
Kevin| Oh, I bet you ask?
Pam| I was planning on it.
Kevin| I bet you were.
Pam| Angela?
Oscar|  Subtle.
Kevin| What
Pam|  Are you coming?
Angela| I cant, Sprinkles is sick.
Angela| Shes been sick for some time. Thank you for asking, no one asks... about Sprinkles.
Angela| I have to give her her meds, I have to pet her, and who will she eat lunch with?
Pam| Cant your other cats keep her company.
Angela| Theres bad blood, jealousies, cliques.
Pam| Angela, youre the chairman of the party planning committee. I shouldnt even be planning this, its your job.
Angela|  All right!
Michael| My lord my liege.
Ryan| Yes Michael?
Michael| So Ryan got promoted to corporate, where he is a little fish in a big pond. Whereas back here in Scranton I am still top dog, in a fairly large pond. So who is the real boss? The dog or a fish?
Michael| So I need a little treat for the gang. Something to win their affections back.
Ryan| Back? Why is that Michael?
Michael| Well, I ran down Meredith in my car.
Ryan| Oh! Did you do this on purpose?
Michael| No, I was being negligent. But shes in the hospital, shes fine, recovering nicely. Tiny little crack in her pelvis. But she will be up in...
Ryan| Did this happen on company property?
Michael| Yes. It was on company property, with company property, so... double jeopardy, we are fine.
Ryan| I dont think you understand how jeopardy works.
Michael| Oh, right, Im sorry. What is we are fine?
Ryan|
Ryan| People keep calling me a "Wunderkind"; I dont even know what that means. I mean, I know what it means, it means very successful for your age, so I guess it makes sense, but... its a weird word.
Angela| Hey D.
Dwight| Hey monkey, whats up?
Angela| Can you do me a little favor? Go to my place at lunch and give Sprinkles her medicine.
Dwight| Sure.
Angela| I have to visit the alchy.
Dwight| Check to see if shes faking. If a car hit me, it wouldnt crack my pelvis. You know what; I bet she cracked it at home. Jumped in front of the car to get some workers comp.
Angela| I wouldnt put it past her.
Dwight| So what do you need me to do?
Angela| I wrote it out.
Dwight| Mm-hmm.
