Pam| Hey.
Jim| Hey.
Pam| I gotcha one.
Jim| Oh wow, thank you.
Pam| Yeah.
Jim| Im just gonna grab some chips, you want some?
Pam| No. Thanks... uh were still having lunch today, right?
Jim| I guess.  How dare you.
Michael| Hey Toby. Whats this?
Toby| Ohh.
Michael|  I just want to remind everyone about the company rules involving PDA or public displays of affection.
Toby| Yes, uh some people in the office have complained...
Michael| Oh really.
Toby| ...about some other people engaging in PDA and, you know  I just wanted to remind its not appropriate to, to do that.
Michael| Is this about me and Jan? In my office? Because I will have you know that that was consensual. What we did has nothing to do with you or anyone here. I dont think. I dont think anyone heard anything. We were very discreet and, and most people had left by that point. So I dont think its any of your business. What I think you should do is roll up the memo, real tight...
Toby| Ok, look the memo is not about you...
Angela|  For the record, I have never been involved with anyone at work, in any capacity.
Toby| Alright everyone, look, it, alright my complaint was about Jim and Pam. So...
Michael|  No way.
Dwight| What?
Phyllis| You guys are together?
Jim| Ummm... yup. Yes, we are.
Michael| Woooah! Wow!
Andy| Tuna!
Michael| Awesome!
Kevin| I knew it!
Michael| You guys! Yes! Yes!
Pam| Toby, was this your fun little way of congratulating us?
Toby| Yes.
Michael| Oh kay, mind is exploding. Get over here.  Come on. Come here. Okay, okay,  stand up.  OK, here we go.  Everyone, this is a day that will live in infamy. Because today, is the day that Jim and Pam become one.
Jim| Actually, weve been dating for a couple months.
Michael| I love you guys, so much.
Jim| Ohh..
Pam| Phones ringing.
Michael| No, no, no Pam let em ring. Let the bells of Dunder Mifflin chime out your love. Because this is  really good, this is really good. My heart soars with the eagles nest.
Dwight| I dont see it. I think they both could do better.
Angela| Its not a surprise to me. Pam is the office mattress.
Andy| Jim Halperts off the market. Guess who just became the best looking single guy in the office?
Michael| Hey. Can you make that straighter? Thats what she said.
Phyllis| Did you plan it?
Michael| No.
Pam|  Can you make that straighter? That job looks hard. You should put your mouth on that. How can you even use that one naturally?
Michael| Blowing up balloons I thought.
Pam| You might want to trim it a little.
Phyllis| Michael...
Kelly|  Oh, is... Ryan coming back today?
Pam| Yeah, he is.
Kelly| Oh.
Michael| Pam and Jim are together. Ryan is visiting. Only thing that could make this day better is ice cream.
Angela| What do you want?
Dwight| To give you this .
Angela| Oh, what is that?
Dwight| Its a feral barn cat. I trapped him last night and Im giving him to you as a replacement cat for the one I destroyed.
Angela| Her name was Sprinkles.
Dwight| And his name is... Garbage. Mose calls him Garbage because he likes to eat garbage.  Dont you Garbage?
