Michael| And the same thing goes for quarterly reports.  They are unreadable.  Theyre just numbers and boring and blech.  So what I was thinking is that maybe we should have some sort of graphic, like if we have a bad quarter, put in a storm cloud? And... when we have a good quarter, fireworks? Or a racecar?  Doesnt have to be a racecar.  Use your imagination.
Jim| Theres this cube on the screen, and it bounces around all day, and sometimes it looks like its heading right into the corner of the screen, and at the last minute it hits a wall and bounces away.  And we are all just dying to see it go right into the corner.  Pam claims that she saw it one day when she was alone in the conference room. Okay.  I believe she thinks she saw it.
Pam|  I saw it.  I saw it, and it was amazing!  Who said I didnt see it?  Did Jim say that I didnt see it? I saw it!
Michael|  We have a lot of colored paper here... why oh why do we keep printing this on white?
Andy|  Dah!  Come on!
Michael|  Yeah!  I know.  I know.  Its bland.
Oscar|  Its never gonna happen.
Kevin|  Dude, you gotta believe.
Michael| Maybe, we could have some sort of riddle?
Jim|   Wait for it.
Michael| Like, something that you have to look for.  Sort of a "Wheres Waldo."
Everyone|  Oh! Yes!
Michael|  Alright. Alright.  Lets quit while were ahead.
Kevin|  That was so awesome.
Michael|  That was awesome. Thank you.
Michael|  Some days I am just on fire.  What can I say?
Meredith|  Hey... there he is.
Jim| Hey Meredith, how you feelin?
Meredith|  I never thanked you for coming to the hospital.
Jim| Oh, please, it was my pleasure.  Well we all came, so...
Meredith|  Well, I really appreciate you coming. Im singling you ouuuut.
Jim| Haha...
Meredith|  Anyway, I have this Sharpie...
Jim| Uh-huh.
Meredith|  And I was wondering if you could sign my cast?
Jim|  MmmHmm...
Meredith|  Can you write where I can read it?
Jim|  Oh yeah.
Meredith|  Ill read this when I get home.
Jim|  Alright...
Pam|  Michael? This is the press release I was telling you about.  Ryan wants you to share it with everyone.
Michael|  Oh, does he?
Pam| He does.
Michael|  Mmmmmm.  Okay.  Attention.  Earthlings.  I have some news.  Beep beep beep beep, beep beep beep beep beep, beep beep beep beep beep, beep beep beep beep beep, beep beep beep beep.  Okay.  Today is the big day that I am heading to New York to attend a party with sushi and important people.  On an unrelated note, if anyone has an interesting anectdote that is not boring and easy to memorize please drop by my office before I leave.  Thank you.
Jim|  Whoops.  Is that really what Ryan wanted you to tell us?
Michael|  And... today the Dunder-Mifflin Infinity website officially launches.
Michael|  Well the website is the brain-child of my brain-child, Ryan.  It is my brain-grandchild. And, uh, to celebrate its birth, all of the different branches are going to have satellite parties, which will be connected via web-cams and fibers to the real party, which is going on in New York City at uh, a very exclusive nightclub, and that is where all of the VIPs, including yours truly, will be partying with uh New York Citys finest, and I do not mean policemen...
Michael|  The company is projecting record high sales, and that by 600 the website will be the new best salesman in the company.  Wow!  Watch out Dwight.
Dwight|  Thats ridiculous.  Im not going to be beaten by a website.
Jim|  Actually it sounds like you are.
Dwight|  Really?  Cause Ryan says so?
Kelly| If thats from Ryan, does it mention if hes seeing anybody?
Michael|  No.  It doesnt.  Ill find out tonight.
Stanley|  Yes, please let us know.
Dwight|  I can make more sales than a computer.  In fact, I challenge that website to make more sales than me today.
Angela|  Waste of time.
Michael|  Whats that, pipsqueak?
Angela|  Waste of time.  The websites going to win.
Dwight|  You believe a computer can beat me?
Angela|  I dont care, but yes.
Dwight|  Well I will prove you wrong.
Angela|  I dont care, and you wont.
Dwight|  Well see.
Angela|  I wont be watching, and I wont.
Pam|  Dwight mercy killed Angelas cat.  Its very complicated.  Its caused a lot of unpleasantness between Dwight and Angela.  Who are both already prone to unpleasantness.
Phyllis|  Stanley, youre dancing!
Stanley|  No Im not.
Ryan|  Yeah.  I created a website.  Look, at the end of the day, apples apples flying at 30,000 feet.  This is a paper company and I dont want us to get lost in the weeds or into a beauty contest.
Voice of Thomas Dean|  I told you I dont want you doing these things in here.  You can use your own office or do it in the hall.
Ryan|  Convergence.  Viral marketing.  Were going guerrilla.  Were takin it to the streets while keeping an eye on the street.  Wall Street.  I dont want to reinvent the wheel here.  In other words, it is what it is.  Buyin paper just became fun.
Andy|  And this is where I will record your sales.
Dwight|  Hmm.  Very nice.  Very nice.
Andy|  And then I will say something positive, like kudos or job well done.
Jim| Or zipadeedoodaah.
Andy|  I cant tell if hes mocking me.
Dwight|  Just ignore him.
Andy|  Ehh, cant do that.  Really hard for me to let things go.
Jim|  I was... mocking.
Andy|  Thank you.
Dwight|  I just feel like we need something more to acknowledge when I make a sale.
Andy| Yes like a chime or a bell...
Jim|  Or a gong.
Dwight|  Go to my car.  Open the trunk.  Inside you will see many pelts.  Under the smallest one is a case.  Inside that case is a bear horn.  Bring it to me.
Andy|  Yes!
Kevin|  Isnt 7 pm a little late for a lunch party?
Angela|  Lunch party?  Its supposed to say launch party!  What is wrong with you?
