Michael| Coat!
Pam| Michael just rented The Devil Wears Prada. He has his NetFlix sent here to the office, and he watches them in pieces when things are slow.
Michael| Steak! Wheres my steeaaak?
Pam| Hes a big Meryl Streep fan, so I shouldnt be surprised that hes identified with her character.
Michael| Get me Armani.
Pam| A suit?
Michael| On the phone.
Pam| Like the main company number? Because Im gonna have to call information.
Michael| Wheres Armani? Hes on the phone. Too slow. You are not going to Paris. Im so much better than you are.
Michael| I owe you an apology.
Pam| You finished the movie.
Michael| Yeah. It was awesome. Big surprise ending. Wont ruin it for you.
Pam| No. Go ahead.
Michael| Meryl Streep is the bad guy. Never see it coming. Anyways, if I was mean in any way to you, I am sorry. I just want whats best for you, Mo Chuisle.
Pam| Mo Chuisle. Hes watching Million Dollar Baby... Hes gonna try to kill me.
Micahel| So this one goes with my eyes and this one goes with your eyes. People have said I have very pretty eyes.
Jan| You do.
Michael| I havent heard the same about you. So lets just go with mine.
Jan| Well, they both go with the carpet Ive ordered, and if you go with the brown leather on the sofas, then they go with that too.
Michael| We already have a sofa. So why do---
Jan| A futons not a sofa.
Michael| It... folds up. Youve only seen it flat.
Jan| I know what a futon is, Michael.
Michael| I--- Ok. How much is this going to cost?
Jan| It costs what it costs.
Michae| No--- dont... that doesnt even mean anything.
Jan| We have gone through this.
Michael| Yes. Money has been a little tight lately. But, at the end of my life, when Im sitting on my yacht, am I gonna be thinking about how much money I have? No. Im going to be thinking about how many friends I have, and my children, and my comedy albums. I mean, I have a yacht, so I obviously did pretty well money wise.
Michael| Its just that you say its gonna cost what it costs---
Pam|  Michael, its Ryan for you.
Jan| Conniving little runt. Put him through.
Michael| Put him through. Yes. Ryan, my man!
Ryan|  I sent you an email about the new Powerpoint.
Michael| Yes, and thank you for sending that to me.
Ryan| I had IT install the updated Powerpoint on the computer so you can use it for the presentation. I really want people there using Powerpoint.
Michael| Okay, yeah, I dunno. I dunno, I think those IT guys messed up.
Ryan| Hold on, Ill get them on the phone.
Michael|  Wait, oh, no, here it is, here it is. Found it.
Jim|  Sure, I can hold.
Dwight|   Dunder Mifflin, Dwight Schrute. Please hold.  Schrute Farms, guten tag. How can I help you? Yes, we have availability on those nights. How many in your party? Oh no, Im sorry, no king beds. No queen either. Well, we make our own mattresses that dont conform to the traditional sizes. Closest would be twin. Thank you so much for calling. Call back again. Aufedersein!
Jim| Hey Dwight.
Dwight| None of your business, Jim.
Jim| Do you run the bed and breakfest?
Dwight| It is not a B and B.
Dwight| Agrotourism is a lot more than a bed and breakfest. It consists of tourists coming to a farm, showing them around, giving them a bed, giving them brekafest.
Jim| Does the Department of Health know about this?
Dwight| Im not telling you anything.  Permits are pending.  Dwight Schrute, Dunder Mifflin.
Pam| Hello, Im looking for a room.
Dwight| Okay, this is a mis-use of company phones.
Pam| It says here you cater to the eldery.
Dwight| Where did you read that?
Pam| Trip Advsior.
Dwight| Trip Advisor is the life blood of the Agrotourism industry. A couple of bad reviews there, you might as well close up shop. Thats what took down the Stalk Inn. One of the cutest little asparagus farms youll ever see.
Dwight| How many in your party?
Pam| Two?
Dwight| We offer tours of the fields, and of the barn. Uh, perhaps youll be interested in, um, Moses table making demonstration?
Jan| So, um, I forgot to tell you that I need the car tonight.
Michael| Oh! Um, actually, I need the car.
Jan| Why? Improv? Why dont you just pretend you have a car? Good practice, incase you ever do a scene where you need to pretend you have a car?
Michael| Use to have two cars, traded em in, now were down to one. Good economic sense. Although the new car is a Porsche. For her.
Dwight| One cardigan, one sleeping cardigan and one sleep apnea mask.
Angela| What about my cherub figurine?
Dwight| You took that with you.
Angela| No I left it on my night table--- your night table, by the lamp.
Dwight| You are incorrect. I was recently scrubbing my room of memories, and I didnt see it there.
Angela| Fine.
Dwight| My girlfriend and I broke up recently. And I must say, I am relieved. Gives me a chance to sow my wild oats. In the Schrute family, we have a tradition, where when the male has sex with another woman, he is rewarded with a bag of wild oats left on his door step by his parents. You can use these oats to make oatmeal, bread, whatever you want. I dont care, theyre your oats.
Kevin| The bar uses an applause meter. That is why its so important that you all come and applaud only for my band. Scrantonicity 2. NOT Scrantonicity, which I am no longer a part of. Michael, can I count on you?
Michael| You can not, I have a thing tonight.
Kevin| Dammit.
Jim| Uh, Michael.
Michael| What?
Jim| That reminds me, uh, if the invitation still stands, Pam and I would love to have dinner tonight.
Michael| Oh no, I have a thing tonight.
Jim| Darn it!
Pam| Shoot!
Michael| How about this weekend?
Jim| No, cant.
Pam| We only had tonight free, and we really wanted to spend it with you.
Michael| Dammit to hell. I-I-ugh, ok. All right.
Jim| Where are you going out tonight?
