Michael| Yeah! Everything! Oh its all good, its all good. Phyllis!
Phyllis| Dancing babies!
Michael| Dancing babies! I love it! I love it!
Michael| We are making a commercial for Dunder Mifflin today. Our first ad ever.  Corporate purchased some air time in local markets to spread the word about Dunder Mifflin Infinity and they are even sending up a professional ad company to help us make it later so... its uh, not too shabby.
Andy| Best ad ever.  Gimme a break, gimme a break, break me off a piece of that... I am totally blanking. What is the thing?
Jim| Nobody tell him!
Andy| What? No, why?
Jim| You got it, youre so close!
Andy|  Break me off a piece of that... huh huh huh... br- applesauce.
Jim| Break me off a piece of that applesauce, I dont think...
Andy| Break me off a piece of that Chrysler car.
Jim| Nope.
Andy| Football cream. Grr!
Michael| Okay, its football cream. Its football cream. Alright! So, anybody else?
Pam| Im taking a computer animation class so I could try to do a logo.
Michael| Look at that. Even the receptionist is getting in on the creativity. Very good, very good.
Michael| Hello hello!
Ad guy 1| Hey, how ya doin?
Michael| Michael Scott.
Ad guy 2| Hey, Michael.
Michael| Regional manager.
Ad guy 2| Hey Michael, nice to meet you
Michael| Excited to talk ideas.
Ad guy 1| Lets do it, man.
Michael| You know, I want this to be cutting edge. I want it to be fast, quick cuts, you know, youthful, sort of a MTV on crack kind of thing.
Ad guy 1| That sounds great.
Michael| All right, good, well this is what we have to work with.
Michael| I would like you to meet Andrew Bernard. The Nard Dog. Who let the Nard Dog out?
Andy| Hoo hoo hoo-hoo!
Michael| He gives the best back rubs in the office.
Andy| Its true, I give a mean backrub. I also do good aromatherapy . Not! You just got Nard dogged!
Michael| Now this gentleman right here is the key to our urban vibe.
Stanley| Urban? I grew up in a small town. What about me seems urban to you?
Michael| Stanley is hilarious. Phyllis is like our Mrs. Butterworth. Kind of a less urban Aunt Jemima.
Michael| These are our accountants. And as you can see they are very different sizes. What you might want to do is kind of a Papa Bear, Mama Bear, Baby Bear thing. That might be kind of fun.
Kevin|  Mama Bear!
Michael| Who else?
Jim| I think its great that the companys making a commercial because not very many people have heard of us. I mean, when I tell people that I work at Dunder Mifflin, they think that we sell mufflers, or muffins, or mittens, or... And frankly all of those sound better than paper, so I let it slide.
Jim| You playing that game again?
Dwight| Second Life is not a game. It is a multi-user virtual environment. It doesnt have points or scores, it doesnt have winners or losers.
Jim| Oh it has losers.
Dwight| I signed up for Second Life about a year ago. Back then my life was so great that I literally wanted a second one. In my Second Life I was also a paper salesman and I was also named Dwight. Absolutely everything was the same. Except I could fly.
Michael|  Little girl in a field holding a flower, we zoom back to find that shes in the desert and the field is an oasis. Zoom back further the desert is a sandbox in the worlds largest resort hotel. Zoom back further the hotel is actually the playground for the worlds largest prison.  But we zoom back further---
Ad guy 1| Okay I can tell that your time is valuable---
Michael| Actually I dont get paid by the hour anymore, but thank you, I get paid by the year, so...
Ad guy 1| That all sounds really, really ambitious.
Michael| Yeah, I know.
Ad guy 1| Why dont we show you what we did with the Nashua branch?
Michael| Mmm. Okay.
Michael| Thats what Nassau came up with? That sucks!  Whoa.
Ad guy 1| Thats what we came up with.
Michael| Well we can do better than that.
Ad guy 2| Well the main part of the ad has to stay the same, actually.
Ad guy 1| Yeah, its the last five seconds where we have some leeway.
Michael| The waving?
Ad guy 1| Well, no, no. You dont have to be waving. That was just what they did. You guys can be clapping. Sitting. Standing outside, inside, whatever. This is where you really get to be creative.
Andy| I need some advice. Ive been spending a lot of time making out with Angela lately. But weve been necking, but only necking.  Right? Not actually kissing, our mouths, just the neck on neck. Its just like rubbing slash nuzzling our necks together. Its hot, Im not going to lie to you , but its a little weird, but you seem like a guy with answers, so how do I fast track this to get to first base?
Dwight| We cannot talk about this... because, someone might hear us.
Andy| Well use code names.
Dwight| Angela can stay the same, but well change Andy to Dwight.
Andy| Thats not different enough.
Dwight| Dwike?
Receptionist| You have a call from Eddie Murphy.
Ryan| Hello?
Michael|  Shrek! Shrek, Im a donkey! Im a donkey, Shrek!  Im just kidding. Its me. Hello Ry.
Ryan| What?
Michael| Okay, calm down. I have a small problem.
Ryan| I told you not to call about small problems.
Michael| Yeah, well when I call about big problems you dont like that either, so make up you mind, kiddo. Here is the deal, the ad guys that you sent are locking me in a creative box, and sort of ignoring my ideas.
Ryan| Thats good. Theyre creative, youre not.
Michael| Im creative, Ryan.
Ryan| Its not part of your job, its like, maybe you can cook but it doesnt mean you should start a restaurant.
Michael| Well actually I cant cook, and I am starting a restaurant. Mikes Cereal Shack. Im thinking well have as many varieties as you can buy in the store.
Ryan| Okay, Im not really interested in that right now. Im delegating creativity to creative professionals. Its a different skills set. Look, I wasnt good at sales, right?
Michael| Yeah!
Ryan| But Im good at managing people who do sales .
Michael| Are you? I dont think youre doing such a good job here, suppressing ideas and creativity.
Michael| All right, let me ask you this, tell me if you think this is creative. When I was five, I imagined that there was such a thing as a unicorn. And this is before I had even heard of one, or seen one. I just drew a picture of a horse that could fly over rainbows, and had a huge spike in its head. And I was five, five years old. Couldnt even talk yet.
Michael| Hey guys, um, you know what, we cannot shoot this ad today.
Ad guy 2| Okay, when should we come back?
Michael|  How about never hundred hours, sir.
Ad guy 2| We were sent here to help out.
Ad guy 1| Okay Im not going to argue with this guy. Lets go. Good luck dude.
Michael| Hey thanks. Thank you.
David Wallace|  Michael, David Wallace.  What is this about dismissing the ad people?
Michael| Yeah, Im glad you called. Ryan is being a little bitch again.
Ryan| Im on Michael.
Michael| Whats up my brotha? Listen, David, I would like to do this ad in house. I want to use only the creativity that we have right here in the office. And I will send it to you tomorrow morning, take a look at it, and if you do not think that its ready to air, send the ad agency back down here, and well do it on my dime.
David Wallace| This is weird.
Michael| Im willing to stake my entire reputation on it.
David Wallace| Okay, Ill see it tomorrow.
Michael| Okay.  And thus, Michael Scott sealed his own destiny. In a good way.
Michael| Has anyone ever come up to you and said, "Youre not creative"?
Dwight| Yes.
Michael| Well theyre wrong. You are creative. You are damn creative. Each and every one of you. You are so much more creative than all of the other dry, boring morons that you work with.
Jim| Who are you talking to, specifically?
Kevin| I kind of know what its like to be in commercials. My nickname in high school used to be Kool-Aid Man.
Oscar| When I was younger I always wanted to be an actor in commercials. Then I realized I had a brain.
Meredith| Im excited about doing the ad, but Im not really used to doing videos with so many people around.
Michael| We have three scenes to film, big scenes. We have a song to write. So lets get cracking. Kelly, I want you to do makeup. Oscar, I would like you to do costume design, obviously.  Phyllis, Id like you look around town and see if we have any celebrities in our local area.
Phyllis|  Sue Grafton is at the Steamtown Mall. Shes doing a book signing right now.
Michael| Okay, okay, Phyllis this is what I want you to do. I want you to go down to the mall. I want you to get in line. I want you to get her to be in this commercial. This would be a huge coupe people. All right? Do not take no for an answer.
Phyllis| Okay.
Andy| Does anyone actually know what Sue Grafton looks like? I mean, is she hot or-?
Creed| Shes crazy hot.
Andy| Well then maybe we should just use Angela and say shes Sue Grafton. Would anyone notice?
Angela| Thats not happening.
Angela| I find the mystery genre disgusting. I hate being titillated.
Phyllis| Bye everyone.
Michael| Line it up Phyllis.
Creed| Get her Phyll.
Darryl|  Out of paper, out of stock, theres friendly faces around the block, break loose from the chains that are causing your pain.
Andy, Creed, Kevin, Kelly, Darryl| Call Michael or Stanley, Jim, Dwight or Creed. Call Andy and Kelly for your business paper needs.
Darryl| Dunder Mifflin.
Andy, Creed, Kevin, Kelly| The people persons paper people.
Darryl| Dunder Mifflin.
Andy, Creed, Kevin, Kelly| The people persons paper people.
Michael| Time out, time out, time out, time out, time out. I thought... I was under the impression that this was going to be a rap.
Darryl| Whats rap?
Michael| Okay, Darryl, wow, you need to learn a lot about your own culture. Ill make you a mix.
Darryl| Great.
