Rolando|  Dunder Mifflin, this is Rolando.  Oh yes, shes been expecting your call.
Karen| Yeah.
Rolando| Karen?  Hes on line one.
Karen| Thanks Ro.  Hey, we finally connected.  Hows Scranton?
Karen| I am the regional manager of Dunder-Mifflin Utica branch.  Turns out its a pretty easy gig when your boss isnt an idiot and your boyfriends not in love with somebody else.
Karen| Look, All Im saying is it would be a great opportunity, and wed love to have you come aboard.  So think about it, okay?  Okay, bye.
Karen| Look, for the record, a certain Scranton salesman approached me, okay?
Michael| This is perfect.
Dwight| He looks like your twin.
Michael| This is a dummy, a la Ferris Buellers Day Off.  We have tied a string to the wrist, which goes to the door.  When somebody opens the door, the hand goes down, hits the remote, turns on the tape recorder, which is me snoring.  Now nobody knows whether I am here, or whether I am gone.
Dwight| I will know.
Michael| But, you will not tell anyone.
Dwight| I wont need to because well be together playing hooky.  Yeah.
Michael| Well, sometimes.  Most of the time I will be with Ryan, or Darryl.    Yes?  Oh good, good Stanley!  First victim, this is what I want you to do.  Go out, come back in.  Were going to hide.  I want you to tell me if this looks like me, okay?
Stanley| I dont understand why sleeping at your desk is better than you not being here.
Michael| Just go out, and come back in.
Stanley| I got an offer from Utica for more money, and Im going to take it.
Michael| What?
Michael| Hey everyone, can I have your attention please?  I just thought you all should know that Stanley Hudson is planning on leaving us, because our old friend Karen from Utica is going to give him more money to work there.
All|
Michael| No, no, no, no, no-no, no no.  You completely misinterpreted my tone, this is a horrible thing.  Clearly, Karen is trying to get back at us because Jim dumped her.
Jim| Oh, I dont think that is whats happening.
Michael| Okay, smarty pants, then why?  Why is she trying to take Stanley from us?
Stanley| I think its because of my sales record.
Michael| That could not possibly be it.
Michael| You cannot take the hilarious black guy from the office.  Stanley is part of what makes this branch so extraordinary.  The bluesy wisdom, the sassy remarks, the crossword puzzles, the smile, those big watery red eyes.  I dont know how George Bush did it when Colin Powell left, and if Utica thinks that they are going to poach Stanley, they have another thing coming.
Michael| How can I get you to stay?
Stanley| Money.
