Oscar| So the figures show improvement right there, Michael. And again-
Michael| Ill call back.
Kevin| You never call back.
Pam| Every time Michaels in a meeting, he makes me come in and give him a Post-It note telling him whos on the phone. I did it once, and he freaked out. He loved it so much. The thing is he doesnt get that many calls. So he has me make them up every 10 minutes.
Michael|  Yeah, um, tell him Ill call him back.
Jan|
Michael| You cant always work 200 days though.
Michael|  Oh, no, no, no, I dont have time for this. Tell him Im in a meeting.
Ryan| You have to know how to work this. Theres no excuse for this.
Michael| Yep.
Ryan| I can get you a tutor if you need-
Michael| Oh. Ah, this is a very important client. But, I have the most important client sitting right in front of me, my boss, so I will call him later.
Ryan| Oh, no, no, no, customer service is obviously priority one. You can take the call.
Michael| N-No, money isnt everything Ryan. And youre my friend, and I dont want to be rude.
Ryan| Take the call, friend.
Michael| I refuse. My house, my rules, I insist.
Ryan| I insist you take your work calls.
Michael| Uh, okay, all right. Pam, would you put the call through?  Hi buddy.
Jan| I dont know, its just, ugh, I never felt welcomed there, you know? Its such a...boys club.
Michael| Yeah, I hate that.
Jan| Good.
Michael| So, heres the deal. Um, I am on my way to New York to be deposed as part of Jans wrongful termination law suit. The company fired her for having the courage to augment her boobs.
Jan| And they displayed a pattern of disrespect and inappropriate behavior.
Michael| Yes, yes. Pat-tern. Patt-ern. My friend Pat took a turn. Thats how I remember that. Could we pull over and put down the top? Im feeling a little queasy.
Jan| Um, no, I want it up. My hair.
Michael| Well-
Jan| Remember, it isnt just a pattern, Its a pattern of disrespect, and inappropriate behavior.
Michael| Disray .My friend Disray got news specs. Disray spect. My friend Inappro drives a Prius with his behind neighbor.
Jan| Does this work for you?
Michael| Yep. Tell them how much youre gonna get if you win.
Jan| Uh, come on Micheal, thats tacky.
Michael| Million dollars!
Jan| Four million.
Michael| Four million dollars! Man that is a lot of guacamole. A lot of the green. Lot of green. That is why I have memorized Jans answers, and I have also thrown in some errs, and ahhs, to make it seem like its not memorized.
Jan| No, Michael. Oh, come on.
Michael| Perfect crime.
Jan| Stop saying ridiculous things. Hes just gonna tell the truth, the truth is-is very...you know, complicated, so we went over it carefully, and-and just so we wouldnt leave anything up to chance or Michaels judgment.
Michael| Could we please pull over and pull down the top, I do not feel good.
Jan| Michael, I told you, I am not putting the top down.
Michael| Im getting car sick! Ugh, Im gonna puke. I think Im gonna throw up.
Jan| All right, fine, just a second. Hold on.
Michael| Hey, Schneider, real quick. What do you call a butt load of lawyers driving off a cliff?
Lester| A good start. And I think its busload.
Michael| Yeah, a bunch of rich lawyers took the bus.  Where did you find this guy? Hey, there he is.
Ryan| Hey Michael.
Michael| Hey hey.
Ryan| Im glad youre here. I actually need to talk to you for a second.
Ryan| Could we talk off the record? As friends?
Michael| I would love that.
Ryan| Jan... has put the company in a very tough position here. Now youve been with us for a long time. Over 10 years, right? We just want to be sure that you wont do anything to hurt us with your testimony. Do you understand?
Michael| Abso-fruitley. Yeah. Ill-Ill do anything for the company.
Ryan| Good. That is great to hear.
Michael| It is.
Darryl|  Game, son!
Jim| All right, lets run it back.
Pam| The warehouse got a ping pong table last week. Now Jim comes down and plays with Darryl. Sometimes I bring him juice. My boyfriend is 12.
Kelly| What has two skinny chicken legs and sucks at ping pong?
Pam| Hi, Kelly.
Kelly| Guess whose boyfriend it is?
Pam| I dont wanna guess.
