Stanley| This is ridiculous.
Phyllis| Do you have any idea what time well get out of here?
Michael| Nobody likes to work late, least of all me.  Do you have plans tonight?
Jim| Nope I dont, remember when you told us not to make plans cause were working.
Michael| Yes I remember. Mmm, this is B.S. This is B.S. Why are we here? I am going to call corporate. Enough is enough, Im - God, Im so mad!  This is Michael Scott, Scranton, well we dont want to work. No we dont! Its not fair to these people. These people are my friends and I care about them! Were not going to do it!  Everybody I just got off the horn with corporate and basically I told them where they could stick their little overtime assignment. Go enjoy your Friday.
Dwight| Thank you Michael.
Michael| All right, happy Friday.  Well I think we dodged a bullet there.
Jim| I think you did.
Michael| I think we should celebrate. How about you, Pam, mi casa, a little dinner, dancing, drinks?
Jim| Oh, I-
Michael| You said you didnt have plans. Thats what you said.
Jim| Michael has asked Pam and me to dinner at least 9 times. And every time weve been able to get out of it. But Ive got to give him credit, he got me. Because Im starting to suspect that there was no assignment from corporate.
Dwight| Michael, what time should I be arriving?
Michael| Dwight, its couples only. And besides, I only have six wine glasses, so it will be me and Jan, and Pam and Jim, and Angela and Andy.
Andy| Hey-o!
Dwight| Does it bother me that I wasnt invited to Michaels dinner party?
Jan| Hi.
Michael| Hello.
Jim| Hi.
Jan| How are you?
Michael| Come on in. Good to see you.
Jan| Chilly huh? So glad we finally got to do this with you guys. You wanna take their coats babe?
Michael| Yes I would. So, what have you been doing?
Jim| Lets see, since I saw you an hour ago?
Michael| Yeah.
Jim| I have been getting ready and then driving over here.
Michael| Well we have been doing pretty much the same thing.
Jim| Really?
Michael| Except driving.
Pam| We got you this.
Jan| Oh well Pam, thank you, this will be great to cook with.
Michael| Well have a seat, or come on in, or, I dont know, make yourself to home. This is our casa.
Pam| Its really nice.
Jan| So what do you guys think, should we do the tour first or the appetizers first?
Jim| Tour, lets do the tour first.
Michael| Okay.
Jan| Do you have a preference babe? Upstairs first?
Michael| Totally your call babe.
Jan| Alright, well, lets go then, I say upstairs.
Jim| Oh, you guys doing a little construction?
Michael| Oh, just redoing the sliding glass door.
Jan| Yeah, so sorry about this God-awful carpet, were still a work in progress here.
Michael| Well, thats...
Jan| This is my office.
Michael| Yep, never been used.
Jan| Not super exciting.
Michael| No.
Jan| And this is my workspace.
Michael| This is it, check that out, can you smell that?
Pam| Uh-huh.
Michael| As you can smell theres a lot of different odors going on in here.
