Pam| W.B. Jones is renovating their offices and their construction crews are taking up some of the parking spaces we used to get.
Jim| So we had to park at a satellite parking lot over there.
Pam| Which just means we get to see more of our lovely street. Tell them what we saw today Jim.
Jim| Oh today, we saw a junk yard dog attacking the bones of a rotisserie chicken.
Pam| Nature.
Oscar| Been here nine years. Now all of a sudden Im supposed to park half a mile away.
Andy| I lost a penny out of my loafers, Oscar.
Kevin|  I will quit. As God as my witness, I will quit if this is not fixed.
Pam| Some of us like the walk more than others.
Kevin|  Hurts like hell.
Pam|  Did you pick a new chair? Its been awhile.
Michael| Pam, when I first opened this catalog, I thought I was just going to be picking out a chair.
Pam| But instead, you found something to distract you from ever picking out a chair.
Pam| Michael started the process of selecting a new chair about three weeks ago. And normally I wouldnt care, but he promised me his old one. Its way better. Its one of these.  I really want it.
Michael|  Have you ever seen this woman?
Pam| Her?
Michael| Hmm...
Pam| The one in the really great mesh black high-back swivel chair?
Michael| Look at her smile. Those eyes, look at her eyes. Shes got - I dont know what it is actually, she dresses like a professional and yet you know there is a side of her that could just curl up on a couch.
Pam| Or in a great chair.
Michael| Oh, yeah, maybe, but remember after my dinner party when I said that I was swearing off women?
Pam| I definitely remember your dinner party.
Michael| I think what I meant was that I was completely swearing off one woman.  Jan. I think that fate put this catalog in my hands.
Pam| Actually, I put the catalog in your hands cause you have to pick out a new chair.
Michael| What is it like being single? I like it. I like starting each day with a sense of possibility. And Im optimistic because every day I get a little more desperate and desperate situations yield the quickest results.
Michael| Ladies and gentleman, would you please open your supply catalogs and kindly turn to page 85.
Creed|  Yo, is this his new chair?
Pam|  No, he hasnt picked one yet.
Creed|  Daat!
Creed| When Pam gets Michaels old chair, I get Pams old chair. Then Ill have two chairs. Only one to go.
Michael| I am ready to start dating again. Getting back on the market. So, FYI, for those of you who are thinking about fixing me up with any of your friends, use the woman on page 85 as a template. That will be all.
Andy| I left my cell phone in my car.
Phyllis| Call us when you get there so we know youre OK.
Michael|  Listen man, I am completely over Jan, so, would you set me up?
Kevin| If I had someone to set you up with Michael, then Id take her for myself.
Michael| I thought that you were engaged?
Kevin| Nope. Stacy broke up with me.
Michael| Whaaaat? God, thats terrible man. Eghh, shes crazy. Umm, are you still on good terms with any of her friends?
Kevin| Not anymore.
Michael| Oh...
Kevin| Its a bitter situation.
Michael| Yeah... ugh. Shes...  you dont deserve her. Alright.
Michael|  Oh hello Oscar Mayer Weiner lover. I bet that you have a bunch of very liberal girl type friends that trust you implicitly because they know youd never touch em, because of your condition. Umm...
Phyllis| Michael?
Michael| What?
Phyllis| I have a friend whos single.
Michael| Oh.
Phyllis| Sandy. Shes gorgeous and shes got a feisty personality, too.
Michael| Hmm, I see, feisty. So shes not jolly or sassy? Not like a jolly, sassy opera singer?
Phyllis| Umm, no, shes a professional softball player.
Michael| Oooo. Catcher or in field?
Phyllis| Umm I dont know Michael.
Michael| Is she a dress wearer or a pants wearer? Could we share a row boat? Could, could a row boat support her?
Phyllis| What are you asking?
Michael| I think Im being very clear what Im asking. Would an average size row boat support her without capsizing?  It bothers me that youre not answering the question.
Phyllis| No, alright no, she cant fit in a row boat.
Michael| Damn it, I knew it! I knew it Phyllis! OK!
Michael| What is wrong with these people? I would do anything for them and theyre just hanging me out to dry.
Michael| Dating shouldnt be hard for somebody like me, but it is and you know why? Because nobody here is willing to help me. Nothing would ever get done in this office without a formal request, would it? Well, fine. Here goes.
Angela| I dont think that this is---
