Pam| Whats wrong Michael?
Michael| I got gum in my hair.
Pam| You do.
Michael| This just stinks. Dont touch it, please dont touch it.
Dwight| Youve got a ton of dandruff.
Michael| OK, let me be.
Jim| Howd you get gum in your hair?
Michael| I was walking in and I noticed something shinny under Stanleys car and I got under to see what it was and I messed up my hair, all for a stupid piece of tinfoil.
Jim| But best case scenario, you thought it was a quarter.
Michael| Kill me... right now.
Pam| We have peanut butter in the kitchen.
Michael| I dont feel like peanut butter. Get me an ice cream sandwich.
Jim| Nope. Not for you its for your hair, and it is 9 am.
Pam| No Dwight, not the good peanut butter. People are going to get mad.
Michael| Hey, hey, hey. This is my hair were talking about.
Michael| Smells good.
Dwight| Taste good too.
Michael| Oh dont. Thats disgusting.
Dwight| Wow! Lot of calories.
Michael| Well just dont leave it on too long. Keep massaging please. Ah yeah, thats nice.
Dwight| Hey Michael, how was your date last night?
Michael|
Michael|  I will be honest; the dating has not been going well. Look, men are visual creatures. We crave beauty, like a piece of fine art by any number of renowned artists, or an arty photograph of Cindy Crawford nude... that, but the women Im getting fixed up with are, egh! Not that they arent nice, or that have great personalities, they just... They just lack a certain... Crawfordness.
Oscar| I am livid, Absolutely livid.
Angela| Its ridiculous.
Ryan| Yes, Im having the Scranton branch come in on one Saturday so they can re-enter sales that they made on the phone as sales that were made by the website which they should have done in the first place, if the website had been working.
Ryan| My favorite branch. Hows everybody doing?
Jim| Hey man, you mind if I run something by you?
Ryan| Love it. Go.
Jim| Well, I kinda feel like what we have going for us is our customer service, and no matter how we change this up, I dont know that a websites going to be able to replace that.
Ryan| I can tell you thought about this a lot, I appreciate that.
Jim| Thanks.
Ryan| David Wallace does too. You told him all about this at the Christmas party, right?
Jim| Did I? I dont...
Ryan| You did. Yeah.
Jim| Hmm.
Ryan| Watch your back Jim. Im just kidding.
Michael| Ladies and Gentlemen, may I have your attention please. I know that a lot of you are very angry with Ryan because he is the reason we all have to come in tomorrow, however, I swear to God, If any of you hurts him in any way emotionally or taunts him or makes fun of his height or his half beard or...
Ryan| Ok thanks Michael.
Michael| Yeah.
Ryan| Im here today to do some creative problem solving about Dunder Mifflin Infinity and field your questions.
Dwight| Question.
Ryan| Dwight.
Dwight| Why am I being forced to come in tomorrow and pretend that a website made sales that I made?
Ryan| This is a temporary measure to increase the legitimacy of the site.
Stanley| I dont like when my clients call me to help them use the website, Im not seeing commissions on that.
Ryan| I hear you Stanley, that is a great observation. Problems like that will not happen when we launch Dunder Mifflin Infinity 2 point O.
Stanley| When will that be?
Ryan| TBD. Phyllis?
Phyllis| Did the police solve the problem with the...
Ryan| Yes, yes they did, yes they did.
Ryan| Yes, the social networking feature of the Dunder Mifflin Infinity website was infiltrated by sexual predators.
Dwight| I dont understand why our website has to have social networking at all.
Jim|  Yeah, I actually have to agree with Dwight on that one.
