Michael| Everybody! Everybody! Listen up, I need your ideas, now! Ideas please, right now! Go! Go! Come on!
Pam| Michael we dont know what youre talking about...
Michael| Wet cement, outside. Its drying fast, come on. This is a lifelong dream. What do I write? What do I write?
Kevin| Michael you could put your initials in it.
Michael| M.G.S.? No. Some idiot named Mark Greg Sputnik will claim credit for it. I dont...
Jim| Yeah thats true.
Michael| Once in a lifetime opportunity people! Come on, here we go!
Phyllis| We-- we--
Michael| Here we go!
Phyllis| Well--
Michael| Lets, yes?
Phyllis| When I was a little girl...
Michael| Okay... Okay, do it! Go on! Great! Lets hear it!
Phyllis| We-we found some wet cement in the park...
Michael| Its drying, its drying...
Phyllis| In our neighborhood...
Michael| Alright, hablbelah, come on, Phyl!
Phyllis| What did we write?
Michael| Ahh come on!
Andy| Here it is, you should draw a picture...
Michael| No!
Andy| Cause that says, that says...
Michael| No!
Andy| So much more than words...
Michael| No!! Come on, gimme something good!
Kelly| Ok, ok, I was watching E!, and I saw Will Smith outside the Chinese Theater, and omhmygod, he looked so good...
Michael| Pam, translate.
Pam| Shes talking about the handprints that celebrities make in the cement.
Michael| I love it!
Jim| If you were a real star you would put your face in it.
Michael| I love it more!
Oscar| Michael that doesnt seem... safe.
Michael| I... love it!! Haha, come on!
Dwight| Come on!
Jim| We are here today, not to immortalize a man, but an idea... Maybe the idea of a man.
Michael|  Hurry, please.
Jim| Greatness is only skin deep, some people say...
Dwight| Can you breathe?
Jim| Well thats not true. Other people believe its deeper inside...
Dwight| Hold your breath.
Jim| And in this case...
Dwight| Ready?
Jim| Thats also not true.
Dwight| And... go.  Force it in as deep as you can.
Michael|  Thats what she said.
Michael| Today is a very special day for me. And its really not about me, its about my grandkids, its about my great grandkids... I can come back here when Im 100, and I can find that piece of cement and say, "Thats me. Look kids, your daddy left that face hole..." I dunno, its a good feeling.
Andy|  Okay, adjective...
Angela| Um... tall. No, no, uh, nice.
Andy| Good one. Okay, you ready?
Angela| Mmhmm.
Andy|  The tall man entered the nice building to visit a very nice man. "Sit down, Mr. Smith, can I interest you in any good... cat food?"
Angela|  Its a man eating cat food.
Andy| What about a cat eating man food?
Dwight| Andy and Angela seem very happy... I hope nothing horrible ever happens to them.
Pam|  Um... yeah, I slept over at a, uh, friends house and, I forgot my contact solution, so... I had to wear my backup glasses... Shut up.
Michael| All right, everybody... Oh my God, Pam, those make you look so ugly. Um, Pam, in order to get hotter, you take the glasses off. Youre moving in the wrong direction...
Pam| I dont have my contacts...
Michael| Ub, dub dah, dont need, I cant even hear you. Its just noise coming out of an ugly scientist. Um, everybody, were going to have a little brainstorming session in the conference room.
Michael| Ener-gize...
Jim| You know what would energize me? If you, Pamela Morgan Beesly...
Pam| Dont, dont--
Jim| Would...
Pam| If you propose to me during a Michael meeting, I will say no.
Jim| Well, its too late, because Im proposing... that you get me a cup of coffee, which would energize me greatly, and make me the happiest man in the world.
Michael| Everybody, so how are we going to energize our office? I mean, I havent done anything since Christmas. Pam, clearly, has just given up trying. So what we need to do is we get things going, we need to get percolating a little bit. Anybody have any ideas of what we could do. Any suggestions? Yes, Andy?
Andy| What if we changed our outgoing answering machine message, so it just had a little more... zing, and a little more pep?
Michael| Zing and pep, see thats those are the kind of words were looking for. Yes, Jim?
Jim| What about if we did an even newer voicemail message that had even more zing and pep?
Michael| Now were cooking. I like this. Maybe a whole theme, like a rap. A rap rhyme...
Jim| An urban thing...
Michael| An urban, yeah, Stanley? You wanna help us out with that?... Stanley, earth to Stanley...
Stanley| Not me.
Michael| Yes you. Come on, Stanley, put your little game down and join the group.
Stanley| No.
Michael| Stanley, were havin a little...
Stanley| Leave me alone, dammit.
Michael| Were havin a little brainstorm session...
Stanley| DID I STUTTER?
Michael| ...Good, this is good. Im going to grab a glass of water.
Toby| Can I talk to you a second?
Michael| Ugh, what?
Toby| Uh, I really think that you need to address what happened with Stanley this morning...
Michael| What are you blabbering about? Nothing happened.
Toby| Well, you know, Stanley was openly insubordinate.
Michael| That? In the conference room?
Toby| Yeah.
