Dwight|  Hello, this is Dwight Schrute.  Hello?
Jim|  Hello, this is Dwight.
Dwight| Hello? Hello?
Jim| Yes, we do have that. Hold on one second...
Dwight| Jim, what are you doing?
Jim| And how many would you like?
Dwight| Uh, uh, hang that up right now. Ha-
Jim| Absolutely. We can get that out to you immediately.
Dwight|  This man is an imposter! Do not do business with him! This is not Dwight Schrute!
Jim| Dwight left his cell phone on his desk. So, naturally, I paired it to my headset.
Dwight|  K, fine. Ill just let it go to voicemail.
Jim|  Hello, this is Dwight.
Pam| Hey, is this Dwight?
Jim| Yes it is.
Pam| Oh my goodness, you sound sexy.
Jim| Oh, thank you. Ive been working out.
Dwight| Woah, woah, woah, Pam!
Pam| Have you?
Dwight| Pam! You are not talking to Dwight right now. You are talking to Jim.
Pam| Dwight?
Dwight| No!  Pam, Im over here!
Pam| Im confused...
Dwight| Disconnect that right now. You give me your earpiece.
Jim| Cant do that. Unsanitary.
Dwight| Ugh! Okay, you know what? Fine. I will reprogram my phone to go to my office phone.  Done.
Jim|  This is Dwight.
Jim| Oh, and I forwarded his desk phone to mine.
Jim| Oh, hello Mater. Good news Ive married. Tell Fater.  Such a nice woman.
Dwight|  Argh! Ahh!!
Michael| Today is Toby Flendersons last day. I couldnt sleep last night. I came extra-early. So much energy... There are certain days you know you know you will remember for the rest of your life, and I just have a feeling that today is one of those days.
Toby| Morning.
Michael| Mornin.  So here we go, just a matter of hours now, until his horribleness has left the building. Im going to set my watch alarm... And...
Toby| Good morning, Kelly.
Kelly| I cant believe this is your last day. How do you feel?
Toby| Fine. Good.
Kelly| I feel weird.
Michael| First thing on the agenda-actually, the only thing on the agenda, is the status of Tobys going away party.
Angela| We have a buttercream cake and a slideshow of Toby.
Michael| Okay.
Angela| But so far we only have two pictures of him.
Michael| Okay, well, this will not do. Toby is going away forever, and uh, we need to do something very very special. In some cultures, when somebody leaves, like New Orleans culture, they have a parade and they have a band and people party in the streets...
Pam| Do you mean, leaves as in dies? You want us to throw Toby a New Orleans funeral?
Michael| If the Devil were to explode, and evil were gone forever, what sort of party would you have?
Angela| Michael...
Michael| Like a beach blowout? Or a toga, toga-
Angela| No. You know-no!
Michael| Toga!
Angela| You always do this! We have a nice, modest party planned, and then you come in and demand the world. Let me be clear. There is simply no money for anything other than a cake and to develop a few more slides... although Toby wont be in them.
Michael| I thought that you might say that.
Michael| Every year, my sweet, sweet grandmother sends me a check on my birthday for fifty dollars. And lately, she has been sending me, like nine or ten checks a year... uh, as Nana starts to... but, I knew I should be saving it for something, I just didnt know what I should be saving it for. And then I had an awakening. "Michael, buy a motorcycle." So I put the money in my shoe, and then I forgot about it until now.
Michael| I want a party that makes me feel like I am flying through the air without this... ugly weight holding me down, you know?... I want an antigravity machine. I saw it in a movie. You drink a potion, and then you just start floating all around.
Pam| So how much antigravity potion do you want?
Angela| No! No! You know what? This is not a party-planning committee anymore! And I dont want your foot money, and I feel uncomfortable participating.
Michael| Phyllis, can you do this?
Phyllis|  Yes.
Pam| Hi, can I help you?
Holly| Hi. Yes, uh, Im Holly Flax. I was told to ask for a Mr. Flenderson?
Toby| As part of my last day Im training the new Human Resources rep in the ways of the company. Again, the company has allotted for this training-one day.
Toby| So this is H.R. This is your desk.
Holly| I love the view.
Toby| Yeah, its great, isnt it?
Pam| Hey.
Jim| Hey... What?
Pam| Guess who just got into the Pratt School of Design.
Jim| No way! What did I say? I said that theyd love those sketches. Congratulations!
Pam| Oh, thank you! I dont know why I doubted it, because Im so clearly awesome!
Jim| Yes! So when do you start?
Pam| I dont know, I didnt read it carefully, I just saw "congratulations" and I skimmed the list, I saw my name, I came in here to tell you and get a snack.
Jim| Wow. Busy morning.
Pam| So, you know it means I have to go to New York for three months...
Jim| Its not a big deal. Ill come visit you. And youll visit me. Its only two hours away. Itll be fine. That parts gonna suck, but itll be great.
Pam| Yeah, it sucks, but itll be great.
Jim| See how easy that is?
Pam| Ohh...
Pam| I wouldnt go if things werent so solid with Jim. And down the road, if we have a family, I couldnt go then either. So, the timings perfect... And that is the first time Ive ever used the word "perfect" in here!
Toby| Hey, Stanley...
Stanley| Hmm?
Toby| I want to introduce you to...
Michael|  Tobys replacement. Ugh. Wow.
Dwight| So what do we know about her?
Michael| Well, we know that Toby thinks shell be great. So, strike one, I hate her already.
Dwight| I hate her too.
Michael| Why do you hate her?
Dwight| Because she... stinks... with her... ways... and her... head.
Michael| You know, Dwight, sometimes... I dont know, I think you say things just to agree with me.
Dwight| Would that be such a bad thing?
Michael| Yeah! It would! Just have a thought. Have an original thought. Although, I will agree that her head is weird. You know what we need to do?
Dwight| What?
Michael| We need to sell her an elevator pass.
Dwight| But our, our elevator doesnt require a pa...
Michael| Exactly. A little old-fashioned hazing.
Phyllis| Hi. Are there any local companies that rent antigravity machines?
Woman over speakerphone| Antigravity machines?
Phyllis| Thats right. Yeah.
Woman over speakerphone| What do they do exactly?
Phyllis| They make you feel lighter...
Woman over speakerphone| Antigravity... Um... Anti...depressants? I could put you through to someone on that.
Phyllis| Okay.
Michael|  Yeah.
Toby| Hey Michael.
Michael| Oh, hey, do you still work here?
Toby| Id like to introduce you to my replacement.
Michael| Nah.
Toby| Come on.
Michael| No. I think I will pass.
Toby| Michael Scott, this is Holly.
Holly| Hi.
Michael| Hi. Yeah. Right. Okay, well, they hired a female Toby. Good for the world. Thank you, God, for creating two of you. Heres how things work here my job is to make the office fun. Your job is to make the office lame. And we have an eternal struggle, you and I. And only one of us can be the winner. Spoiler alert Im gonna win.
Holly| Man, someone doesnt like H.R.
Michael| Yeah.
Holly|  What did you do to him?
Toby| Nothing.
Michael| T-No. He tortured me... with his awfulness.
Holly| Yeah, I know what you mean. I nearly fell asleep when he gave me a tour of the files. Um, well look, Ill let you get back to work, but I-I really look forward to working with you, Mr. Scott.
Michael| Y-You can-Michael.
Michael| Thanks to Toby, I have a very strong prejudice against Human Resources. I believe that the department is a breeding ground for monsters. What I failed to consider though, is that not all monsters are bad. Like E.T. Is Holly our extraterrestrial? Maybe. Or maybe shes just an awesome woman from this planet.
Creed|  The pleasures all mine.
Holly| Oh, thanks. Im really looking forward to sitting down with you and finding out more about what you do here.
Creed| Any time.
Holly| What do you do here?
Creed| ...Excuse me.
Creed| What is wrong with this woman? Shes asking about stuff thats nobodys business. "What do I do?"... Really, what do I do here? I shouldve written it down. "Qua" something, uh... qua... quar... quibo, qual...quir-quabity. Quabity assuance! No. No, no, no, no, but Im getting close.
Dwight|  Have you been introduced to Kevin?
Holly| No. Which ones Kevin?
Dwight| Hes here on a special work program. Hes slow, you know, in his brain.
Holly| Oh. Good for you guys.
Dwight| Yeah.
Dwight| Hazing is a fun way to show a new employee that she is not welcome or liked.
Dwight| Accounting department, listen up. Holly, Human Resources. Angela, Oscar, and Kevin.
Holly| Hello. Hello.  Hi.
Kevin| Hi.
Holly| What do you do?
Kevin| I do the numbers.
Holly| Oh, good for you.
Kevin| Do you want a M&M?
Holly| Oh, no, that is so sweet. But thank you though.
Kevin| Yeah. I keep them here at my desk so that everybody doesnt take them.
Holly| Well that is a very safe place for them.
Kevin| Yeah.
Michael| Here she is! Holly... You know, if we hung Holly from the ceiling, wed have to kiss underneath of her. So-I know. Oh, sorry. Question, are you real, or are you a Hollygram?
Holly| Oh...  Nice, Ive never heard that one before actually.
Michael| I bet.
Holly| Thats good.
Michael| I bet. Are these guys boring your ears off?
Holly| No, no, I...
Michael| Oh... What, um, what is your commute like? How long does it take to get in?
Holly| Ooh, uh...
Michael| You know, I should make you a mix. Do you have a, uh, a CD player?
Holly| Um... Y-yeah. Okay.
Michael| All right.
Holly| Thanks.
Michael| Yep.
Holly| Great.
Pam| Do you like it? Its a photo of everyone in the office. So you can take it to Costa Rica.
Toby| Youre-youre not in it.
Pam| Well I was taking the picture.
Toby| I love it. I love it... I would love a picture of the two of us, to also take to Costa Rica.
Pam| Sure, do you have a camera here?
Toby| No, uh...  Does anyone have a camera here?  No one has a camera here. Uh...
Pam| Okay...
Toby| Im gonna... Ill go get one. Stay.
Jim|  So I just got the fax closing the sale, and uh, its big. It is really big.
Ryan| Congratulations!
Jim| Thanks.
Ryan| Dont interrupt.
Jim| I just-
Ryan| Congratulations on doing your job. Did you enter the sale on the website?
Jim| No, I didnt. I just logged it in right here, so...
Ryan| All right, try to be a team player here, Jim. Log it in the website.
Jim| All right, well it already went through, so...
Ryan| Dont worry about that. Just re-log it.
Jim| Hello?
Michael|  Hmm... Jim?  I am downloading some N3P...
Jim| Thats not it.
Michael| Music...
Jim| Yeah.
Michael| For a CD mix tape...
Jim| Close.
Michael| For Holly.
Jim| Mmhmm.
Michael| And Im looking for perfect songs that work on two levels.
Jim| What are the two levels?
Michael| The two levels being, uh, "Welcome to Scranton"...
Jim| Mmhmm.
Michael| And "I... love you."
Jim| Okay. Lets start with the "I love you" level.
Michael| Hey, whats the group that was from Scranton that made it big? Was that U2?
Jim| Yes. You dont love Holly.
Michael| I think I do.
Jim| But you just met her.
Michael| Well, it was love at first sight. Actually, it was-no, it was when I heard her voice. It was love at first see with my ears.
Jim| Oh, okay, it doesnt work like that.
Michael| Well, youre not a romantic.
Jim| Actually, I think I am. And I have a little bit of experience in office romance.
Michael| Oh really?
Jim| Yeah.
Michael| Like, with who?
Jim| Weve been through this.
Michael| Pam?
