Michael|  All right, everybody. This is your last meal, so eat up.
Dwight|  From this point forward, you will not use the bathroom. We need to keep our starting weights high so we can lose more.
Michael|  This summer, corporate is sponsoring a little weight loss contest between the branches. Whichever branch loses the most weight gets three extra vacation days.
Meredith|  What should we do with all these leftovers?
Stanley|  Im taking the dumplings for my wife.
Dwight|  No, no, no. This is your last meal. There will be no leftovers.
Creed|  I can bring these to my shelter.
Stanley|  Im taking my dumplings.
Dwight|   There. Take those home to your wife.
Michael|  Dwight, Dwight!
Dwight|  Michael, its time.
Dwight|  Hit the scales, everybody. Right on that black platform. This way. Step it up.
Darryl|  Dont go breaking my scale.
Andy|  Im excited to lose weight for the wedding, because I really want to have washboard abs the first time Angela sees me naked.
Holly|  Ex-squeeze me.
Michael|  No, I will ex-squeeze you.
Michael|  OK everybody. Get used to this because we are going to be standing here briefly every Monday for the next seven Mondays.
Dwight|  Wait a minute. One more bite of eclair each. Hold it in your mouth if you cant swallow.
Jim|    Really, nothing?
Darryl|  2,336 pounds. Yall need to learn some portion control.
Dwight|  Wait a minute. Pam is on the scale.
Michael|  Oh, Pamcake. No, no, no. We would love your extra poundage, but you are going to be leaving us next week, so vamoose. Vamoose, Pam. Dunder Mifflin family only.
Dwight|  Family only.
Darryl|  All right, got it. 2,210 pounds.
Kevin|  Pam, you weigh 226 pounds?
Holly|  Almost, Kevin.
Pam|  Not almost, though, Holly. I mean, not -- not close to 200...
Holly|  Math is hard.
Kevin|  Yeah.
Pam|  Just, well just keep going.
Andy|  Im totally gonna slaughter at the weigh-in today.
Oscar|  All I had this weekend to eat was a chicken breast and a case of Diet Coke.
Andy|  Really? Cause I havent eaten anything since noon on Friday.
Oscar|  OK.  Stanley, come on.
Stanley|  Oh, I forgot something in my car. Ill see you guys up there.
Stanley|  I happen to be losing weight on my own for my own reasons. The truth is, I have lost a little of my speed, a little of my fire. Heres what I used to look like.  Look at those biceps. We were fighting the power and eating whatever we wanted.
Holly|  And arch your back. And slowly bring up your head.
Michael|  Jimbo.
Jim|  Ah, they moved the shower.
Michael|  Did you see Hollys butt?
Jim|  No, I didnt.  You know why?
Michael|  Why?
Jim|  Because most of the time, friends dont talk about other friends butts.
Michael|  I know.
Jim|  But what have you learned about her?
Michael|  I learned that she broke her left leg twice in one year. I learned that shes allergic to sesame seeds. I learned that she has read "Lonesome Dove" three times.
Jim|  Nice.
Michael|  And that her butt refuses to quit!
Jim|  Well, I tried.
Michael|   You have to agree with me.  Thats insane.
Jim|  Ill just go later.
Michael|  I thought you had to pee.
Dwight|
Oscar|  Hey, if youre into yoga, I take a great bikram class in Dickson City.
Holly|  Oh, thanks. I should check that out.
Oscar|  Also -- and no pressure -- the teacher? Hes a catch.
Holly|  Actually, Im a lesbian.
Oscar|  Im gay!
Holly|  Im not a lesbian. I dont know why I said that... Its a joke.
Oscar|  Whats the joke?
Holly|  There is no joke. I just said it because I havent had much luck lately and Im not really looking to date. Maybe I should switch to women.
Oscar|  Oh, you think its a choice?
Holly|  Um, Im gonna head back to my work area and just--
Oscar|  Im messing with you, Holly.
Holly|  I knew that. OK, bye.
Oscar|  OK.
Jim|  So you have the directions.
Pam|  Yes.
Jim|  You have a toothbrush.
Pam|  Yes.
Jim|  You have a cell phone charger.
Pam|  I have everything.
Pam|  Tomorrow I start a three-month design program at the Pratt Institute in New York. I will be a little fish in the big apple.  What up, 212?
Dwight|  Fax this for me.
Jim|  Come on, man. She goes to New York in like 10 minutes.
Dwight|  Its not gonna take her 10 minutes to fax it, Jim.  If I dont see you again, goodbye. Well, actually, Ill see you when you give me the fax confirmation, so never mind.
Andy|  Ang. Ela.  Ella, ella, ella. Under my Angerela. Ella, ella, ella. Ay, ay--
Angela|  What?
Andy|  Hey, check it out.  This is The Breakers, Newport, Rhode Island. Huge, awesome gorgeous mansion overlooking the Atlantic. And my dad went to Cornell with the current groundskeeper.
Andy|  Every little boy fantasizes about his fairy-tale wedding.
Angela|  No. No.
Andy|  This is where my parents decided not to get divorced.
Angela|  I dont care.
Andy|  OK. How do you feel about Maine?  Im on it. Ill see you later, love.
Dwight|   Ahh. We done good in there, half pint.
Angela|  Well, that was the last time, Dwight. I mean it.
Dwight|  Monkey.
Angela|  No, no. I have a fiance I very much like!
Michael|   Hey, hey!  Pam, Pam! Hey!
Jim|  What happened?
Michael|   I wrote you a goodbye poem. Its really long. I left it up in my office. Could you just please wait till I go get it?
Pam|  I should really get going.
Michael|  No. OK. Um, the last word is "seagulls."
Pam|  Im sure it was really lovely.
Michael|  I took a lot from other poems.
Jim|  Call me when you get in.
Pam|  OK, bye.
Jim|  Bye.
Michael|  All right, call--
Pam|  No, Michael.
Jim|  Why havent I proposed yet? Uh, actually Pam and I talked about it. And we just decided that, um -- well, we didnt want to spend first three months of our engagement apart. And Pams always said she doesnt want a long engagement. Something in her past, I guess. Im not really sure of the whole story, but something about a guy who used to work here...
Michael|  OK, no, no, no, no, no, no. Same places as last week.
Angela|  It doesnt matter, Michael.
Michael| Yes, it does. No, this is about weight displacement. We have to have the same weight distribution. Right here. Here we go. Lets move that up. Here we go.
Holly|  Oh, fancy meeting you here.
Michael|  All right.
Darryl|  OK, everybody smile. Ho! You lost 31 pounds.
Michael|  All right!
Jim|  I cant believe Im saying this, but Michael is actually killing it with Holly. And I think I know why. Its because Holly is kind of a major dork.
Michael|   Im MC Mike Scott, and I am hot. Shes DJ Jazzy Flax, and she is the best. All those sucker branches can suck our fat!
Holly|  Wikka wikka wikka what?
Ronnie|  Dunder Mifflin, this is Ronnie.
Jim|  I dont really know Ronnie. But I have a feeling I will get to know her very well over the next few years, and eventually declare my love for her.
Professor|  Sorry Im late. I accidentally switched my alarm clock setting to Zapf Chancery.  Which is my terrible segue into our course, Expressive Typography in New Media.
Pam|  Im in the wrong class...
Professor|  Some of you may remember from last semester I am Professor Monaghan.  And looks like Im boring someone already.
Pam|  Oh, no. I just--
Professor|  Please sit down.
Holly|  Youre shaking. Are you all right?
Kelly|  Just leave me alone!
Kelly|   I am on the third day of my cleanse diet. All I have to do is drink maple syrup, lemon juice, cayenne pepper and water for all three meals. Um, I just bought some bikinis online, size 2. So ... gonna look amazing.
Ronnie|  Hi, can I help you?
Jan|  I need you to make me 100 copies of this on canary yellow.
Kevin|  Hi Jan.
Jan|  Hi.
Kevin|  Hows the candle game?
Jan|  Oh, great. Yeah, Serenity by Jan is kicking ass and taking names. You remember last week when that girl went missing?  Guess whose candles they used for the vigil?
Kevin|  Cool. Thank God they found her, too.
Jan|  Oh, they found her?
Michael|  Hi, Jan. Hello, baby. How are you? Good to see you. Whos your daddy? You dont know who your daddy is, do you? No, you dont.  Come on. Lets go in.
Jim|  When Michael told us that Jan was pregnant, he led us to believe that he was the father. By telling us that he was the father.
Holly|  Hey, Oscar. Whos that woman in Michaels office with the feet?
Jan|  Thats his ex.
Holly|  Oh, shes very beautiful.
Oscar|  Yes, she is. And clinically insane.
Holly|  So, listen, I dont know if your offer still stands or whatever, but you can give your yoga teacher my number.
Oscar|  OK.
Angela|  Listen, dummy! Its not that hard. All you have to do is take the numbers from the sales report and type them into a master spreadsheet. A G.D. monkey could do it. I do not understand why you cant do it.
Holly|  No! You do not talk to him like that!
Angela|  But hes an idiot!
Kevin|  Hey!
Holly|  He is not an idiot!
Kevin|  Thank you, Holly.
Holly|  He is mentally challenged. But hes doing a super job here.
Kevin|  Wait, back up. Do you think that I am retarded?
Holly|  Well, no. Dwight...
Angela|  Oh, Holly, that is very offensive.
Holly|  Im sorry.
Andy|  Hey. So, since my little lady has such particular, impossible to perceive taste, I have made nonrefundable deposits at four totally different wedding locales  Hot-air balloons over Napa Valley, world-famous Walt Disneys Epcot Center, scuba-diving wedding in the Bahamas and the Wilkes-Barre Marriott Ballroom C.
Angela|  Dangerous. Tacky. Sharks. Haunted. No.
Angela|   Hurry, we have to make this fast.
Dwight|  Lets do this thing.
Angela|   Hey!
Angela|  I have a nice comforter and several cozy pillows. I usually read a chapter of a book, and its lights out by 830. Thats how I sleep at night!
Jim|  All right, I am connecting and ... you are not there. Did you install it right? How about this  Go to applications--
Pam|   I can see you!
Jim|  All right!
Pam|  This is so cool.
Jim|  So what is going on, girl in the computer?
Pam|  Lunch with a girl from my hall.
Jim|  Uh-huh.
Pam|  Ceramics class. Then dinner by myself. Im gonna watch HGTV and maybe go to Bungalow 8 with John Mayer.
Dwight|  OK, can you turn the girl off please? Im trying to get some work done.
Michael|  No way. No way. Pam Beesley. Hello.  Hey, everybody look, Pam. Pam, say hi. Say hi to Pam. Dont we all look skinny? Oh, oh, almost dropped you!
Pam|  Can you put me down Im getting a little nauseous?
Michael|  Pam, Id like you to meet Ronnie. We call her Rice-a-Ronnie. She is hilarious. She is wonderful, a beam of light in this dark, dark office. Not really so much. All she does is plop herself down there and answer phones all day.
Pam|  The nerve.
Michael|  Oh, calm down, weirdo. Its just a joke. Shes such a weirdo! You know what? My real beef with her, though, Pam? She cant find those little colored paper clips that I like so much. Will you help her find them, please?
Pam|  Theyre on the supply shelf.
Michael|  Lets go. We are following Pam to the supply shelf. Let us go.
Pam|  New York is so exciting. I love my classes. The citys awesome. Um, can you give me back to Jim now, please?
Michael|  OK, everybody, lets suck in our guts.
Darryl|  2,184 pounds, for a grand total -- oh! You all gained five pounds back.
Michael|  Damn it. Come on.
Oscar|   Oh!
Kevin|  Oh, my God!
Dwight|  Come on, Bernard.
Michael|  Here we go. Everybody on.
Dwight|  All right, were set.
Darryl|  Still good. You guys lost a pound. You lost one pound.
Kelly|  I was on an IV for two days at the hospital.
Stanley|  I lost four pounds. I dont know what those other fools were doing, but I lost four pounds.
Phyllis|  Angela, youll go to the supermarket and get the New York cheesecake. Make sure its the generic one. Its Stanleys favorite.
Phyllis|  Yes, Ive replaced Angela as head of the party planning committee.  I guess I was just in the right place at the right time.
Michael|  Hows it going?
Phyllis|  Its going well.
Michael|  Good.
Holly|  I have a crazy idea. What if we did, um, fruit instead of cake?
Michael|  Cake? Who suggested cake?
Phyllis|  We lost weight today. I think its OK to reward ourselves once in a while.
Michael|  Are you kidding me? We only lost one pound, Phyllis.
Michael|  What is wrong with these people? They have no willpower. I went -- I once went 28 years without having sex. And then again for seven years.
Michael|  Does anyone have any idea what the number one cause of death is in this country?
Dwight|  Shotgun weddings.
Jim|  Thats not what that is.
Creed|  Fright. Being scared to death.
Michael|  No.
Holly|  Obesity-caused illnesses.
Dwight|  Obesity-caused illnesses.
Michael|  Thank you. Holly is right. People, this is not just about winning some extra vacation days. This is about a very cool HR initiative that if we dont follow, we are all going to die of obesity. So how much are we gonna lose?
Jim|  I would like to lose 65 pounds.
Michael|  Yes, all right. Who else?  Can I put you down for 10 pounds?
Angela|  No. My doctor wants me to gain weight.
Michael|  If you gain weight, you will die. I want you to live forever. I want us all to live forever. How? How are we going to do this?
Jim|  Cryogenics. Beer me five.
Michael|  This is how were gonna do it. Five pounds. Im asking each of you to lose five pounds. That plus Jims 65 will give us a very good chance at winning this thing.
Jim|  All right, Im taking off.
Michael|  Booty call.
Jim|  Nope, just going to see Pam.
Michael|  Here.
Jim|  Maybe put up some shelves.
Michael|  Wait a second.  I dont want you to end up with a surprise pregnancy like me.
Jim|  OK, thank you for ... this.
Michael|  You want more?
Jim|  No.
Andy|  I dont know if theres any one place that has all these things.
Angela|  Its not my problem.
Andy|  Thousand-year-old church in the continental United States. There has to be a rainbow. 24-hour veterinarian on call.
Angela|  That is very important to me, so -- I have work to do. Just do it.
Andy|  Sweetheart.  Just so you know, I dont care where we get married. Ill marry you right here in this building. Ill marry you in the parking lot. Ill marry you in the eye of a hurricane in the middle of a snowstorm on top of a monsoon. All I care about is that were gonna spend the rest of our lives together.
Andy|   Hey-oh!
Angela|  I know I havent made this easy on you.
Jim|   Hi.
Pam|  Hi.  Mmm. Cause--
Jim|  Oh, thats so rude of me. Have you seen, um, Pams new art? Its right there. Check it out.
Michael|   Its a pretty lame party.
Ronnie|  Does anyone want to dance?
Jim|   Some girl came into Pams room crying about her roommate stealing her soy milk. So Im in here waiting it out.
Phyllis|  Stanley, Michaels not here. You can eat a slice of your birthday cake.
Stanley|  I dont like cake anymore
Andy|  Why not, dawg?
Stanley|  Tastes changed. Now all I like is baklava.
Dwight|  Michael, we have a situation.
Dwight|  They should not be in that room.
Holly|  Thats so lame they didnt invite us.
Michael|  You know what we should do? We should have a party and not invite them.
Dwight|  Yeah!
Michael|  Lets go mini-golfing.
Holly|  Hey, could I have a rain check on the mini-golf. I, uh, actually have a date tonight.
Michael|  Uh...
Holly|  Itll probably be a total disaster, but...
Michael|  Um, I think youll have fun. Men from Scranton are handsome, and they know how to show a woman a good time.
Dwight|  Not that guy who murdered his mother. He was not so handsome. Also Kevin.
Michael|  You know what? Were pretty much done here today. Why dont you just take off early?
Holly|  Really?
Michael|  Yeah.
Holly|  Oh, thats sweet. Wish me luck.
Michael|  Good luck.
Michael|  Oh, Holly doesnt need luck. Everyone that meets her instantly loves her.
Dwight|  Partys over. You are so busted!
Michael|  OK, everybody. Phyllis, did I or did I not say fruit?
Phyllis|  You said fruit, Michael.
