Dwight|  Hey Michael?
Michael| Yeah.
Dwight| Contractions are coming every ten minutes.
Michael| OK, just remember to keep breathing.
Dwight| My cervix is ripening.
Michael| OK, good.
Jim|  Jan is about to have a baby with a sperm donor. And Michael is preparing for the birth of a watermelon with Dwight.  Now, this baby will be related to Michael through  delusion.
Dwight| Michael! My waters breaking!
Michael| Oh, OK! OK!
Dwight| Aaaaaaaa! What do you do? What do you do?
Michael| I get a call from Jan and I meet her at the hospital.
Dwight| Right. Highways or surface roads?
Michael| I take Quincy Ave to Gibson.
Dwight| No, Gibson is covered in potholes.  Your car breaks down. Adapt!
Michael| I checked the route - there are no potholes.  Come on, get in here and have the baby.
Dwight| Its about adapting to the circumstances.
Michael|  Andy, would you like to have my baby?
Andy| Yes! Yeah.   Aaaaaaaa! Aaaaaaaa! Aaaaaaaa!
Dwight| No. OK, no.  Im crowning!  Im crowning!  Aaaaaaaa!
Michael| All right, OK.  Sorry.  Sorry.  Here we go.  Here we go!
Dwight| The pressure!  The pressure!
Michael| Do it! Do it!  Scream!  Scream it out, scream it out, scream it out.
Dwight| Aaaaaaaa!
Michael| Aaaaaaaa!
Dwight| Babies are one of my many areas of expertise.  Growing up, I performed my own circumcision.
Michael| Just keep pushing...
Dwight|  Hold me!
Michael| Im right here.
Dwight| Cradle my head!
Michael| Im right here, Im right here.
Dwight| Im screaming, Im screaming, Im screaming! Aaaaaaaa!
Michael|  All right.  Dwight.  Just push and breathe.
Dwight| Numb me up. I want anesthesia!
Michael| Shhh. No, you cant have it.  Its too late.
Dwight| No! I dont want natural!
Michael| No.  You have to just push it out!
Dwight| OK!
Michael| Keep simulating.
Dwight| Aaaaaaaa!
Michael| OK!
Dwight| Do you have the Sharpie?!
Michael| Keep simulating.
Dwight| Do you have the Sharpie?!
Michael| Yes, I do!
Dwight| OK!  When the baby emerges, mark it secretly in a kind of a mark that only you could recognize and no baby snatcher can ever copy.
Michael| OK.
Dwight| Ready?!
Michael| Yes.
Dwight| Aaaaaaaa!
Michael| Aaaaaaaa!  Its coming!  Here we go!  Oh! God! Wow! What was on that?
Dwight| Butter. Newborns are slippery.
Michael| Nice touch.  Good.  Lets try that again.
Michael|  It is going to be the happiest day of my life.
Michael| Hello ladies, hows my shower going?  Phyllis, did you get the live storks?
Phyllis| No.
Michael| Damnit, Phyllis!  Im sorry.   Damnit, Phyllis.  It was hard enough to convince Jan to come.  So are we set for refreshments?
Angela| Per your instructions, we have the personalized M&Ms with the baby names.  This is your boy bowl, with the name "Chevy." And this is the girl bowl, with M&Ms with the name "Astird."
Phyllis| That cant be right.
Angela| Michael wrote down "Astird."
Michael| She said it is the name of a Viking princess. So...
Meredith| Ass...turd.
