Kelly|  Wow you guys look amazing. Stanley, I thought you hated Halloween.
Phyllis|  Shh. He wears that so he can sleep at his desk. Who are you?
Kelly| Oh, Im Carrie Bradshaw from Sex And The City.
Phyllis| Mm. I like your shoes.
Kelly| Thank you. Will you help walk me to the fax machine?
Phyllis| Sure.
Ryan| I got her, I got her. I can help you. You look amazing.
Kelly| Inappropriate. Thank you. Who are you, Larry King?
Ryan| Gordon Gekko.
Kelly| Oh, from the insurance commercials!
Ryan| ... Yeah.
Oscar|   Whoa. Awesome.
Creed| Lets put a smile on that face!
Kevin|  Dammit Creed! Ive been up since four!
Andy|  Meow. Sweet stume, dude. Who are you supposed to be?
Jim| Dave.
Andy| Cool.
Jim| You are?   A cat?
Andy|  We were looking for "kitten."
Jim|  Oh, hang on one second. Jim Halpert.
Pam| Hey.
Jim| Hey New York, Happy Halloween!
Pam| Thanks.  My costumes getting a lot of attention.
Pam| So apparently no one dresses up for Halloween here. I wish I had known that before I used greasepaint for my moustache. And I cant even take off my hat, because then Im Hitler.
Dwight|  Hm mm mm mm. Want to see a magic trick? Heh heh heh! Im gonna make a pencil disapp-- oh!  Disappear.
Michael| Okay, I think we are set. We have puzzles, string for Cats Cradles. Burned this last night. A little road trip CD. Puppets.
Holly| Oh, look at all this stuff! Its only seven hours.
Michael| When Corporate found out that we were dating, they decided they were going to transfer Holly back to her old branch, in Nashua, New Hampshire.
Holly| Michael is taking a personal day to move me up.
Michael| Road trip!  Right?
Holly| Breaker one-nine, copy?
Michael| Oh, copy that breaker. Those Duke boys are at it again.
Darryl| Hey! Do Not Touch My Radio.
Michael| Were not.
Holly| Kidding.
Michael| Were not doing anything.
Holly| Its been a weird week since we found out I had to transfer. Michael wanted me to quit and get some job here in Scranton, and I said "Well, why dont you quit and get some job in Nashua?" And he said "I asked you first."  And I said "First!" at the same time he did. And then I said "Jinx." And then we never talked about it again and havent been back to the conversation. So...
Michael| All right everybody. Im out of here. Jim, youre in charge.
Jim| Oh, Ill walk you out.
Michael| Ah, you are quite the gentleman.
Michael| You can let people go a couple of minutes early if you want.
Jim| All right. Well see.  No.
Jim| I am off to New York. My brother Pete from Boston, and my brother Tom from New Jersey are taking Pam and I out for lunch, to celebrate the engagement. Or maybe to beat me up. I can never tell with those two.
Dwight| Good morning temp.
Ryan| Morning.  Wow. Good morning Dwight.
Dwight| Thought Id go casual today. Morning everyone. Good morning.  Hello.  How are you Phyllis?
Andy| Ha ha ha. Thats funny.  Take that sweatshirt off!  Hey buddy.
Dwight| Andy.
Andy| Remember when I jokingly yelled at you to take your sweatshirt off? Totally joking. But, you should know, those colors are sacred. Not that I care. But if youre not a Cornell man, you probably shouldnt wear them.
Dwight| No I get it. I totally understand. And uh, I just want to assure you, that I mean no disrespect. You see, Im applying!
Andy| Come on, you think you can get into Cornell?
Dwight| Well if somebody who barely out-sells Phyllis, can get in, I should be fine.
Phyllis| Im sitting right here Dwight.
Dwight| I meant that as a compliment to you Phyllis, as well as a slight to Andy.
Dwight| Cornell is a good school, and I want to better myself through higher education. If it makes Andy angry, so be it.
Holly| I have to unpack this weekend but maybe next weekend we go to the outlets!
Michael| Cool!
Darryl| Mike youll drive this every weekend?
Michael| Were gonna switch back and forth, the driving. Sometimes well just meet in the middle. Itll be fun. Wait a sec. Oh I love this song.
Michael and Holly| Life is a highway, I want to ride it all night long.
Michael, Holly, and Darryl| If youre going my way, I wanna drive you all night long! If youre going my way...
Dwight| Hey there. So uh, how do you think were gonna do against Penn this year? Nathan Fords arm looks pretty strong.
Andy| Well hes had a pretty good season so far--- Stop saying "we." You did not go to Cornell. Okay, youre just doing this to screw with me.
Dwight| Not so. Cornell is an excellent school. Without its agricultural program, we probably wouldnt have cabbage. At least not modern cabbage.
Andy| I know its an excellent school, Dwight. I went there. My blood runs Big Red.
Dwight| Someday, well both get together in Comstock Hall and just laugh about all of this.
Pam| Hey!
Tom| Hey, future baby sis!
Pam| How are you Tom. Nice to see you.
Tom| Im good.
Pam| I asked Tom and Pete to come early so we could play a prank on Jim at lunch! Pretty awesome, right? I think theyre into the idea. Theyre probably thinking, "That Pam Beasly, shes the coolest sister-in-law on the planet. Shes the best! The absolute best."
Pam| Okay, so heres what Im thinking. Im gonna say that before ceramics class, I took off my ring, and then when I changed back out of my smock, it wasnt in my pocket anymore, and I lost it.
Pete| Thats perfect. You know what would be even more hilarious? Remember that thing we did when Jim was in high school with his girlfriend?
Tom| Right! That would be hilarious! We should totally dog her, about being an artist, never making any money!
Pete| That, is awesome!
Tom| Like she basically has a hobby, for a job.
Pete| Oh yeah.
Pam| So, not the ring then? The- the- Not doing the ring?
Pete|  I think this is better.
Tom| The other thing would "get" Jim.
Pete| This is nicer, its fun. Its fun!
Pam| Okay, okay.
Tom| Oh, he hates it when we pick on his girlfriends.
Pam| Oookay....
Pam| They came up with that idea really fast.
Darryl| This trip was longer than I thought.
Holly| Yeah it did look shorter on the map-
Michael| Ah! Ah! Ahhhh!   Hey. Whew. Ow. I was having a nightmare.
Holly| You were sleeping?  You were talking before.
Michael| Was I?  Really? Was I saying anything interesting?
Darryl| Not really.
Michael| All right. Whats the scoop, how far?
Darryl| Four hours. Almost halfway there.
Holly| Were only halfway?
Michael| Halfway! Okay, You know what I want to do, I want to pull over and find little bed and breakfast for when we meet in the middle. Emphasis on the bed. And the breakfast.
Darryl| Next exit isnt for five miles.
Holly| Lets check there.
Pam| Hey guys.
Jim| Hey, how are you?
Pam| Hi!
Jim| Good to see you.
Pete| Nice to see you again, Pam.
Tom| Pam, I havent seen you in so, so long!
Jim| All right so now we can sit... and get comfortable.
Darryl| Theres nothing out here man.
Michael| Yeah. I dont know I just- I imagined a hotel right here. Pool, over here. Really good breakfast place. With really good bacon.
