Michael| Hey, sport.
Dwight| I heard someone got engaged, you dog, huh?
Michael| Ow! God!
Dwight| Oh, nothing can hurt you now. Youre a man in love!
Darryl| I was there. That dude is not engaged. Im not a big believer in therapy, but Ill go into my own pocket to cover his co-pay.
Andy| Big idea double wedding. Me, Angela, you, Holly.
Michael| No, we would never do that. And if we did, it would be with Jim and Pam.
Jim| Yeah, wed never do that.
Michael| Yeah, so there you go.
Kelly|  Michael, I got my bridesmaid dress.
Michael| Oh, wow, so quickly.
Kelly| Yeah, and you said I could get it in any color I wanted, so I picked white.
Kevin| Michael, did you tell your mom yet?
Michael| Nope. Nope. Not yet.
Jim| You wouldnt tell your mom?
Kevin| You love your mom.
Kelly| Call your mom, Michael.
Michael| Ill call her later.
Group|  Call her! Call her!
Michael| I dont want to do that.  All right.  She is going to freak out!
Andy|  Speakerphone!
Michael| Thats -- thanks.
Mother|  Hello?
Michael| Mom, Im getting married.
Mother| No, youre not.
Michael| Why do you always do that? Whenever Im getting married, you dont believe me.
Mother| Well, are you getting married?
Michael| No.
Mother| Are you--
Michael| Im not, Im not getting married. So...  Psych.
Kelly| So I returned my bridesmaid dress, and it was on sale, so Im out $100.
Michael| And Im out a fiancee. Are those the customer surveys?
Kelly| Yeah, uh, this is all of them Jim, Dwight, Phyllis, Stanley, Andy and -- oh. Oh, its the receipt to my bridesmaid dress. Whats that doing there?
Michael| Ill take care of that for you.  Thanks.
Michael| Kelly Kapoor is our dusky, exotic customer service rep. And once a year, she will contact our clients and find out how happy they are with our salespeople. Sort of a Kapoors List. "Schindlers List" parody. ... Thats not appropriate, no.
Jim| Those reports affect our bonuses, which is kind of great for me, because you wouldnt know it from looking at her, but Pams a gold-digger.
Pam|  Hey, New York aint free. Get back to work.
Jim| Aww.
Pam| Its the worlds tiniest Bluetooth. I found it in a Japanese gadget store in the village. I got one for Jim, too. Jim, say something.
Jim|  Testing, testing. Hello, everybody.
Pam| We wanted to stay on the phone all day, but the company has a policy against eight-hour personal calls. So were not telling anyone.
Alex| Uh, Pam. What do you want on your coffee?
Jim and Pam| Sprinkle of cinnamon.
Pam| I should go.
Michael| Alrighty, Dwighty, lets see how you did.
Dwight| Bring it on.
Michael| No.
Dwight| Sorry.
Michael| Wow.
Dwight| What does it say?
Michael| Dwight, your feedback is horrible.
Dwight| Thats impossible.
Michael| A number of your clients found your personal style abrasive and distasteful.
Dwight| I sell more paper than anyone.
Michael| No, no, no, no, no.
Dwight| Wait, is this a joke? Im getting that queasy feeling that sometimes accompanies jokes.
Michael| Do I look like I am joking?
Dwight| No, but thats sometimes part of it.
Michael| If I were joking, you would be laughing. Do you look like you are laughing?
Dwight| Impossible to say. I cant see myself.
Michael| Youre not.
Andy| Yo, Tommy Tuna, did you get your scores yet?
Jim| Nope.
Andy| I got mine. They were really good.
Pam|  I miss him.
Jim| You must be really proud.
Andy| Yeah, pretty psyched. Whoa! Thats my mug.
Jim| Oh, sorry. It was just -- it was right here.
Andy| Right, well, its mine, so if you could pour it out and get another one.
Jim| OK. Or maybe I could finish the coffee thats in here and you could use  uh, oh -- Snoopy.
Pam| Dont give him Snoopy. Thats mine.
Andy|  It is a great mug. But its not my mug. That is my mug. So give it back.
Jim| How can you even be sure?
Andy| It has my face on it.
Jim|  Make the face.  Yeah, I dont see it.
Andy| Dude, that is my face!
Pam|  What was that?
Jim| Wow. That was Dwight. He seems upset about something.
Pam| Describe him exactly. What color mustard is his shirt? Yellow or Dijon?
Jim| It is... more of a spicy brown, actually.
Dwight| What are you mumbling about?
Jim| How was your meeting with Michael?
Dwight| None of your business.
Jim| Was it your scores?
Dwight| Those cant be my scores, Jim. For your information --
Jim| Mm-hmm.
Dwight| Im being sabotaged.
Jim| Of course.
Dwight| And Im going to find that person and punish them.
Jim| Absolutely. Or you could just be nice to your customers.
Dwight| Youre an idiot.
Jim| Theres the charm.
Michael| Jimbo, lets do this thang.
Jim| That is me. Wish me luck.
Dwight| No way.
Pam|  Good luck.
Jim| Thanks.
Dwight| I didnt say anything
Pam| I love you.
Jim| I love you, too.
Dwight| What do you think I am saying to you?!
Jim| Im not talking to you.
Dwight| Ive caught Jim talking to himself several times today. What a loser. Get a friend, loser.
Andy|  Yeah, Im looking at it right now. Its really gorgeous. You guys do great work.
Andy| I found the best tentist on the east coast. He personally tented Giulianis first and third weddings. And I got him.  I got him!
Andy|  Would you be able to do the same design, but with walls of gray? And a top thats gray too? Fabulous.
Michael| Oh, come on.
Jim| What?
Michael| You too?
Jim| Did my scores drop a little?
Michael| Jim, they are a poopy.
Pam|  Jim? Jim?
Jim| Are we even sure thats my file?
Michael| No.  Yes, I am sure, Jim. It --
Jim| Well, theres got to be an explanation.
Michael| I agree.
Jim| Yeah.
Michael| So lets see what we can find out from reading.  Jim Halpert is smudge and arrogant.
Jim| I think you mean smug
Michael|  Arrogance.
Jim| Michael, Im just trying to --
Michael| And theres our smudgeness.
Jim| I need a decent bonus, because Im actually in the process of buying my parents house so that they can retire. And if history tells us anything, its that you cant go wrong buying a house you cant afford. Pam doesnt know about the house, so its... a fun surprise.  Pam, sorry about that. I lost you for a second. So, as it turns out, I may not have done so hot on my customer reviews this year.
Pam| Maybe its because you spent the whole year flirting with the receptionist.
Jim| A little bit. ... Worth it.
Michael| Heres whats going to happen. I am going to have to fix you, manage you two on a more personal scale, a more micro form of management. Jim, what is that called?
Jim| Microgement.
Michael| Boom! Yes. Now, Jim is going to be the client. Dwight, youre going to have to sell to him without being aggressive, hostile or difficult. Lets go.
Dwight| All right, fine.  Brrring.
Jim|  Hello?
