Michael| Did you know that in Morocco it is common to exchange a small gift when meeting somebody for the first time?  In Japan you must always commit suicide to avoid embarrassment.  In Italy you must always wash your hands after going to the bathroom.  This is considered to be polite.
Jim| Why are you telling us this?
Michael| I am jetting off on an international business trip.
Jim| Where are you going?
Michael| To Can-A-da.
Jim| Where is it?
Michael| Canada.
Jim| Okay.
Michael| My boss is sending me abroad to do a presentation to an international client and I have always been intrigued by all things international.  The women, the pancakes, the man of mystery...
Michael| Meredith, I would like you to pretend that you are from Abu Dhabi.
Meredith|  Hello.
Michael| I am ashamed at your naked face. I must cover it with my jacket.  You are now sexy in your culture.
Kevin| T minus...
Jim| Six point five days. 
Creed|  One more week.
Jim| Pam comes back from New York next week and everyone here has just been so excited for me. And involved. And intrusive. And weird.
Phyllis| On more week. 
Stanley| Heh heh. 
David Wallace|  Do you have your passport?
Michael| I have my passport. 
David Wallace| Got your per diem?
Michael|  I have my per diem.  I already know what I am going to spend this on.  I am going to buy a sweater.
David Wallace| Michael, the... thats for your food.
Michael| Well Ill just... Ill use different money for that. 
David Wallace| I was happy to send Michael on this trip.  Hes been feeling pretty down since we had to transfer Holly up to New Hampshire.  But this little perk really seemed to turn him around.  And its pretty tough to find somebody who wants to go up to Winnipeg mid-November.
Michael| And business class air, like a five-star hotel in the sky, nothing but the best.  Actually better than a five-star hotel cause you get a big, cushy seat and you sit in a row of people and to eat, whatever the mind can imagine.  I think I am going to have a filet with mushroom sauce.
David Wallace| Well, Im just glad to know youre happy because you know I felt bad.
Michael|  Well that is all in the past.
David Wallace| And in terms of nightlife, when you get there just ask the concierge.
Michael| They have one of those?
Michael|  Lets do this!
Dwight| Wait, why do you need three suitcases?
Michael| Two are for souvenirs.
Dwight| Do you have your money belt?
Michael| I do. Its right here. 
Dwight| No, no, no, no, no.  You want to wear that puppy right up on the breastbone like a bra. 
Michael| No, I dont want to wear a bra.
Dwight| Here, let me help you. 
Michael| Stop it! Stop it!
Dwight| Do you want to get robbed in a foreign country? I wash my hands of this.
Michael| Okay.  Where is my translator?
Andy| Monsieur.
Michael| There he is.
Andy| Im just bidding a bon voyage a La Mon Petit fiancee. Translation Goodbye my petite fiancee. 
Angela| Be good.
Andy| I will try.
Angela| Meaning what?
Andy| Meaning I will try to get other dudes laid.
Michael| Yeah baby! Thats what Im talking about. That could be you  if you hadnt forgotten French.  Where is my numbers man?
Oscar| Here.
Michael| There we go. Our town car awaits.
Meredith| Its just a van.
Michael| Its not just a van.
Meredith| Look, I know my way around a van.  That is just a van.
Michael| Dwight, can you get those please?
Dwight| 
Michael|  Welcome to Cribs-the business class edition. Check this out. Mimosa.
Andy| Ah... sweet!
Michael| Handed to me as I sat down.  This was my hot towel.  It is still wet.
Andy| Michael Gary Scott rolling like a pimp!
Michael| Take a sip of that. 
Andy| Mmmhmmm...
Michael| That good?
Andy| Mmmm... 
Michael| Dont drink all of it.  Give some to Oscar.
Andy| Thats really good. 
Oscar| Im good.
Michael| You want one of your own? I can hook you up.
Stewardess| Im sorry.  Youll need to keep moving.
Michael| Yes, this is Beth.  This is my personal valet/flight attendant and she will be helping me this morning.
Beth| We need to keep the isle clear.
Michael| Yes... 
Andy| Oh... 
Michael| Get back, get back.  Come on, get back to the slums.
Andy| Oh boy. 
Michael|  Hey... guys, check it out.  My own personal DVD player and 20 movies.
Oscar|  Andy brought one too.
Andy|  Harry and the Hendersons
Michael| Shhhh! Keep it down.
Oscar| I made egg salad sandwiches. Do you want one? 
Michael| Could you have picked something stinkier to bring on a plane?  My God, Oscar. Really? Do you have a bag of baby poop in there too, to share with everybody? No, I will be ordering my own food, thank you very much.
Michael|  Hi.
