Angela| Are you swallowing them whole?  Youre eating them so fast, are they even touching your tongue?
Kevin|  Yes.
Dwight| Brownies is it? Hm. Pastry cubes made of sugar and fat? No thank you, Ill stick with my jerkie.
Jim| So why did you come in here?
Dwight| To socialize.  And inform.
Michael| Oh brownies! Im taking two so I can parcel them up and eat them at my leisure later on, much healthier.
Ryan| Youre taking two?
Kelly| Yeah, um, but one of them is for Toby. 
Michael| Yeah why dont you send that to him in Costa Rica?
Kelly| Um, Im just gonna hand it to him right now.
Michael| Heh, okay, weirdo.
Jim| Why is that, why is that weird?
Michael| She said she was going to give it to him right now. 
Jim|  Shes probably going to, cause they sit next to each other.
Michael| Yeah, they used to.
Jim| Toby works here again.
Michael| Oh, can you imagine?
Jim| Oh no.
Michael| Uhhgh.
Jim| You dont know.
Michael| I dont know.  What?
Jim| You should probably just meander back there; take a look.  See if hes, see if hes back.
Michael| Hmmm, dare I?   You know what? Im going to, for old times sake.   Great practical joke Jim, you got me to go to the annex. 
Toby| Hi, Micha-
Michael| NOOOO! GOD! No, God, please no! No! No! NOOO!
Michael|  Look at him.  With his stupid face.  Stupid... tan. No.
Dwight| He looks great.
Michael| No.
Dwight| Well rested.
Michael| He looks worse.
David| Michael, is everyone okay?
Michael| Uh, well Im afraid not.  Toby Flenderson, of H.R., has made a sudden reappearance.  
David| I dont understand, is anyone hurt?
Michael| Not on the surface, no, but I can tell people are disturbed, David.
David| Michael, you texted me, 911 CALL ME.
Michael| Yes.
David| All in caps.  Do you know what 911 means?
Michael| I learned a while back that if I dont text 911 people will not return my calls.   Um, but now people always return my calls because they think that something horrible has happened.
David| Now what Im curious about is how you were able to go an entire a week without knowing a member of your staff was there.
Michael| I did not want to go back to the annex because that is where Holly worked whom I loved.
Dwight| Also, its icky back there.
Michael| Thats true.  People say its icky.
David| Okay, I have to go.
Michael| David, wait.
David| No.
Michael| Is there no way we can get rid of him?
David| Not without cause, Michael.
Michael| I have cause.  It is be-cause I hate him.
David| You have to get along with Toby.
Michael| No.
David| Yep.
Michael| I dont.
David| Goodbye, Michael. 
Michael|  Dont do that.
Pam|  Oh, come on!  Do you see this?  Disgusting.
Andy| So, Tunes, you still gonna buy your old mans place?
Jim| Yeah, I am.  Wait, how do you know that?  I didnt tell you that.
Andy| Ehhh no, I was just walking by your desk.  I saw some email.  I got peepers of an eagle.
Jim| Thats really not cool.
Andy| Kaaw!
Kevin| So Jim, youre gonna live in the same house that you used to pee the bed in?
