Pam|  Dunder Mifflin, this is Pam. Im sorry, hes not in yet. Would you like his voicemail?
Michael|  Yeah! Yeah! Yeah, okay! Twelve miles an hour. Eat that, Carl Lewis!
Pam| Angela made several 911 calls about cars going too fast in front of the building, so the police put up a radar gun. Its actually caused a bit of a traffic hazard.
Dwight|  Aah!
Phyllis| Wow, thirteen!
Dwight| Yes!
Michael| No. No, no. There was wind.
Dwight| I was just jogging.
Michael| Dwight, there was wind. I want a do-over.
Jim| No, no, no, its not your turn. All right, thirteen is the new number. Oscar, go ahead.
Michael| I want another try. Here we go!  Thirty-one! Thirty-one!
Stanley| There was a car.
Michael| I was ahead of the car. Thirty-one is my new number.
Oscar| Thirty-one is humanly impossible.
Michael| Go, Oscar. Thirty-ones my number.
Oscar| Thats impossible.
Michael| Beat it!
Michael| Todays a big day. My presence has been requested by  Chief Financial Officer, David Wallace.  He says that he wants to talk about big picture stuff. And, Ill be honest, I have little or no idea what that means, so... probably bad.
Pam| Quick announcement new year, new candy.
Kevin| Whoo-hoo!
Pam| Okay, be careful, Kevin. Theyre kind of spicy.
Kevin| Hot tamales.
Pam| Yeah.
Kevin| Uh oh.
Pam| So, maybe just try one at first, and then if its okay, have a couple more...
Andy|  Excuse me, everyone, can I have the floor please? Um, this is insanely awkward. Its kind of the elephant in the room, so Ill just...  No one has RSVPed to our wedding yet, and the deadline was yesterday.
Michael| Wait, you still dont know...
Jim|  No, no. Nope.
Andy| Hmm?
Jim| Nothing.
Michael| You still dont know.
Jim| Why dont... Lets...
Michael|  What are you doing?
Jim| How about we just... Just have to talk to you for a second...
Michael| Andy.
Jim| Ahh! 
Andy| No, no one has RSVPed, and I dont understand it, and now, youre shutting me out. Youre not even listening. Thats really considerate. Thank you.
Michael|  No, what Im saying is...
Jim| No, no.
Michael| No, thats not it.
Jim| I know.
Jim| Andy still doesnt know that Angelas having an affair with Dwight. And its been seventeen days. I mean, eventually hell figure it out, when their kids have giant heads and beet-stained teeth. But right now its just... awkward.
Michael|  How can he still not know?
Jim| We cant figure that out.
Michael| I cant take it anymore.
Dwight| Wait, what?  You cant take what?
Michael| I am telling Andy.
Dwight| No. You cant do that. It shouldnt come from you.
Michael| Who should it come from, then?
Everyone|  Angela.
Michael|  Are you still having intercourse with her? 
Oscar| What is wrong with you? She is engaged.
Michael| Did you ever have intercourse in this office? 
Oscar| Are you serious? Ugh. Where?  Where?  Where, Dwight?
Dwight|  Seems like you already know where.
Angela| Kevin, you screwed this form up again. The amount owed goes at the top.
Kevin| Oh, Im sorry. I didnt realize I was doing something wrong. If I had, I wouldve admitted it, and stopped right away.
Angela| Thats enough.
Kevin| Because I wouldnt want an innocent person, who doesnt know anything about the form...  What?
Oscar| That was good... Its just, at the end you werent saying something that could also apply to the form.
Kevin| How about, "Im sorry I did such a whorish job filling out this form?"
Oscar| There you go.
Andy|  That cannot be true!  Youre going to charge me a fee to cut my own cake? Uh, no. No, no, no. What Im saying is, I want to cut it myself...
Dwight|  Trade seats with me.
Jim| No.
Dwight| Ive got a better angle on Pam. I can see everything.
Jim| Please stop.
Dwight|  I need a soup spoon.
Dwight| Rule 17 dont turn your back on bears, men you have wronged, or the dominant turkey during mating season. There are forty rules all Schrute boys must learn before the age of five.  Learn your rules. You better learn your rules. If you dont, youll be eaten in your sleep. 
Dwight| 
Angela| What is it?
