Dwight| Last week I gave a fire safety talk.  And nobody paid any attention.  Its my own fault for using PowerPoint.  PowerPoint is boring.  People learn in a lot of different ways, but experience is the best teacher.   Today, smoking is gonna save lives. 
Dwight|   Does anyone smell anything smoky? 
Angela| Did you bring your jerky in again?
Dwight| 
Pam|  Oh, my God! Uh, Oh my God! 
Phyllis| What--
Andy| Whoa, fire!
Dwight|  Oh, fire!  Oh my goodness!  Whats the procedure?  What do we do, people?
Pam| The phones are dead.
Dwight| Oh, how did that happen?
Kevin| Its out in the hall.
Dwight| No, we dont know that.  The smoke could be coming through an air duct.
Michael| Oh my God! Okay, it happening.  Everybody stay calm. 
Dwight| Whats the procedure, everyone? Whats the procedure?
Michael| Stay  calm!
Dwight| Wait, wait, wait.
Michael| Everyone, now  calm down!
Dwight| No! No, Michael! No!  Touch the handle.  If its hot, there could be a fire in the hallway.
Michael| What does warm mean?
Everyone|  Oh my God.
Dwight| Not a viable option.
Pam| Try a different door.
Dwight| Okay, whats next?
Michael| Dont run.
Dwight| Oh! Heres a door.  Check that one out. Hows the handle?
Andy|  It-- its warm.
Dwight| Well, uh, another option.  
Jim| Back door.
Dwight| Back to our options. Jeez! Ok! settle down everyone.  No bunching!
Phyllis| Oh! I forgot my purse.
Stanley| Leave it woman!
Michael| Get out of the way! Go, go, go!
Dwight| Things can be replaced, Phyllis! People, human lives, however, can... 
Oscar| Ah! My hand!  Thats hot!
Andy| Aah! This ones hot too!
Michael| Okay, were trapped.  Everyone for himself.
Dwight| Okay, lets go. 
Everyone|  Out of my way! Lets go. Get out of my way!
Dwight| Calm, please
Andy| Get out of the way!
Dwight| Have you ever seen a burn victim?
Andy| Move it!
Dwight| Okay! Procedure, procedure. Exit options.  Where do we go folks?  Wha-- Use a what to cover the mouth?  
Angela|  Its okay.  Shh shhh.
Dwight| A what?  A rag.  A damp rag, perhaps.  Lets remember those procedures.  What are the options?  Okay, thats the wrong way.  Weve already tried that.  Remember your exit points.  Exit points people.
Angela| Oscar.
Dwight| Whats next? 
Angela| Oscar!
Oscar| Stay alive!  Im getting help!
Angela| Pull me up!
Oscar| Youre too heavy!
Angela| I only weigh 82 pounds!  Uh-- save Bandit!  Oh!
Dwight| How about 911?  Anyone? 911. 
Pam| What do we do? 
Dwight| Use the surge of fear and adrenaline to sharpen your decision-making.
Jim| Okay, I am not dying here.  Come on. 
Angela| What is that?  What is that?
Andy| The fires shooting at us!
Phyllis| What in the name of God is going on?!
Andy| Yes!  Yes, ba-- Yes, battering ram! Battering ram!
Phyllis and Creed| Ahhhh!!! 
Andy| Go, go, go, go, go!! 
Michael|  Help!! Help!!
Stanley| Im about to die!
Dwight|  Attention everyone! Employees of Dunder Mifflin!  This has been a test of our emergency preparedness.  There is no fire.  It was only a simulation.
Jim| What?!
Dwight| Fire not real.  This was merely a training exercise.  So, what have we learned?   Oh come on.  Its not real Stanley. Dont have a heart attack.
Michael| No, no, no! You will not die! Stanley! Stanley! You will not die!  Stanley! Stanley! Barack is president!  You are black, Stanley! Im gonna give him mouth to mouth.
Jim| No, no, no! Dont give him mouth to mouth for this! 
Michael| Hes going to swallow is tongue. 
Jim|  No. Michael. Michael.
Michael| Open your mouth.  Come on. Dont swallow it.
Jim|  Michael! Michael!
Michael| Leave me al--
Andy| Youre choking him! 
Michael| Saving him!
David Wallace|  How could you possibly think this is a good idea?
Dwight| A lot of ideas were not appreciated in their time.
