Phone Salesman| Hi.
Pam| Good morning, can I help you?
Phone Salesman| Yes, Im from Techstar about a new phone system for you.   I was wondering if I could talk to Michael Scott.
Pam| Im sorry, hes not in right now.
Phone Salesman| Really? Hes never around when I come by.
Pam| Shoot.
Pam| They have new phone systems now that can ring directly to a salesman, or someone presses star and they go to accounting, basically 95% of my job.  But Id like to see a machine that puts out candy for everyone.  Vending machine.
Phone Salesman| How about I make an appointment to come back?  That way, I know hell be here.
Pam| That is a great idea.
Phone Salesman| Great.
Pam|  Um, oh boy, lets see, hes really...
Jim|  Michael Scott, manager.  Hi, how are ya?
Pam| There he is!
Phone Salesman| Oh, hi! Great.
Jim| Nice to meet you, yeah.  Whew!  I can assure you we dont need a new system though.  Happy with ours.
Michael|  Hello, may I help you?
Jim| Jimbo!
Michael| ...Jim.
Jim|   Ayyyy!
Michael| Ayyyy!
Pam| Ayyyy!
Michael| Ayyyy!
Jim| Ayyyy!
Dwight|  Ayyyy!
Jim, Pam, Michael and Dwight| Ayyyy!
Phone Salesman| Ok.  Im, uh, Ill be going.
Jim, Pam, Michael and Dwight| Ayyyy!
Michael|  What was that?
Pam| That was funny.
Michael| That was funny.  Lets go do it to somebody else.   Ayyyy!
Michael| Oh, look at that.  Cupids and hearts. Really shoving our faces in it this year.  You doin OK, bud?
Kevin| I miss Stacy.
Michael| Yeah, I hear ya.   Its been four months since I was with Holly, and she was way hotter then Stacy.  So if you think youre hurting...
Kevin| I cant even imagine.
Pam| This is our first and only Valentines Day as fiances. 
Jim| Youre only engaged once.  Well present company excluded, but.
Pam| Really, Jim?  On Cupids birthday?
Jim| Yeah.    Shes fine.
Kelly| So, I received my first Valentine from a secret admirer.   Roses are red, violets are blue, its time for your dental cleaning, and maybe a check-up too.
Michael| Oh, wow look at those.  How nice for you.  Up there, front and center, beautiful.  I think they would look better right here.    Theyre very pretty and I wouldnt want them to fall.  
Michael| Just about everyone in this office is single right now.   Including me.  And everyone is experiencing an incredible amount of emotional pain.  Especially me, because of my great capacity for emotion, and it is my first Valentines Day since Holly, so I think that I am well qualified to understand that these people need to be protected from having love shoved into their faces.
Michael| Pam, really, theyre back?
Pam| I cant see them when theyre on the floor
Jim| Theyre for her to look at, Michael.
Michael| Can I have a word with you, Jim?
Jim| Yes, lets have a word.
Michael| Yes, um, Jim.  Today is a very difficult day for a lot of people in this office.
Jim| Oh, Im sorry.
Michael| Yeah.  And the sexy looks between you and Pam, the general sexiness, the flowers, its creating a bit of a hostile work environment.
Jim| I understand that. 
Dwight| So sexy it becomes hostile.
Michael| Mm-hmm.
Jim| Uh, I actually thought we were keeping it pretty low-key.
Michael| Well, if you guys insist on having your own private little love fest--
Jim| We do.
