Pam|  Yeah, thats no problem. 
Michael| Pam?
Pam|  Sure. Uh huh. 
Michael| Pam? Knock, knock.
Pam| Im on the phone.
Michael| I know you are. Knock, knock.
Pam|  You can fax it over. Yeah, 5-7-0-5-5-5-0-1--
Michael|  4-9-1-7-4-5-1
Pam| 0-1-7-5. Thank you. Bye, bye.  It really makes us look unprofessional. 
Michael| They would never know it was me doing it. Here we go, Knock, knock. 
Pam|  Whos there?
Michael| Buddha.
Pam| Buddha who?
Michael|  Buddha this bread for me, wont you? 
Pam| Great. 
Michael| I, I need something to wipe my hand. 
Pam| Now theres, theres butter on my desk. 
Michael| That was helping. It was classic.
Dwight| I got a knock-knock joke. 
Michael| No... God.
Dwight| OK, Michael, please, please, please, please, please let me.
Michael| Alright. 
Dwight|  Knock, knock.
Michael| Whos there?
Dwight| KGB.
Michael| KGB - 
Dwight|  We will ask the questions!
Michael| What the hell was that? 
Dwight| What are you doing? 
Michael| What are you doing?
Dwight| Hey! Hey! Stop it! Stop it!
Michael| You, you like that?  
Dwight| Cmon. What are you doing? Mine was a part of my hilarious joke. 
Michael| Mine was retribution. What are you doing? No more knock-knock jokes. Thats it. 
Jim| Ding Dong.
Michael|  Whos there? 
Jim| KGB.
Michael| Dwight, get the door. 
Dwight| Im not answering it. 
Michael| Answer the door.
Jim| Ding dong. 
Dwight| No way, its the KGB. 
Jim| Ding dong. 
Dwight| Im not answering that. You answer it.
Michael| Im not gonna answer it 
Dwight| Im not gonna answer it, its the KGB. 
Jim| The KGB will wait for no one! 
Dwight| Its true. 
Pam|  Good morning, Michael.
Michael| Oh, no, no, no, no. I am not Michael. I am Willy Wonkaaaaa. 
Pam| Good morning, Mr. Wonka, here are your messages.
Michael| Why thank you very much.  Oh, what are those? What are those? Tell me, please!
Pam| Jelly beans.
Michael| No, no, no. They are not just ordinary jelly beans little girl. These are extraordinary jelly beans! 
Michael| The Willy Wonka Golden Ticket promotional idea is probably the best idea I have ever had. Its probably the best idea anybody has ever had. Three days ago, I slipped five pieces of gold paper into random paper shipments. This entitles the customer to ten percent off of their total order. It will be a day for them that is full of whimsy, and full of excitement and full of fantasy. 
Michael| Ive written these things because it is my responsibility, as manager of this branch, to profiligate great ideas and I think I have done my part with the golden ticket promotion. Now it is your turn. I want to hear some great ideas from you that are just as good as mine.  Umm hmm.
Jim| We own our own delivery trucks. We could lease them out on the weekends --
Michael| Too many words. Good ideas are simple. Golden ticket.
Jim| Free paper.
Michael| No. Jim. Were a business. Post-its. That is a golden ticket idea. NASA took five or six golden ticket ideas to get man on the moon. 
Andy| Golden Girls. Thats a golden ticket idea, right, I mean how great was that show? Golden Grahams. Another, is it -- I dont get this... 
Michael| No, you dont. No, it -  What will be the state of this company if I am the only one coming up with the great ideas? Right? 
Kevin| I think I should call her. 
Andy| No! No! No! 
Kevin| Why is it so bad for me to call and ask her to lunch today? 
Andy|  Youre making it too easy for her. Youre just conveying, Oh I like you just the way you are.
Kevin| But I do like her just the way she is. 
Andy| Well thats not what we agreed on. 
Jim| What are you doing? 
Andy| Huh?
Jim|  Why dont you just go out on a date with her? Try to spark up an on going joke and then in a month or two, if it feels right, youll know. 
Andy| No.
Pam| You dont have to wait that long. I mean, you dont have to wait a month to ask her out. Just ask her out. 
Andy| Youre asking him to give up all of his power. 
Jim| What power? 
Kevin| Andy, Pam, and Jim are all telling me how to deal with this girl that I like, Lynn. I, I dont like getting advice from more than one person at a time. Im a textbook over-thinker. 
Andy| You cant let a girl feel good about herself. It will backfire on you. Every compliment has to be backhanded. Oh I like your dress, but Id like it more if you had prettier hair.
Pam| Thats psychotic. Do guys actually do that? 
Jim| Well guys with girlfriends dont.
Andy| Thats low, Tuna. 
Jim|  Hey, Tom. Whats that? Oh, you found a golden ticket.  One of my clients found a golden ticket.   Yup. No, congratulations. 
Michael| Woo hoo. 
Jim|  Ill take that down right now. 
Michael| Tell me; was it a spoiled little girl with big lips... 
Jim| Im on the phone. 
Michael| ...or an odd little boy with a cowboy obsession? 
Jim|  Hold on one second. 
Michael| Invite them on the tour. 
Jim|  Its actually Blue Cross from Pennsylvania. 
Michael| Really? Thats kind of a big client.  Hey, Oscar. Woo hoo hoo. Um, how much of a hit is ten percent of our Blue Cross account?
Oscar| Ten percent? 
Michael| Yeah?
Oscar| Theyre our largest client. 
Michael| Yeah.
Oscar| Its gonna hurt.
Jim|  Hold on one sec. Hold on one sec, Tom, whats that? You found five golden tickets? And does it say limit one per customer? Nope, it doesnt. 
Jim| How do you not spread out the tickets into different shipments? 
Michael| I thought I did. So...
Jim| OK...
Michael| Well no harm no foul.
Jim| ...well Im going to call corporate to make sure that they know I didnt lose half my sales.
Michael| You didnt, but... itll be fine. Itll be good. 
Michael| Hey. Hey. Hey. You idiot.
Darryl| Start over. 
Michael| Sir. I placed a bunch of golden tickets into five separate boxes and some how they all ended up with Blue Cross. How does this happen? 
Darryl| Were the boxes near each other?
Michael| Irrelevant.  
Darryl| I put three pallets on the truck to Blue Cross once a week. They use a lot of paper. 
Michael| OK, Im going to ask you something and I want you to be honest. What is a pallet? 
Michael| My golden ticket idea? OK. Why would anyone think that this is my golden ticket idea? There is a one in 13 chance that this could be anybodys golden ticket idea.  That... 
Pam| Dunder Mifflin, this is Pam. Oh hi ,David.  No, Im sorry hes not back from the Civil Rights rally. Ill have him call you the minute he gets back from the Lincoln Memorial.
Pam| When Michaels skirting a phone call, he gave me a list of places to say he is. Stopping a fight in the parking lot.  An Obama fashion show.  Whatever... that is. Or trapped in an oil painting. Im gonna save that one. 
Michael| Nobody panic. The good news is... they cant fire all of us, right? 
Oscar| They can.
Michael| No, they cant. 
Oscar| Yes, they can. 
Michael| Oscar, you dont know what the hell you are talking about.
Oscar| Michael, what do you think shutting down a branch is?
Michael| Alright, then were screwed. I am just a net that traps all of your crappy subconscious ideas and adds a little bit of my own childhood memories and whimsy, so - 
Jim| So, well I lost a ton of money today and I have a mortgage, so Im a little pissed too. 
Michael| Thank you, Jim is with me.
Jim| Absolutely not, Im mad at you.
Michael| Well you know what Jim? It is not my fault that you bought a house to impress Pam. That is why carnations exist.
Creed| Thats not why.
Michael| OK, we need a gold ticket idea to get us out of this mess.  Yes.
Pam| Does that mean an idea that blows up in our faces later? 
Jim| Good one. 
Michael| OK, dont get that. Please? 
Stanley| Ive got a golden ticket idea. Why dont you skip on up to the roof and jump off?
Michael| That is not constructive.
