Dwight|  Michael, since it is your fifteenth anniversary at the company, I thought it might be appropriate to begin the festivities with a fifteen-minute round of applause. 
Michael|  I like it.
Dwight|  Followed by a fifteen minute moment of silence.
Jim|   I dont know. Is it classy enough?
Dwight|  Jim! Enough with the classy, ok?
Jim|  I just feel like after fifteen years at this company, bravo by the way, that we should celebrate with a very classy event, a night to remember.
Michael|  I think youre right. This party has to have all the excitement, drama and intrigue of my time here.
Jim|  And of course, classy.
Michael|  And classy, yeah.
Dwight|  Michael, youre just agreeing with him because hes wearing a tux. Dont you see what hes doing here? 
Jim|  Last week, Dwight sent out a memo about the dress code. So, this is me showing him that Im taking it very seriously. 
Dwight|  Oh, heres one  a string quartet, playing classy-cal music. 
Michael|   You know, thats good but its not classy. I-I need something classy like the opening of a car dealership.
Jim|  Thats it. Or Mr. Peanut.
Michael|  Yes.
Dwight|  Mr. Peanut is not classy.
Michael|  He is.
Dwight|  He is a regular peanut. He just happens to have a cane, a monocle and a top hat.
Michael|  Thats what makes him classy.
Dwight|  Ok, how about this? An ice sculpture, shaped like you, covered in chocolate-covered strawberries.
Jim|  Oh, Dwight, youre trying too hard, and thats just not classy. You see, the thing about classy is its a state of mind. 
Dwight|  Well, Im sorry, I just dont know what classy is then.
Jim|  Ok, well lets just try this one on for size. And I apologize because its right off the top of my head  an ice sculpture. Of you. Completely surrounded by a variety of chocolate-covered fruits.
Michael|  Strawberries?
Jim|  Thats inspired.
Dwight|  I said that! 
Pam|  Not classy.
Michael|  Not classy at all.
Jim|  De classé.
Michael|  French. Classy.
Pam|  Hi, can I help you?
Charles|  Yeah, Im Charles Miner, here to see Michael Scott.
Pam|  Sure. Just one second. Please have a seat. 
Michael|   Yes?
Pam|  Michael, theres a Charles Miner here to see you.
Michael|  Miner? I hardly know her!... Hello?
Pam|  Yeah, are you coming out now?
Michael|  Uh-huh.  Well, well, well, who have we here? Ah, it is Prince Charles Miner.  At your service. Everybody, this is Sir Charles Miner and he is the new VP for the Northeast region. So, just give it up for this big guy, right? Give it up.  Here he is.
Charles|  I-I was-
Michael|  Wow! Hold that thought. I want everybody to go into the break room. I have a little surprise for you. Go ahead. You too. Dwight, would you escort our guest in there? Cmon, here we go, dont be shy, dont be shy, youre one of us .  Dwight, stall him a little, I have to get the fish.
Jim|  Hey.
Michael|  Yes.
Jim|  Really wish you would have told me the new boss was coming today.
Michael|  What? No, I didnt want to make everybody nervous.
Jim|  Nope. I mean, I could have brought a change of clothes, or-
Michael|  You look dynamite. What are you talking about? Very slick. Ok, get the fish.
Dwight|  Originally founded in 1866, Scranton quickly became one of Pennsylvanias largest anthracite coal-mining communities.
Michael|  Surprise, there is nothing in here. The real surprise is in the conference room. Lets go!  Oh! God! Ok, come on, come on!
Dwight|  Well finish it up later, but essentially what were talking about is...
Michael|  Surprise!  As you can see, I turned the bagels from Os into Cs, for Charles. 
Charles|  Thank you.
Michael|  Took me all night.
Pam|  This is what you did last night?
Michael|  I met this guy at corporate last week and we were just digging each others vibe. I was totally grooving on him and vice-versa. And besides, the last two people to have his job were Jan and Ryan. The former was my lover, and the latter my best friend. So, who knows? I do.  Its gonna be mental! Its going to be mental.
Kelly|  My god, hes like a black George Clooney.
Angela|  Really? I dont see it. I mean, hes ok, hes not unattractive, its. . . 
Jim|  Hey, how you doing? Jim Halpert, sales. Just wanted to say, if you need anything, let me know.
Charles|  Why are you wearing a tuxedo?
Jim|  I didnt think youd notice.  Uh, its funny actually, theres another salesman out here, Dwight Schrute, and he sent out this memo, as he always does, and, uh, it was about professionalism in the workplace. Of course, he singled me out. So I just had to mess with him. 
Charles|  Uh.
Jim|  Oh, youd understand if you read the memo which I should probably get you, theres probably one in a drawer... uh. It was pretty crazy. But, uh, not more crazy than wearing a tux, at work, I grant you that... so, uh.
Charles|  Your name is Jim?
Jim|  Jim Halpert, yep. So, um, just going to let you get back to it... 
Pam|  He just had to wear his tux today.
Jim|  I thought itd be funny.
Pam|  Took him 40 minutes to get ready.
Michael|  All right, let me introduce you to some of the troops. Accounting, front and center. Come on up here. Id like you to meet somebody. This is the accounting department. 
Charles|  Hey, I come from accounting, too.
Michael|  Oh, nerd alert! 
Kevin|  Ni-
Michael|  This is Oscar Martinez. He is Latino. And he just got out of a long-term relationship with a man, Gil, who broke his heart. But he didnt bring any of that into work, it did not affect his job performance whatsoever and I am very proud of him for that. 
Charles|  Hey, Oscar, its good to meet you.
Michael|  This little hell-raiser is Angela. She has slept with a bunch of different guys in the office. One over there, in the orange 
Andy|  Hey-o!
Michael|  There you go! Wheres the other?
Charles|  You know, Michael, I dont need to know everyones sexual history.
Michael|  Well, perfect, because we have now arrived at Kevin and he has no sexual history. 
Kevin|  Hey!
Charles|  How about I just say hi to everyone at one time?
Michael|  Good. Good, good, good. Everyone, please give it up for Charles Miner. 
Charles|  Thank you, Michael. Thank you for the C-shaped bagels.
Michael|  Oh! Well...
Charles|  Thats great.
Michael|  Above and beyond.
Charles|  Hey, you know were in tough times and were not immune to this economy.
Michael|  Thats true.
Charles|  But the goal is to, you know, fight our way through this.
Stanley|   Stanley Hudson. Are there gonna be layoffs?
Michael|  No. Absolutely not.
Charles|  Uh, hold on, Michael, thank you. Uh, Stanley, you know, we cant make any promises, but well try everything in our power to avoid that.
Oscar|  Do you have specifics?
Charles|  Sp-Well, um, Michael should have filled you in last week.
Michael|  Well, due to the economy, there is a lot of worry going around. I didnt want to worry people.
Charles|  You didnt tell them.
Michael|  Well, why dont-
Charles|  Yeah, I will. What I told Michael last week-
Michael|  Charles is going to tell you.
Charles|  Is that we are cutting three percent across the board, which means we will no longer be matching 401k contributions. All overtime requests will need to come through the corporate office. 
Stanley|  Fantastic.
Michael|  Well, its not official.
Charles|  It is official. It is official. And actually, guys, Im encouraging branches to consider a freeze on discretionary spending.
Michael|  Such as salary, benefits, etc, etc. Insurance.
Charles|  No, no, not salaries. Petty cash, supplies, and uh, you know, parties.
Michael|  Well-
Dwight|  What about your party? 
Michael|  Ok, ok, you know what? I think this has been great. I think this gives us a lot to think about, doesnt it? Charles Miner, ladies and gentlemen.  He has a long trip home. Thank you for coming in. We have to get back to work. 
Charles|  Michael, Im going to stay for the day.
Michael|  Oh no, no, no. You dont have to do that. Ive got this covered. This was just a meet-and-greet. 
Charles|  No, its a little bit more than that. Im going to set up in here, ok?
Michael|  I am thrilled that the new boss has taken such an active interest in all of the responsibilities that Im supposed to have. Thrilled.
Michael|   David, it was my understanding that I was not going to be managed.
David|  What gave you that idea?
Michael|  It was my understanding. 
David|  I see.
Michael|  Listen, why dont we just leave that position vacant? Truth be told, I think I thrive under a lack of accountability. 
David|  Look, Michael, Charles is very qualified. Get to know him. I really think the two of you are going to make a great team. 
Michael|  But the branch is still mine?
David|  Youre still the branch manager, yes, and if you need anything else at all, just let Charles know. 
Dwight|  Ask him about the party.
Michael|  Oh, right. David, are you coming to my fifteenth anniversary party? 
David|  Ill give it my best shot, Michael.
Dwight|  No the other thing.
Michael|  Oh, ok. If we hire Cirque de Soleil as salaried employees, will that help us with year-end tax stuff? 
Dwight|  He hung up?
David|  No.
Michael|  I just got off the horn with David Wallace, and he said that you and I should try to get to know each other better. And I agree, so what I would like you to do is tell me something that youve never told anybody before.
Charles|  No. 
Michael|  Come on. Whats your wifes name? Where did you work before you came here?
Charles|  Saticoy Steel.
Michael|  Beautiful. See, African-Americans have such a rich history of unusual names. 
