Michael|  I had no idea when I got in that car and headed to New York I was going to quit.  I got on that ramp and I thought two hours, two hours to go.  Feeling good.  Listen to some tunes.  Shouldve peed before I left. 
Kelly|  Michael get to the good part.
Michael|  Okay, so.  I get up to the building, I get to the revolving door... broken!  So I have to take the normal door.  
Oscar|  At least he is in the building.
Michael|  No, No! I was so nervous it was the wrong building! I walked into the wrong building!
Everyone|  
Pam|  He finally has a story everyone wants to hear... and he knows it.
Pam|  Okay focus. Focus.  Youre in the right building, youre with the right people; what happened?
Michael|  I looked at Wallace and I said "I quit!" and as I turned to leave I looked back and I said "You have no idea how high I can fly."
Stanley|  Did you tell him how sick of him you were?
Michael|  Why would I do that?
Angela|  Well, wouldnt it feel good to tell him that he was incompetent?
Kevin|  That hes wasted 15 years of your life?
Meredith|  Did you spit in his face?
Michael|  You guys have thought about this a lot more than I have. I just winged it.
Oscar|  I love a good quitting story. It makes me feel like I have control over my own life.  Gives me hope.  Maybe I will have one of own someday.   But I dream... so...
Jim|   About a week ago, Michael gave his 2-week notice. And, surprisingly there is a very big difference between Michael trying and Michael not trying.
Kevin|  Michael is that scotch?
Michael|  Scotch with Splenda. Tastes like Splenda, gets you drunk like scotch.  Clinky, clinky-clink.  Come-on... come on, come on.
Michael|   What am I gonna do? Ill tell ya what Im gonna do. I gonna do a little bit of this, a little bit of that.  I gonna stay up all day.  Gonna sleep it up all night. Im gonna give it a OHH! HEY! HO!  And Im going to stop worrying about calories.
Stanley|  Maybe you should go into your office, close the door, and make some calls about jobs?
Michael|  I have a job.
Andy|  For four more days.
Pam|  Do you have any leads on a job?
Michael|  Pam, what you dont understand is that at my level you just dont look in the want-ads for a job.  You are head-hunted.  
Jim|  You called any headhunters?
Michael|  Any good headhunter knows I am available.
Dwight|  Any really good headhunter would storm your village at sunset with overwhelming force and cut off your head with a ceremonial knife,
Jim|  Right, cause thats what we are talking about.
Charles|  Uh, I need you to go over this client list and indicate any wrong or false data.
Michael|  Youre I need you to is my command.
Charles|  Okay.
Andy|  Hey Michael... 
Michael|  Hey.
Andy|   Can I talk to you a minute?
Michael|  You can talk to me for as long as you want. I have all the time in the world.  Oh God! Blech! Phyllis! 
Andy|  I just wanted to tell you that... Oh What?    Whats that?
Michael|  Oh! Hey. What is this about?
Andy|  Um, you know, cause your leaving and so, its a farewell... 
Michael|  Oh.  
Andy|  I hope I get to work with you someday again.
Michael|  Me too, me too. Is this wine?
Andy|  Ah... busted. Yes
Michael|  I already have wine. 
Andy|   Oh.
Isaac|   Hello.
Pam|  Hi.
Isaac|  Isaac Silby  here for the interview
Pam|  Uh, yes.  Please have a seat. Itll be a few minutes.
Isaac|  Thank you.  You interviewing too?
Michael|  Hmm?
Isaac|  Interviewing?
Michael|  For?
Isaac|  Regional manager.
Michael|  Yes I am.
Charles|  For regional manager Ive decided to go with an outside hire.  For obvious reasons.
Michael|  Where you from?
Isaac|  Philly.
Michael|  Thats a drive!
Isaac|  Yeah, well this is one of the few places thats hiring.  Its uh, its brutal out there.
Michael|  
Kevin|  Pam?
Pam|  Hmm?
Kevin|  When will the new copier be ready?
Pam|  Im working on it Kev. 
Kevin|  You said it would be ready by today.  And it is today.
Pam|  Itll be ready soon.
Kevin|  Soon could mean anything. Soon could be 3 weeks.
Pam|  Is that what soon means to you?
Kevin|  Sometimes.
Pam|  Then come back soon.
Pam|  During the course of business, a copier goes though something called Normal wear and tear.  
Creed|   I think its 75 cents.
Oscar|  Thats a lot.
Angela|   Bandit, No! No no no!
Kevin|   Oh!
Pam|  Yesterday, they delivered the new one. But they didnt set it up. So my day just got a little more interesting. 
Jim|   Its Monster dot com.  Singular.
Michael|  Thank you. 
Michael|  You work in paper long enough, you get to know the players. 
Phone|  Hi, youve reached Prince Paper.  We are sad to inform you that after 40 years of serving the community we are no longer in business.  Thank you for your support. May God bless you.  Bye!
Michael|   What am I gong to do?  Uh... .
Michael|  PSST! PSST!
Jim|  Yeah... .you want me to come in your office?  Oh.
Michael|  Okay, oh okay, okay.  Close your eyes.
Jim|  I would prefer not to.   
Michael|  Just close your eyes. Im going to start my own paper company.
Jim|  Youre starting your own paper company?
Michael|  yeah!
Jim|  Why?
Michael|  Can you believe... cause I know paper.  I know everything there is to know about paper.
Jim|  Do you know the industry is in decline?
Michael|  Yeah! Oh God. I practically invented decline.
Jim|  Right.
Michael|  Right, I know paper, I know how to manage. I have a name, close your eyes.  
Jim|  No, I did that before, it added nothing. 
Michael|  Close them.
Jim|  Okay. 
Michael|  Alright, Michael Scott Paper Company. You want in? Do you want to be a part of this? 
Jim|  I am not gonna do this.
Michael|  Obviously.
Jim|  And you are not going to, either.
Michael|  Oh, agreed, mmm, except...
